origin: C(C)(C)CNCC(C)(C)C, cl: C(CC)[n+]1c(C)n(C)c(c1C)C, target: C1CN(C)CCN(C)CCN1C
origin: C[N+]1(C)CC2CCC(C2(C)C)(C1)C, cl: c1ccc(C[N+](C)(Cc2ccc(F)cc2)C)c(F)c1, target: C[C@H]1C[C@@H](C)C[NH2+]C1
origin: C1CC[N+](CC)(CC)C2CCCC21, cl: c1c(cccc1)C(O)C(NC)C, target: [NH2+]1[C@H](C)CCC[C@@H]1C
origin: C(C)CCNCCCC, cl: CC(C(NC)C)c1ccccc1, target: C(C)N(C(C)C)C(C)C
origin: C(C)(N(C(C)C)CC)C, cl: C12CC3CC(CC(C2)C3)(C1)n1c[n+](cc1)C12CC3CC(C2)CC(C1)C3, target: C(C)N(C(C)C)C(C)C
origin: C1CCC(N)CC1, cl: N(CC)(CC)CC, target: CC(N(CC)C(C)C)C
origin: C1C2CC3CC(C2)([N+](C)(C)C)CC1C3, cl: C1CN(C(CO)C1)Cc1ccccc1, target: C1C(C)C[N+](C)(C)CC1C
origin: C(CC[N+]1(C)CCCC1)CC[N+]1(CCCC1)C, cl: c1ccc(C[N+](C)(C)Cc2ccccc2)cc1F, target: CC[N+](CC)(CC)CC
origin: C(CCCC[N+](CC)(CC)CC)[N+](CC)(CC)CC, cl: C1CCN(Cc2ccccc2F)C1, target: C(C)[N+](CC)(CC)CC
origin: C(C)CN(CCC)CCC, cl: C(C)CN(CCC)CCC, target: C(N(C(C)C)C(C)C)C
origin: C(NCC)C, cl: C1CCCCC1N(C1CCCCC1)C, target: C(C)(C)N(CC)C(C)C
origin: C1CC(C[N+](C1)(C)C)(C)C, cl: C(C(NC)C)(O)c1ccccc1, target: CC1(C)CCCC(C)(C)[N+]1(C)CC
origin: C1(C)CC(C)(NCCNC(C)CC(C)(NCCN1)C)C, cl: c1cccc(c1)C(O)C(NC)C, target: CCN(C(C)C)C(C)C
origin: C1(C)CC(C[N+](C)(C)C1)C, cl: c1(c(C)n(c(C)[n+]1C)C)C, target: [C@H]1(C)CCC[C@@H](C)[N+]1(CC)CC
origin: C12CC3(CC(C2)CC(C1)C3)[N+](C)(C)C, cl: CC(N(CC)CC)C, target: C1C(C)C[N+](C)(C)CC1C
origin: CC1(NCCNC(CC(C)(NCCNC(C1)C)C)C)C, cl: N1(Cc2ccccc2)CCCCC1CO, target: C(N(C(C)C)CC)(C)C
origin: CC(C)N(CC)C(C)C, cl: C(CC)C[n+]1c(C)n(C)cc1, target: C(C)(C)N(CC)C(C)C
origin: C[N+](C)(C)CCCCCCCCCCCCCCC, cl: C1CCCC(N(C)C2CCCCC2)C1, target: C1(C)C[N+](C)(C)CC(C)C1
origin: C1C[N+](CC1)(C)CCCC[N+]1(CCCC1)C, cl: C(c1ccccc1)[N+](C)(C)Cc1ccccc1, target: C(C)(N(C(C)C)CC)C
origin: C1CC[N+](C)(C1)CCCCC[N+]1(CCCC1)C, cl: C(N(CC)CC)C, target: CC1CC(C)C[N+](C)(C)C1
origin: C1CC(N)C(N)CC1, cl: C(N(CC)CC)C, target: CC[N+](CC)(CC)CC
origin: CC(N(C(C)C)CC)C, cl: C1CC(CO)N(Cc2cccc(F)c2)C1, target: CC(C)N(C(C)C)CC
origin: C1C(N)CCCC1, cl: C1C(CCCC1)N(C1CCCCC1)C, target: N(CC)(C(C)C)C(C)C
origin: C12CC3CC(CC(C1)C3)(C2)[N+](C)(C)C, cl: n1(c[n+](CC)cc1)C, target: C1[NH2+]C[C@@H](C)C[C@@H]1C
origin: CC1CCCC([N+]1(C)CC)C, cl: c1(C)n(c([n+](C)c1)C)C, target: [NH2+]1[C@H](C)CCC[C@@H]1C
origin: CC1[N+](C(C)CCC1)(CC)CC, cl: C1C2CC3CC1(CC(C3)C2)[N+](C)(C)C, target: C1C(C)[N+](C)(C)C(C)CC1
origin: CC1[N+](C)(C(C)CCC1)C, cl: C(N(CC)CC)C, target: C1C(C)[N+](CC)(CC)C(C)CC1
origin: C(C)[N+]1(CC2C3C4C[N+](CC)(CC4C(C=C3)C2C1)CC)CC, cl: C1C(CCCC1)N(C)C1CCCCC1, target: CC1[N+](C)(CC)C(C)CCC1
origin: C[N+]1(CCCC1)CCCCC[N+]1(CCCC1)C, cl: C1CC(N(C2CCCCC2)C)CCC1, target: c1[n+](CC)ccn1C
origin: C1(C(CCCC1)[N+](C)(C)C)(C)C, cl: c1ccc(c(c1)CN1CCCC1)F, target: C1(C)CC(C)C[N+](C)(C)C1
origin: N(C(C)C)(CC)C(C)C, cl: c1c(C(O)C(C)N(C)Cc2ccccc2)cccc1, target: N(CCN)CCNCCN
origin: N(CC)(CC)CC, cl: C(c1ccccc1)N1C(CO)CCC1, target: C(CN)NCCCNCCN
origin: c1(C)[n+](ccn1C)C, cl: C(C)C[n+]1ccn(c1)C, target: CC1(C)NCCN[C@@H](C)CC(C)(C)NCCN[C@@H](C)C1
origin: C1(C)CC(C)(NCCNC(C)CC(C)(C)NCCN1)C, cl: C1C2CC3(CC1CC(C2)C3)[N+](C)(C)C, target: [C@H]1(C)CC(C)(C)NCCN[C@@H](C)CC(C)(C)NCCN1
origin: C1[N+](C)(CC(CC1C)C)C, cl: C1C2CC3(CC1CC(C3)C2)[N+](C)(C)C, target: C1[N+](C)(C)C[C@@H](C)C[C@H]1C
origin: C1CCC([N+](C)(C)C)CC1, cl: N(CC)(CC)CC, target: C[C@@H]1C[N+](C)(C)C[C@@H](C)C1
origin: C12CCCC(CC1)C[N+](C2)(C)C, cl: C1CCCC(N(C)C2CCCCC2)C1, target: CC1C[N+](C)(C)CC(C)C1
origin: CC1CC(C)C[N+](C1)(C)C, cl: C1CC(N(Cc2ccccc2)C1)CO, target: C1C(C)[N+](CC)(CC)C(C)CC1
origin: C1CC[N+](CC)(C)CC(C1)(C)C, cl: OC(C(c1ccccc1)O)C(NC)C, target: C1C2[N+](C)(C)C(CCC2)CC1
origin: C1C(C)CC(C[N+](C1)(C)C)C, cl: C(N(CC)CC)C, target: CC1CCCC(C)[N+]1(CC)CC
origin: C1CC(CCC1)[N+](C)(C)C, cl: C1CCCC(C1)N(C1CCCCC1)C, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C1CCCC(C)[N+]1(C)CC, cl: c1n(C)c([n+](c1)CC)C, target: CC[P+](CC)(CC)CC
origin: C1(CCCC[N+]1(C)C)(C)C, cl: c1cc(ccc1F)C[N+](Cc1cc(ccc1)F)(C)C, target: C1CC(C)[N+](C)(C)C(C)C1
origin: C1CC(C)CC[N+](C1)(C)CC, cl: c1cc(CN2CCCC2)ccc1F, target: [N+]1(CC)(C)C(C)(C)CCCC1(C)C
origin: C1C2CCCC[N+]2(C2CC1)C, cl: CCC(C)N(CCCCCN(CC(C)C)CC1)C, target: C1CCC(C)[N+](CC)(CC)C1C
origin: C1CCCCC2C1[N+](CCC2)(C)C, cl: c1ccc(cc1)CN1CCCC1CO, target: CC1[N+](C)(C)C(C)CCC1
origin: CC1CCC[N+](C)(C1)CC, cl: c1cc(C(O)C(NC)C)ccc1, target: C[N+]1(C)CCCC2C(C)(C)C1C2
origin: C1CCC[N+](C1)(C)CCCC[N+]1(CCCCC1)C, cl: C1CCC(N(C)C2CCCCC2)CC1, target: C12(C)CC(C)(C)CC([N+](C)(C)C1)C2
origin: C(C)[N+]1(CC)C(CCCC1C)C, cl: C1CCC(CC1)N(C)C1CCCCC1, target: C1CC2CC([N+](C)(C)C1)C2(C)C
origin: C1CCCC([N+](C)(C1)CC)C, cl: C1C2CN3C(CCCC3)C1C[N+]1(C)CCCCC12, target: C1(C)(C)C2CC1C(C)CC[N+]2(C)C
origin: C1CC[N+](C)(C1)CCCC[N+]1(C)CCCC1, cl: c1ccc(C(O)C(NC)C)cc1, target: C(N(C(C)C)CC)(C)C
origin: C1(C)(NCCNC(C)CC(C)(NCCNC(C)C1)C)C, cl: c1ccc(CN2CCCC2CO)cc1, target: C(C)N(C(C)C)C(C)C
origin: C(C)CNCCC, cl: [N+](CC)(CC)(CC)CC, target: N(C(C)C)(C(C)C)CC
origin: c1[n+](cn(C)c1)CCCC, cl: N(CC)(CC)CC, target: c1[n+](C)cn(CC)c1
origin: C(C)(N(C(C)C)CC)C, cl: C1N(Cc2cccc(F)c2)CCC1, target: CC(N(C(C)C)CC)C
origin: [N+](C)(C)(C)C12CC3CC(C2)CC(C3)C1, cl: C1CCCN(Cc2ccccc2)C1, target: C([P+](CC)(CC)CC)C
origin: [N+]12(CCCCC1)C(CCCC2C)C, cl: C1CN(CCC1)Cc1ccncc1, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C1CCCC(CC)[N+]1(CC)C, cl: C(C)CN(CCC)CCC, target: C1(CC)[N+](C)(C)CCCC1
origin: C1(C)CC(C[N+](C)(C1)C)C, cl: C(C(NC)C)(O)c1ccccc1, target: C([N+]1(C)C(C)CCCC1C)C
origin: CC1(C)C[N+](CC(C)(C1)C)(C)C, cl: c1c(cccc1)C(O)C(C)N(C)Cc1ccccc1, target: C1C(C)[N+](CC)(CC)C(C)CC1
origin: C1CC([N+](C)(CC)C(C)C1)C, cl: C(C)(N(CC)C(C)C)C, target: CC1CCCC(C)[N+]12CCCC2
origin: C1[N+](C)(C)C(C)CCC1, cl: c1(C)c[n+](c(n1C)C)C, target: C1C(C)(C)C=CC(C)(C)C[N+]1(C)C
origin: C1NCCNC1, cl: C1(N(C)C2CCCCC2)CCCCC1, target: C(C)[N+](CC)(CC)CC
origin: C(C)(N(C(C)C)CC)C, cl: C1C(N(Cc2ccccc2)CC1)CO, target: C(C)N(C(C)C)C(C)C
origin: C(CCC[N+]1(C)CCCC1)[N+]1(CCCC1)C, cl: N(C(C)C)(CC)C(C)C, target: CC(C)N(C(C)C)CC
origin: C(CCC[N+]1(C)CCCC1)C[N+]1(C)CCCC1, cl: C(CC)N(CCC)CCC, target: C1CN(C)CCN(C)CCN1C
origin: C(C)(C)N(CC)C(C)C, cl: c1cccc(c1)C(O)C(N(C)C)C, target: CN1CCN(C)CCN(C)CC1
origin: C1CC2C[N+](C)(C)C(CC2)C1, cl: c1cccc(C[N+](C)(Cc2ccccc2F)C)c1, target: C[C@H]1[N+](C)(C)[C@@H](C)CCC1
origin: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, cl: c1cc(F)c(cc1)CN1CCCC1CO, target: C[C@H]1CCC[C@@H](C)[N+]1(C)C
origin: C1C(C)[N+](C)(C(C)CC1)C, cl: OC(C(NC)C)c1ccccc1, target: C[N+]1(C)[C@@H](C)CCC[C@H]1C
origin: [N+]1(CCCCC1)(C)CCCC[N+]1(C)CCCCC1, cl: C1(CCCCC1)N(C1CCCCC1)C, target: [N+]1(C)(C)C[C@@H](C)C[C@@H](C)C1
origin: C1C2CC3CC(CC1(C3)[N+](C)(C)C)C2, cl: C1N(CCO)CCOCCOCCOCCOC1, target: C1[N+](C)(C)C[C@H](C)C[C@@H]1C
origin: C12CC3CC(C2)CC(C3)C[N+]1(C)C, cl: C(C)(C(N(CC)C)C)O, target: C[C@@H]1C[C@H](C)C[N+](C)(C)C1
origin: C1([N+](CCCC1)(C)C)CC, cl: N(C1CCCCC1)(C)C1CCCCC1, target: CC[P+](CC)(CC)CC
origin: C1CCC(C)(C[N+]1(C)C)CC, cl: c1c(F)ccc(c1)CN1CCCC1, target: CC1C[N+](C)(C)CC(C)C1
origin: C([N+]1(C(C)CCCC1C)CC)C, cl: C1CCCC(N(C)C2CCCCC2)C1, target: CC1C[N+](C)(C)CC(C)C1
origin: C1CCC(CC1)N, cl: C(C)CN(CCC)CCC, target: CC[N+](CC)(CC)CC
origin: C1C(CC(C)C[N+]1(C)C)C, cl: C(C(C)NC)(c1ccccc1)O, target: C[N+]1(C)CC(C)CC(C)C1
origin: C1CCCCC([N+]1(CC)C)C, cl: C(C)(C(C)NC)c1ccccc1, target: C1C(C)C[N+](C)(C)CC1C
origin: C1(C)[N+](C(C)CCC1)(CC)CC, cl: C[N+]12CCCCC1C1CN3C(C(C1)C2)CCCC3, target: CC[P+](CC)(CC)CC
origin: C1(C)CC(C)C[N+](C)(C1)C, cl: c1(C(O)C(C)N(Cc2ccccc2)C)ccccc1, target: C(C)[P+](CC)(CC)CC
origin: C1C2CC3CC(CC1(C3)[N+](C)(C)C)C2, cl: c1(C)c(cccc1)C(C)N(C)Cc1ccccc1, target: C(C)[P+](CC)(CC)CC
origin: C1C2CC3CC1CC(C2)C3, cl: C1CCCN(Cc2ccccc2)C1CO, target: CC[P+](CC)(CC)CC
origin: C1CCCC(N)C1N, cl: c1cc(ccc1)C(O)C(NC)C, target: N(C(C)C)(CC)C(C)C
origin: C1C2C([N+](CCC2)(C)C)CC1, cl: C1CC(N(C2CCCCC2)C)CCC1, target: C[C@@H]1C[NH2+]C[C@H](C)C1
origin: C1CCC2CCCCC2[N+](C1)(C)C, cl: c1c(cc(F)cc1)CN1CCCC1, target: [C@H]1(C)[NH2+][C@@H](C)CCC1
origin: C(C)(CCO)N(CCO)CC, cl: C(N1CCCC1)c1c(F)cccc1, target: C(C)(N(C(C)C)CC)C
origin: C[N+]1(CCCCC1)CCCC[N+]1(C)CCCCC1, cl: c1ccccc1CN1CCCC1, target: CCN(C(C)C)C(C)C
origin: C(CCC[N+]1(C)CCCC1)[N+]1(C)CCCC1, cl: C(C)CN(CCC)CCC, target: C(C)(C)N(CC)C(C)C
origin: [N+]1(CC)(CC2CCC(CC2)C1)C, cl: c1cccc(c1)CN1C(CO)CCC1, target: C[N+]1(C)CC(C)CC(C)C1
origin: C(CCCC)N(CCCC)CCCC, cl: c1cc(C[N+](C)(Cc2ccccc2F)C)ccc1, target: CC[N+](CC)(CC)CC
origin: C(C)CCN(CCC)CCC, cl: C([N+](CC)(CC)CC)C, target: C([N+](CC)(CC)CC)C
origin: C1CCCC(N)C1, cl: C1CCCCC1N(C1CCCCC1)C, target: N(C(C)C)(C(C)C)CC
origin: c1n(C)cc[n+]1CC, cl: C1CCCCC1N(C)C1CCCCC1, target: C(N(C(C)C)CC)(C)C
origin: C1CC(C[N+](C)(C)C)C2C(C1C2)(C)C, cl: c1cccc(c1)C(O)C(NC)C, target: [N+]1(C)(CC)C(C)(C)CCCC1(C)C
origin: C(CC[N+]1(C)CCCC1)CC[N+]1(C)CCCC1, cl: c1n(C)c([n+](c1)CC)C, target: CC(C)N(C(C)C)CC
origin: C1C[N+](CC)(C(CC1)C)CC, cl: C(c1ccccc1)(C(C)NC)O, target: C[C@H]1CCC[C@@H](C)[N+]1(CC)CC
origin: C[N+]1(C)CC(C)CC(C)C1, cl: c1ccc(c(c1)C)C[n+]1ccn(c1)C, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: CC(N(C(C)C)CC)C, cl: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, target: CC(N(C(C)C)CC)C
origin: C1CC[N+](CCC[N+]2(CCCC2)C)(C)C1, cl: C1CN(Cc2cccc(F)c2)CC1, target: N(CC)(C(C)C)C(C)C
origin: C1CC[N+](C)(CCCCC[N+]2(CCCC2)C)C1, cl: c1c(ccc(c1)F)C[N+](C)(Cc1c(F)cccc1)C, target: C1(C)CC(C)C[N+](C)(C)C1
origin: N(CC)(CC)CC, cl: C(C(NC)C)(O)c1ccccc1, target: C(N(C(C)C)CC)(C)C
origin: C(C)CN(CCC)CCC, cl: C1CCCCC1N(C1CCCCC1)C, target: C1[N+](C)(C)CC(C)CC1C
origin: n1(C)c(C)c[n+](c1C)C, cl: Cn1cc[n+](c1C)CC, target: C(C)[N+](CC)(CC)CC
origin: CCCNCCC, cl: C1N2CCN(CC2)C1, target: C(N(CC)C(C)C)(C)C
origin: C(CCC[N+]1(C)CCCC1)[N+]1(C)CCCC1, cl: c1c(CN2CCCC2)cc(F)cc1, target: N(C(C)C)(CC)C(C)C
origin: C1(C)CC(C[N+](C1)(C)C)C, cl: C1CC(CCC1)N(C1CCCCC1)C, target: [C@@H]1(C)C[NH2+]C[C@@H](C)C1
origin: C1CC(CC)[N+](C)(CC1)C, cl: C(C)CN(CCC)CCC, target: C[C@H]1CCC[C@@H](C)[NH2+]1
origin: C1CC(C)[N+](C)(C(C1)C)CC, cl: N(CC)(CC)CC, target: CC1[N+](C)(C)C(C)CCC1
origin: C1CC([N+](CC)(C)C(C1)C)C, cl: C(N(CC)CC)C, target: CC[N+]1(CC)C(C)CCCC1C
origin: C1CC(C)[N+](C(C1)C)(C)C, cl: C1CC(CO)N(Cc2ccccc2)C1, target: [N+]1(C)(CC)C(C)CCCC1C
origin: [N+]1(CCCCC[N+]2(C)CCCC2)(C)CCCC1, cl: C1CCCC(N(C)C2CCCCC2)C1, target: Cn1c[n+](CC)cc1
origin: C1[N+](C)(C)CC(C)CC1C, cl: [n+]1(ccn(C)c1C)Cc1ccccc1, target: C1(C)C[N+](C)(C)CC(C)C1
origin: N(CCNCCNCCN)CCNCCN, cl: [N+](CC)(CC)(CC)CC, target: C(CNCCN)NCCN
origin: C(NCCN)CNCCNCCN, cl: C1CN(Cc2ccccc2F)C(CO)C1, target: N(CCCNCCN)CCN
origin: C1CCC(C)(NCCNC(C)CC(N1)(C)C)C, cl: CC(N(C(O)c1ccccc1)C)CO, target: [C@H]1(C)CC(C)(C)NCCN[C@@H](C)CC(C)(C)NCCN1
origin: C1CCCC(N)C1N, cl: c1cc(CN2CCCC2CO)ccc1F, target: CC1(C)C[C@H](C)NCCNC(C)(C)C[C@H](C)NCCN1
origin: C[N+]1(CC(C)CC(C1)C)C, cl: CCCC[n+]1c(C)n(cc1)C, target: C[C@H]1C[N+](C)(C)C[C@@H](C)C1
origin: C(C)[N+]1(C(CCCC1C)C)C, cl: C1(CO)CCCN1Cc1ccccc1, target: C[C@H]1C[C@H](C)C[N+](C)(C)C1
origin: C1CC2CC(C1(C)C)(C)C[N+](C)(C2)C, cl: c1cc(cc(CN2CCCC2)c1)F, target: C1C(C)C[N+](C)(C)CC1C
origin: CC1(C)C[N+](CC(C)(C)C1)(C)CC, cl: C(C(NC)C)(c1ccccc1)O, target: C1CC(C)[N+](CC)(CC)C(C)C1
origin: CC1(C)CCCC([N+]1(C)C)C, cl: c1cc(ccc1)C(O)C(C)N(C)Cc1ccccc1, target: C12CCCC(CCC1)[N+]2(C)C
origin: C1CC[N+](C)(CCCCC[N+]2(C)CCCCC2)CC1, cl: c1c(CN2CCCC2)cccc1F, target: C1(C)CCCC(C)[N+]1(CC)CC
origin: C1CC(C)CC[N+](C)(C1)CC, cl: C1N(Cc2cccc(F)c2)CCC1, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C[N+]1(CC(C)CC(C1)C)C, cl: c1ccc(F)c(CN2CCCC2)c1, target: [P+](CC)(CC)(CC)CC
origin: C1CCC(C)(C[N+]1(C)CC)C, cl: C1CCC(N(C2CCCCC2)C)CC1, target: [N+]1(C)(C)C(C)CCCC1C
origin: C[N+]1(C)CC(CC(C)C1)C, cl: C(C(C)NC)(O)c1ccccc1, target: C1CC(C)(C)[N+](CC)(C)C(C)(C)C1
origin: C1C2C3CC(CC3)C(C[N+]1(C)C)C2, cl: C(C)[N+](CC)(CC)CC, target: C1(C)CCCC(C)[N+]1(CC)CC
origin: C12CC3CC(CC(C3)C1)(n1c[n+](cc1)C13CC4CC(CC(C4)C3)C1)C2, cl: C1CC[N+](C)(CCCC)C1, target: C[N+]1(C)C(C)CCCC1C
origin: C1CCCCC2CCC[N+](CC21)(C)C, cl: [N+]1(C)(CC2(c3ccc(cc3)C<unk>)CCCC2)CCCCC1, target: C1[N+](C)(C)C2C(C)(C)C(C2)CC1
origin: C1C2CC3CC(CC1C3)(C2)N, cl: C1N(CCC1)Cc1ccncc1, target: C1C(C)(C)CC2(C)CC1[N+](C)(C)C2
origin: C1CC[N+](CC)(C(CC)C1)C, cl: c1ccc(cc1)C(O)C(NC)C, target: C1C2CCC[N+](C)(C)C1C2(C)C
origin: C1CC(C)[N+](CC)(CC)C(C1)C, cl: C1CCCC2C3CC(CN21)C1[N+](C3)(C)CCCC1, target: [N+]1(C)(C)CCC(C)C2C(C)(C)C1C2
origin: C1CCCC(C1)N, cl: C(CC)[n+]1c(C)n(cc1)CCC, target: C(C)(N(CC)C(C)C)C
origin: C1CCCC(C1)N, cl: C(O)C1N(Cc2cccc(c2)F)CCC1, target: C(N(CC)C(C)C)(C)C
origin: C(C)(N(CC)C(C)C)C, cl: C(C(c1ccccc1)O)NC, target: N(CC)(C(C)C)C(C)C
origin: C(C)(C)(N)C, cl: [n+]1(cn(cc1)CC)C, target: n1(CC)c[n+](C)cc1
origin: C1N(CCN(C)CCCN(CCN(CC1)C)C)C, cl: C1C2CC3(CC1CC(C3)C2)n1c[n+](cc1)C12CC3CC(CC(C3)C1)C2, target: CC(N(CC)C(C)C)C
origin: C1CCCC(C1)C[N+](CC)(C)C, cl: C1CN(Cc2cc(F)ccc2)CC1, target: [P+](CC)(CC)(CC)CC
origin: C1(C)[N+](CC)(C(C)CCC1)CC, cl: c1(C)n(C)c(C)[n+](c1C)C, target: C1(C)C[N+](C)(C)CC(C)C1
origin: C1[N+](CC(CC1C)C)(CC)CC, cl: c1c(CN2CCCC2CO)cccc1, target: [N+]1(C)(C)CCCCC1CC
origin: C1CC(C[N+](C)(C1)C)C, cl: C(C(NC)C)(c1ccccc1)O, target: CC1CCCC(C)[N+]1(CC)C
origin: CC1CCCC([N+]1(CC)CC)C, cl: C1CCC(N(C2CCCCC2)C)CC1, target: C1CC(C)[N+](CC)(CC)C(C)C1
origin: C1C(C)[N+](CC(C1)C)(C)C, cl: c1cn(C)c([n+]1Cc1ccccc1)C, target: C1[N+]2(C(C)CCCC2C)CCC1
origin: C([N+]1(CC(CC(C)C1)C)CC)C, cl: C1CCC2C3CC(C[N+]2(C1)C)C1N(C3)CCCC1, target: C[N+]1(C)CC(C)(C)C=CC(C)(C)C1
origin: C(C)(C)(N)CN, cl: c1ccc(C(O)C(O)C)cc1, target: CC[N+](CC)(CC)CC
origin: C(CCCCCCCCCCCC)CCCC[N+](C)(C)C, cl: c1([n+](ccn1C)CC)C, target: N(C(C)C)(C(C)C)CC
origin: C1CCCN(C)C1, cl: c1cccc(C(O)C(NC)C)c1, target: C(N(C(C)C)CC)(C)C
origin: C1CCCC[N+]21CCCCC2, cl: C(CO)(CN)c1c(F)cccc1, target: C1CN(C)CCN(C)CCN1C
origin: CC(N(CC)C(C)C)C, cl: C1C(O)CCCN1Cc1cccc(c1)F, target: C1N(C)CCN(C)CCN(C)C1
origin: C1(C)CCCC(C)[N+]1(C)C, cl: C1(CO)N(Cc2ccccc2)CCC1, target: C1CC[C@H](C)[N+](C)(C)[C@@H]1C
origin: C[N+](C)(C)C12CC3CC(CC(C2)C3)C1, cl: C(C)CN(CCC)CCC, target: C[N+]1(C)[C@@H](C)CCC[C@H]1C
origin: C1C2CC3CC(CC1C3)([N+](C)(C)C)C2, cl: c1c(CN2CCCC2CO)cccc1, target: [C@H]1(C)CCC[C@@H](C)[N+]1(C)C
origin: C12CC3CC(C2)CC(C3)C[N+]1(C)C, cl: C1CC(N(C)C2CCCCC2)CCC1, target: C[N+]1(C)C[C@@H](C)C[C@@H](C)C1
origin: C12CC3CC(CC([N+](C)(C)C)(C3)C2)C1, cl: C(C)(C)N(CC)C(C)C, target: C1[C@@H](C)C[C@@H](C)C[N+]1(C)C
origin: C12CC3CC(CC(C3)C2)(C1)[N+](C)(C)C, cl: C(C1CCCN1Cc1ccccc1)O, target: C[C@H]1C[C@@H](C)C[N+](C)(C)C1
origin: C[N+]1(C2CCC(CC1)CC2)CC, cl: n1(C)cc[n+](c1)CCCC, target: CC[P+](CC)(CC)CC
origin: CC1CC(C[N+](C)(C)C1)C, cl: C(CC)N(CCC)CCC, target: C1C(C)C[N+](C)(C)CC1C
origin: [N+]1(CC(C)CC(C)C1)(CC)CC, cl: c1(C[N+](Cc2ccccc2)(C)C(C)CO)cc(F)ccc1, target: C1(C)CC(C)C[N+](C)(C)C1
origin: [N+]1(C)(CCCCC[N+]2(C)CCCC2)CCCC1, cl: C1CCN2C(C3CC(C2)C2[N+](C)(C3)CCCC2)C1, target: C([N+](CC)(CC)CC)C
origin: C1(C[N+](CC(C1)C)(C)C)C, cl: N1(CCCC1)Cc1cccc(F)c1, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C[N+]1(C(CCCC1C)C)C, cl: c1(C[n+]2c(C)n(C)cc2)ccccc1, target: C1C(C)C[N+](C)(C)CC1C
origin: C1([N+](C(C)CCC1)(CC)CC)C, cl: c1cc(cc(F)c1)C[N+](Cc1cccc(F)c1)(C)C, target: [P+](CC)(CC)(CC)CC
origin: CC[N+]1(CC)CC(CCC1)(C)C, cl: c1cc(ccn1)N(C)C, target: C([P+](CC)(CC)CC)C
origin: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2, cl: c1[n+](CC)c(n(C)c1)C, target: CC[P+](CC)(CC)CC
origin: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2, cl: C([N+](CCO)(CCO)C)CO, target: C(C)[P+](CC)(CC)CC
origin: N(CC)CC, cl: C(c1ccccc1)N1CCCC1, target: C(N(C(C)C)CC)(C)C
origin: C([N+]1(CC)C(C)CCCC1C)C, cl: CC(C(c1ccccc1)O)NC, target: [C@H]1(C)C[C@@H](C)C[NH2+]C1
origin: C12CC3CC(CC(C3)(C2)[N+](C)(C)C)C1, cl: C1CCC(CO)N1Cc1ccccc1, target: [NH2+]1[C@@H](C)CCC[C@H]1C
origin: C(C)CNCCC, cl: c1cc(C(O)C(NC)C)ccc1, target: C(C)(C)N(CC)C(C)C
origin: C(C)[N+](CC)(CC)CC, cl: C1CCCCC1N(C)C1CCCCC1, target: C(N(C(C)C)CC)(C)C
origin: C1C(CCCC1)N, cl: CC1N(Cc2cccc(F)c2)CCC1, target: CC(C)N(CC)C(C)C
origin: C1C2CCC(CC1)C[N+](C)(C2)C, cl: c1ccc(cc1)C(O)C(NC)C, target: C[N+]1(C)CC(C)CC(C)C1
origin: N(CC)(CC)CC, cl: C1CC(N(C2CCCCC2)C)CCC1, target: CC[N+](CC)(CC)CC
origin: CC(C)(N(C(C)C)CC)C, cl: c1ccc(c(c1)CN1C(CO)CCC1)F, target: C(C)[N+](CC)(CC)CC
origin: C1(C)NCCNC(C)(CC(NCCNC(C1)(C)C)C)C, cl: C(C)CN(CCC)CCC, target: C(C)(C)N(CC)C(C)C
origin: C(C)(C)N(CC)C(C)C, cl: C1CCN(CCCN(C)CCCN(C)C1)C, target: CC(C)N(CC)C(C)C
origin: CC[N+]1(CC)C(C)CCCC1C, cl: C1CCCC2C3CC(CN12)C1CCCC[N+]1(C3)C, target: C1CC(C)(C)[N+](CC)(C)C(C)(C)C1
origin: CC(N(CC)C(C)C)C, cl: C(N(CC)CC)C, target: C(C)(N(CC)C(C)C)C
origin: C(C)[N+]1(C(C)CCCC1C)C, cl: CC(N(CC)CC)C, target: [N+]1(CC)(CC)[C@@H](C)CCC[C@H]1C
origin: CC1CC(C)C[N+](C)(C)C1, cl: C1N(CCC1)Cc1ccccc1, target: C[N+]1(C)CC(C)CC(C)C1
origin: C1C([N+](CC)(C)CCC1)C, cl: C1CCCC(N(C2CCCCC2)C)C1, target: C(N(C(C)C)C(C)C)C
origin: C(CCCCCCCC)CCCCCC[N+](C)(C)C, cl: C1C2CC3CC(CC1C3)([N+](C)(C)C)C2, target: C(C)(N(CC)C(C)C)C
origin: C(CCCCCCCCCCCC)CCC[N+](C)(C)C, cl: C1CC(CCC1)N(C)C1CCCCC1, target: CC1CC(C)C[N+](C)(C)C1
origin: C(CCCCCCCCCCCCCC)CCC[N+](C)(C)C, cl: CCN(CC)CC, target: N(C(C)C)(CC)C(C)C
