origin: N1(C)CCN(C)CCN(C)CC1(C)CCN(C)CC, cl: C1CN(C)CCN(, target: N1(C)CCN(C)CCN(C)CC1
origin: CC1C[N+](C)(C)CC(C)C1, cl: C1C(C)C[N+](C)(C)1CCC, target: CC1C[N+](C)(C)CC(C)C1
origin: CC[N+](CC)(CC)CC, cl: C([N+](CC)(CC)CC)C, target: CC[N+](CC)(CC)CC
origin: C(C)[N+](CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: CC(N(C(C)C)CCCCCN(C)C)C, cl: C(C)(C)N(CCCCCN(C)C)C, target: CC(N(C(C)C)CC)C
origin: C(C)N(C(C)C)C(C)C, cl: C(N(C(C)C)CC)C, target: C(C)N(C(C)C)C(C)C
origin: CC1(C)CCCCNCC, cl: CC1(C)CCCN(C)CC, target: CC1(C)CCCC(C)(C)[N+]1(C)CC
origin: CC(C)N(CCCCCC(()C))CC, cl: CC(N(CC)C(C)C)C, target: CC(C)N(CC)C(C)C
origin: C1C[C@H](](c)ccc1)(C)Cc1ccccc1, cl: C([N+]1(CC)CC2C3C4C(C(C2C1)C=C3)C[N+](CC)(C4)CC)C, target: C1C[C@H](C)[N+](CC)(CC)[C@H](C)C1
origin: C1(C)C[N+](C)(C)CC(C)C1, cl: C1C(C)C[N+](C)(C)CC1C, target: C1(C)C[N+](C)(C)CC(C)C1
origin: CC(C)N(CCCCC(((C)C)C)C)CCCCCCCC, cl: N(CC)(C(C)C)C(C)C, target: CC(C)N(CC)C(C)C
origin: C(C)(N(C(C)C)CC)C, cl: C(C)(N(C()))C)C, target: C(C)(N(C(C)C)CC)C
origin: CC1CC(C)C[N+](C)(C)C1, cl: [N+]1(C)(CCCCC[N+]2(C)CCCC2)CCCC1, target: CC1CC(C)C[N+](C)(C)C1
origin: C(C)(C)N(CCCCCNNCCCCC)C, cl: CCN(C(C)C)C, target: C(C)(C)N(CC)C(C)C
origin: CC1CC(C)C[N+](C)(C)C1, cl: CC1C[N+](C)(CCCC)(C)CC1, target: CC1CC(C)C[N+](C)(C)C1
origin: C([N+](CC)(CC)CC)C, cl: C(C)[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C(C)(C)N(CC)CCC, cl: C(N(CC)C(C)C)(C)C, target: C(C)(C)N(CC)C(C)C
origin: C(N(C(C)C)CC(C)C)C, cl: CC(C)N(C(C)C)CC, target: C(N(C(C)C)CC)(C)C
origin: C1[NH2+]CC(C)CC1C, cl: [C@H]1(C)CcCcccc1, target: C1[NH2+]C[C@@H](C)C[C@@H]1C
origin: C1CC[C@H]+](c1ccccc1)C, cl: C[C@@H]1C(C)CCCCC[n+]1ccn(C1cccc11CCCC11CCCC11CCCC1, target: C1CC[C@H](C)[NH2+][C@@H]1C
origin: C1(C)CCCC(C)[N+]1(CCCCCC)C, cl: CC1[N+](CCCC1)(C))C, target: C1(C)CCCC(C)[N+]1(C)C
origin: [N+]1(CC)(CC)CCCC(C)C1, cl: CC[N+]1(CC)CCCC(C)(C1)C, target: [N+]1(CC)(CC)C(C)CCCC1C
origin: C[N+]1(CCCCCC[N+]2(C)CCCCC2)CCCCC1, cl: C(C)[N+]1(CC)CCCC(C)(11CC)C, target: C[N+]1(CC)C(C)CCCC1C
origin: c1c[n+](CC)cn1C, cl: c1n(C)cc[n+]1CC, target: c1c[n+](CC)cn1C
origin: CC1CC(C)C[N+](C)(C)C1, cl: C1(C)C[N+](C)(CCCC)(C)CC1, target: CC1CC(C)C[N+](C)(C)C1
origin: C(NCCNCCN)C, cl: C(CN)NCCN, target: C(NCCNCCN)CN
origin: C(CNCCN)CN, cl: NCCNCCCNCCN, target: C(CNCCN)CNCCN
origin: N1CCNC(C)CC(C)(C)NCCN((C)CCCC1, cl: [C@H]1(C)Cnccc[1+]1C, target: N1CCNC(C)(C)C[C@H](C)NCCNC(C)(C)C[C@@H]1C
origin: N1CCNC(C)CC(C)(C)NCCNC(C)CC1(C)C, cl: CC1(C)NCCNC(C)CC(C)(NCCNC(C1CCCCC1)C, target: N1CCNC(C)(C)C[C@H](C)NCCNC(C)(C)C[C@@H]1C
origin: [C@@H]1(CC)NcCc(c[c+](c)c1C)cccc, cl: C1[C@H](C(C)(C)C)CC, target: [C@@H]1(C)C[C@H](C)C[N+](C)(C)C1
origin: C1[N+](C)(C)CC(C)CC1C, cl: [N+]1(C)(C)CC(CC(C))1)C, target: C1[N+](C)(C)C[C@@H](C)C[C@@H]1C
origin: C1C(C)CC(C)C[N+]1(C)C, cl: CC1CC(C)C[N+](C)(C1)C, target: C1C(C)CC(C)C[N+]1(C)C
origin: CC1[N+](C)(C)C(C)CCC1, cl: CC[N+]1(CC)C2C(C)CCCC2CCC1, target: CC1[N+](CC)(CC)C(C)CCC1
origin: [N+]1(C)(C)CC(C)CC(C)C1, cl: C12[N+](CC)(CCC(C)C1C2(C)C)CC, target: [N+]1(C)(C)C2CCCC1CCC2
origin: CC1[N+](CC(())CCCC)(C)CC1, cl: C(C)[N+]1(CC)CCCC(C)(C1)C, target: CC1[N+](CC)(CC)C(C)CCC1
origin: C1C(C)C[N+](C)(C)CC1C, cl: C[N+]1(C)CC(CCCC)CCC1, target: C1C(C)C[N+](C)(C)CC1C
origin: CC[P+](CC)(CC)CC, cl: C([P+](CC(()C)CC(()C)C)(C)C)CCC(C)(, target: CC[P+](CC)(CC)CC
origin: CC1CCCC(C)[N+]1(CCCCCC)C, cl: C[N+]1(C)CC(C)(C)CCC1, target: CC1CCCC(C)[N+]1(C)C
origin: C1(C)(C)[N+](CC(())C)(C)CCC11CCCCC1, cl: CC1(C)CCCN(C)CC, target: C1(C)(C)[N+](CC)(C)C(C)(C)CCC1
origin: C([N+]1(CCCC[[+]22CCCCCCC))CCCCCCC, cl: CC1[N+](C)CC(CC1)(, target: C([N+]1(CC)C(C)CCCC1C)C
origin: CC1CCCC(C)[N+]1(C)C, cl: C1CC(C)[N+](C(())))1(())), target: CC1CCCC(C)[N+]1(C)C
origin: CC1(C)C2CC1[C+](C))CC(C2(C)C)C3, cl: C[N+]1(C)CC2CCCCC2CCC1, target: CC1(C)C2CCC[N+](C)(C)C1C2
origin: C1C2(C)CC(CN(C)C1)CN, cl: C1C2(C)C[(+](C)(C)C)CC(C1(()C)C2)C, target: C1C2(C)CC(C)(C)CC([N+]1(C)C)C2
origin: CC1(C)C2[C+](C))CC(C)(C)CCC2, cl: C12CC(C1(C)C)[(+](C)(C)CC2)C, target: CC1(C)C2[N+](C)(C)CCCC1C2
origin: CC1(C)C2CCC[C+](CC)(CCCC))CC, cl: C12CC([N+](C))C()2CCCC))C1CC(C)CC, target: CC1(C)C2CC1[N+](C)(C)CCC2C
origin: CC(C)N(C())C, cl: CC(C)N(CCCCC(()))CCCC(())CCCC1(C(C)(C)C)C, target: CC(C)N(C(C)C)CC
origin: CC(N(CC)C(C)C)C, cl: CC(N(CC)C(C)C)C, target: CC(N(CC)C(C)C)C
origin: C(C)(C)N((())C)N(C)C, cl: CC(N(CC)C(C)C)C, target: C(C)(C)N(CC)C(C)C
origin: [n+]1(C)ccn(CC)c1, cl: [n+]1(C)cn(CC)cc1, target: [n+]1(C)ccn(CC)c1
origin: CC(N(C(C)C)CC)C, cl: C(C)N(C(C)C)C(C)C, target: CC(N(C(C)C)CC)C
origin: C([P+](CC)(CC)CCCC[N+](CC)(CC)CC)C, cl: C([P+](CC)(CC)CC)C, target: C([P+](CC)(CC)CC)C
origin: C1(C)CC(C)C[N+](C)(C)C1, cl: [N+]1(C)(C)CC(C)(C)CCC1, target: C1(C)CC(C)C[N+](C)(C)C1
origin: C1C(CC)[N+](C)(C)CCC1, cl: [N+]1(C)(CCCCCCC)CCC(C1CCCC1CC2NCCCCC1)C, target: C1C(CC)[N+](C)(C)CCC1
origin: [N+]1(C)(C)C(C))CC(C)CC1C, cl: CC[N+]1(CC)CC(CC(C)C1)C, target: [N+]1(C)(CC)C(C)CCCC1C
origin: CC1[N+](C)(CCCCCC)NCC1, cl: C(C)[N+]1(CC)CC(C)CC(C1)C, target: CC1[N+](CC)(CC)C(C)CCC1
origin: C1CC(C)[N+](CC)(CC)C(C)C1, cl: C1(C)CCCC([N+]1(CCCCC))C, target: C1CC(C)[N+]2(CCCC2)C(C)C1
origin: CC1(C)C[N+](CC(())C(C)CCC(C)C11CCCC1, cl: CC1(C)C[N+](CCC1)(CCCCC)[, target: CC1(C)C[N+](C)(C)CC(C)(C)C=C1
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: CC(N(CC)CCC)C, cl: CC(C)N(CCCCCN(C)C)C, target: CC(N(CC)C(C)C)C
origin: C(C)(N(C(C)C)CC)C, cl: CC(C)N(CCCCCN(C)C)C, target: C(C)(N(C(C)C)CC)C
origin: C1CN(C)CCN(C)CCN(C)CCN(C)CCN(C)CCN1C, cl: N1(C)CCN(CCN(C)NCC1(C)CCN(C)CCN(C)C)1, target: C1CN(C)CCN(C)CCN1C
origin: C1N(C)CCN(C)CCN(C)CCN(C)CCN(C)CCN(C)C1, cl: CN1CCN(C)NCCN, target: C1N(C)CCN(C)CCN(C)C1
origin: C1CC[C@H]+](c1ccccc1)C, cl: [C@H]1(C)CCCC[[+]2(C)CCCC, target: C1CC[C@H](C)[N+](C)(C)[C@@H]1C
origin: C[C@@H]1C(n)cccc1, cl: C1[C@H](C(C)(C)C))CCCC, target: C[C@@H]1CCC[C@H](C)[N+]1(C)C
origin: C[N+]1(C)CC2CCCCC2CC1, cl: C[C@@H]1[(+](C)(C)C)(, target: C[N+]1(C)[C@H](C)CCC[C@@H]1C
origin: C[C@@H]1C(n)cccc1, cl: C1[N+](C)(C)CCCCC(C)C1, target: C[C@@H]1C[N+](C)(C)C[C@H](C)C1
origin: C[C@H]1C[n+]1ccc(1)ncCc1, cl: C1[C@H](C2(CCCC2)C2)CC1CC[N+](C)(C)C, target: C[C@H]1C[C@@H](C)C[N+](C)(C)C1
origin: C1[C@H](C([)+]2ccccc1)Cc(c)cc1, cl: [C@@H]1(C)CCCCC[N+]1(C)CCCC1, target: C1[C@H](C)C[C@H](C)C[N+]1(C)C
origin: CC[P+](CC)(CC)CC, cl: [P+](CC)(CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: C1(C)CC(C)C[N+](C)(C)C1, cl: [N+]1(C)(C)CC(CCCC)(C)CC1, target: C1(C)CC(C)C[N+](C)(C)C1
origin: CC1C[N+](C)(C)CC(C)C1, cl: C[N+]1(C)CC(C)(C)CCC1, target: CC1C[N+](C)(C)CC(C)C1
origin: C([N+](CC)(CC)CC)C, cl: C([N+](CC)(CC)CC)C, target: C([N+](CC)(CC)CC)C
origin: C1C(C)C[N+](C)(C)CC1C, cl: [N+]1(C)(C)CC(C)CC(C1)C, target: C1C(C)C[N+](C)(C)CC1C
origin: C1[N+](C)(C)CC(C)CC1C, cl: C[N+]1(C)CC(CC(C1)C)C, target: C1[N+](C)(C)CC(C)CC1C
origin: CC[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: C([P+](CC)(CC)CC)C, cl: [P+](CC)(CC)(CC)CC, target: C([P+](CC)(CC)CC)C
origin: CC[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: C([P+](CCC(C)C)CCCCCNNCCCCC), cl: CC[P+](CC)(CC)CC, target: C([P+](CC)(CC)CC)C
origin: N(CC)(C(C)C)C, cl: CC(N(CC)C(C)C)C, target: N(CC)(C(C)C)C(C)C
origin: [C@H]1(C)CnCcccc1, cl: [NH2+]1C[(+]2(CCC1CC2)C, target: [C@H]1(C)C[NH2+]C[C@@H](C)C1
origin: C[C@@H]1C(n)cccc1, cl: C1C[C@@H]+]2C(C)CC1C, target: C[C@@H]1CCC[C@H](C)[NH2+]1
origin: CC(C)N(C(C)C)CC, cl: CC(N(C(C)C)CC)C, target: CC(C)N(C(C)C)CC
origin: CC(C)N(C(C)C)CC, cl: N(CC)(C(C)C)C(C)C, target: CC(C)N(C(C)C)CC
origin: C(N(C(C)C)C))C, cl: CC(C)N(CCCCCN(C)C)C, target: C(N(C(C)C)C(C)C)C
origin: CC1C[N+](C)(C)CC(C)C1, cl: [N+]1(C)(C)CCCC2C1CCCC, target: CC1C[N+](C)(C)CC(C)C1
origin: C([N+](CC)(CC)CC)C, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C(C)[N+](CC)(CC)CC, cl: [N+](CC)(CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: CC(C)N(C())C, cl: CCN(C(C)C)C(C)C, target: CC(C)N(C(C)C)CC
origin: C(N(CC)C(C)C)CC, cl: N(C(C)C)(CC)C(C)C, target: C(N(CC)C(C)C)(C)C
origin: C1(C)(C)CNCCC1CC, cl: C1CCC(C)(N)C1CC(C)CN, target: C1(C)(C)CCCC(C)(C)[N+]1(CC)C
origin: N(CC)(C(C)C)CCC, cl: CC(C)N(CCCCCN(C(C)C)C(C)C)C(C)C, target: N(CC)(C(C)C)C(C)C
origin: [C@H]1(C)C(C)CCCC[C+]1CC(C)(C)C(C)C1, cl: [N+]1(CC)CC(CCCC)CCCC1, target: [C@H]1(C)[N+](CC)(CC)[C@@H](C)CCC1
origin: C1[N+](C)(C)CC(C)CC1C, cl: C1C(C)C[N+](C)(C)1CCC, target: C1[N+](C)(C)CC(C)CC1C
origin: CC(N(CC)C(C)C)C, cl: CCN(C(C)C)C(C)C, target: CC(N(CC)C(C)C)C
origin: C(C)N(C(C)C)C(C)C, cl: CC(C)N(CCCCCN(C)C)C, target: C(C)N(C(C)C)C(C)C
origin: C1(C)C[N+](C)(C)CC(C)C1, cl: C[N+]1(C)CC(CC(C))1)C, target: C1(C)C[N+](C)(C)CC(C)C1
origin: N(CC)(C(C)C)C, cl: CC(N(CC)C(C)C)C, target: N(CC)(C(C)C)C(C)C
origin: C1(C)CC(C)C[N+](C)(C)C1, cl: C1(C)C[N+](C)(CCCC)(C)CC1, target: C1(C)CC(C)C[N+](C)(C)C1
origin: C(C)[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: CC(C)N(C(C)C)CC, cl: CC(C)N(CCCCC(()))CCCC((C)C)C(C)C, target: CC(C)N(C(C)C)CC
origin: C(C)N(C(C)C)C(C)C, cl: CC(C)N(C(C)C)CC, target: C(C)N(C(C)C)C(C)C
origin: C1[NH2+]CC(C)CC1C, cl: [C@H]1(C)C(C)CCCC[P+](C)(C)C, target: C1[NH2+]C[C@@H](C)C[C@@H]1C
origin: C1CC[C@@H(+]]C(()cccccc))1CC, cl: C1[C@@H](](C)(C)C)CCC, target: C1CC[C@@H](C)[NH2+][C@H]1C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1CC(C)[N+](C(C1CCCC)(C)C)(C)C, target: C[N+]1(C)C(C)CCCC1C
origin: [N+]1(CC)(CC)CCCCC1C, cl: [N+]1(CC)CCCC(C))1CC(C)C, target: [N+]1(CC)(CC)C(C)CCCC1C
origin: CC[N+]1(CC)C(C)CCCC1C, cl: C[N+]1(CCCC(C))C11CCCCC1, target: CC[N+]1(C)C(C)CCCC1C
origin: CC[n+]1cc(()cncC, cl: c1[n+](CC)cn(c)), target: CC[n+]1ccn(C)c1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1C(C)CC(C)N[N+](C)(C)C1, target: C[N+]1(C)CC(C)CC(C)C1
origin: C(NCCN)CN, cl: C(CNCCNCCN)N, target: C(NCCN)CNCCN
origin: C(CNCCN)C, cl: C(CCNCCN)C, target: C(CNCCN)CNCCN
origin: [C@@H]1(CC))cCc(c[c+](c)cc1)c1, cl: C1CNC(C)(C)(C)CC(NCCNC(()1)C)(C)C, target: [C@@H]1(C)NCCNC(C)(C)C[C@H](C)NCCNC(C)(C)C1
origin: C[C@@H]1N(C)C, cl: CC1(C)C[C+](C)(CC1)C, target: C[C@@H]1NCCNC(C)(C)C[C@H](C)NCCNC(C)(C)C1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C[N+]1(C)CC(CC(C))1)C, target: C[N+]1(C)C[C@H](C)C[C@H](C)C1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C[C@H]1C[C+](C)(C)C, target: C[N+]1(C)C[C@@H](C)C[C@H](C)C1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1(C)C[N+](C)(CCCC)(C)CC1, target: C[N+]1(C)CC(C)CC(C)C1
origin: C1CCC(C)[N+](C))CC1, cl: C(C)[N+]1(C(C)CCCC1C)CC, target: C1CCC(C)[N+](CC)(CC)C1C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C[N+]1(C)CC(CCCC)CCC11, target: C[N+]1(C)C2CCCC1CCC2
origin: CC1[N+](C))CCCC(C)(1)C(C)CCC, cl: C1C(C)[N+](CCC1)(C)C, target: CC1[N+](CC)(CC)C(C)CCC1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1C(C)C[N+](C)(C)CC1C, target: C[N+]1(C)CC(C)CC(C)C1
origin: [P+](CC)(CC)(CC)C, cl: CC[P+](CC)(CC)CC, target: [P+](CC)(CC)(CC)CC
origin: CC1CCCC(C)[N+]1(CCCCCC)C, cl: C1C(C)[N+](C)CC(C)C1, target: CC1CCCC(C)[N+]1(C)C
origin: CC1(C)[N+](C)(C)C(C)CCC1, cl: C1(C)(C)[2+](CCCC1)(C)C, target: CC1(C)[N+](C)(CC)C(C)(C)CCC1
origin: C1CC(C)[N+](C)(C)C(C)C1, cl: C1CCC(C)[N+](C1C)(C)C, target: C1CC(C)[N+](CC)(CC)C(C)C1
origin: C1C(C)[N+](C)(C)C(C)CC1, cl: C[N+]1(C)C2(C)CCCC12CCCCC, target: C1C(C)[N+](C)(C)C(C)CC1
origin: C1(C)(C)CC2[C+](C))CC(C2(C)C)C1, cl: C12CCC[N+](C)(C)C2CCC11, target: C1(C)(C)C2[N+](C)(C)CCCC1C2
origin: C1C2(C)CC(CN(C)C1)CN, cl: C1C2(C)C[(+](C)(C)C)CC(C)(C1)C2, target: C1C2(C)CC(CC(C)(C)C2)[N+]1(C)C
origin: [N+]1(C)(C)CC(C)CC(C)C1, cl: C[N+]1(C)CC(CC(C))1)C, target: [N+]1(C)(C)CCCC2CC1C2(C)C
origin: CC1(C)C2CC1[C+](CC)CCCC2NN, cl: C1CC(C)C2[C+](C)(C1C2)C, target: CC1(C)C2CC1C(C)CC[N+]2(C)C
origin: CCN(C(C)C)C(C)C, cl: CC(C)N(C(C)C)CC, target: CCN(C(C)C)C(C)C
origin: CC(N(CC)CCCCC(()N)C)C, cl: CC(N(C(C)C)CC)C, target: CC(N(CC)C(C)C)C
origin: N(CC)(C(C)C)C(C)C, cl: C(C)(N(CC)C(C)C)C, target: N(CC)(C(C)C)C(C)C
origin: c1[n+](C)ccC1C, cl: c1n(CC)c[n+](C1)c, target: c1[n+](C)ccn1CC
origin: N(C(C)C)(C)C, cl: C(C)N(C(C)C)C(C)C, target: N(C(C)C)(CC)C(C)C
origin: CC[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: C[N+]1(C)CC(C)CC(C)C1, cl: CC1CC(C)C[N+](C1)(C)C, target: C[N+]1(C)CC(C)CC(C)C1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C(C)C1[N+](CC(C)CC1))CC, target: C[N+]1(C)CCCCC1CC
origin: C1(C)[N+](CC)(CCCCCC)CCC1, cl: CC1[N+](CCCC1)(C)), target: C1(C)[N+](C)(CC)C(C)CCC1
origin: CC1[N+](C)(C))(C)CCCC, cl: CC1CCCC(CN[N+]1(CCCCC)C)C, target: CC1[N+](CC)(CC)C(C)CCC1
origin: C1CC[N+]2CC(C)CC(C)C2, cl: CC1[N+]2(CCCC2)C(CCC1)C, target: C1CC[N+]2(C(C)CCCC2C)C1
origin: CC1(C)C[N+](C))CCCC1, cl: C[N+]1(C)CC(C)(C)CCC1, target: CC1(C)C[N+](C)(C)CC(C)(C)C=C1
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C(C)N(C(C)C)C(C)C, cl: N(C(C)C)(CC)CCCCCN(C)C, target: C(C)N(C(C)C)C(C)C
origin: C(N(C(C)C)CC)C, cl: CC(C)N(C(C)C)CC, target: C(N(C(C)C)C(C)C)C
origin: C1CN(C)CCN(C)CCN(C)CCN(C)CCN(C)CCN(C)C1, cl: C1N(C)CCN(CCC((C)NCC(CCN(C))1)())C, target: C1CN(C)CCN(C)CCN1C
origin: CN1CCN(C)CCN(C)CC1, cl: N1(C)CCN(CCC((CCN(CCC1)C)C)CCCC, target: CN1CCN(C)CCN(C)CC1
origin: C[C@@H]1C(n)cccc1, cl: [C@@H]1(CCCCCCC)(C)C, target: C[C@@H]1CCC[C@H](C)[N+]1(C)C
origin: C[C@@H]1[(+](C)1ccccc11(C)C, cl: [C@@H]1(CCCCCCC)CC, target: C[C@@H]1[N+](C)(C)[C@H](C)CCC1
origin: C1C[C@H](]1Cc2ccccc2)C11CCNCC2, cl: C[C@H]1CCC(()))C(C)(C)C, target: C1C[C@H](C)[N+](C)(C)[C@H](C)C1
origin: C[C@H]1C[n+]1ccc(1)ncCc1, cl: [C@H]1(C)CCCCC[, target: C[C@H]1C[C@@H](C)C[N+](C)(C)C1
origin: C[N+]1(C)CCCC2CCCCC22, cl: [C@H]1(C)CCCCCNN, target: C[N+]1(C)C[C@@H](C)C[C@@H](C)C1
origin: C1[C@H](C([)+]2ccccc2)Cc(c)cc1, cl: C1[C@@H](]2CCCC2CC))CCC1, target: C1[C@H](C)C[C@H](C)C[N+]1(C)C
origin: CC[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: CC1C[N+](C)(C)CC(C)C1, cl: C1(C)CC(C)N[N+](C))C1, target: CC1C[N+](C)(C)CC(C)C1
origin: CC1C[N+](C)(C)CC(C)C1, cl: CC1CC(C)C[N+](C))CCCC, target: CC1C[N+](C)(C)CC(C)C1
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: CC1C[N+](C)(C)CC(C)C1, cl: CC1C[N+](C)(C)CC(C)C1, target: CC1C[N+](C)(C)CC(C)C1
origin: CC1CC(C)C[N+](C)(C)C1, cl: C[N+]1(C)CC(CCCC)CCC, target: CC1CC(C)C[N+](C)(C)C1
origin: CC[P+](CC)(CC)CC, cl: C([P+](CC)(CC)CC)C, target: CC[P+](CC)(CC)CC
origin: C(C)[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: C(C)[P+](CC)(CC)CC
origin: CC[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: C([P+](CCC([)+](CCCCCC)CC(C)C)C)CCCC, cl: C(C)[P+](CC)(CC)CC, target: C([P+](CC)(CC)CC)C
origin: C(C)N(C(C)C)C, cl: CC(N(CC)C(C)C)C, target: C(C)N(C(C)C)C(C)C
origin: C1[C@H](C([N+]2(C)CCCCC2)CCCCC), cl: [NH2+]1C[(+]2(CCC12CCCCC2)C, target: C1[C@H](C)C[C@H](C)C[NH2+]1
origin: [C@@H]1(CnCcccc))1C, cl: [C@H]1(C)CCCCCN, target: [C@@H]1(C)[NH2+][C@H](C)CCC1
origin: C(N(CC)C(C)C)CC, cl: CC(N(CC)C(C)C)C, target: C(N(CC)C(C)C)(C)C
origin: N(CC)(C(C)C)C(, cl: C(N(C(C)C)CC)CCCCC(((C)C)C(C)C)CC(((C)CCCCCCCCCCCCCCCCCC))(, target: N(CC)(C(C)C)C(C)C
origin: CC(C)N(CC)CCC, cl: CC(N(C(C)C)CC)C, target: CC(C)N(CC)C(C)C
origin: C1[N+](C)(C)C22CCCCCCCCC22, cl: C1[N+](C)(C)CCCC1CC, target: C1[N+](C)(C)CC(C)CC1C
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C([N+](CC)(CC)CC)CC, cl: C([N+](CC)(CC)CC)C, target: C([N+](CC)(CC)CC)C
origin: C(N(C(C)C)(C)C)C, cl: CCN(C(C)C)C(C)C, target: C(N(C(C)C)C(C)C)C
origin: CC(N(C(C)C)CC)C, cl: CC(C)N(C(C)C)CC, target: CC(N(C(C)C)CC)C
origin: C1(C)(C)[2+](C)CCCCC1, cl: CC1(C)CCCC(C)([N+]1(C)CC)C, target: C1(C)(C)[N+](C)(CC)C(C)(C)CCC1
origin: N(CC)(C(C)C)O(C)C, cl: CC(C)N(CCCCCN(C(C)C)C(C)C)C(C)C, target: N(CC)(C(C)C)C(C)C
origin: C1CC[C@H]+]1cccc11, cl: C[C@@H]1C(C)CCCC[N+](C)(C)C, target: C1CC[C@H](C)[N+](CC)(CC)[C@@H]1C
origin: C1(C)C[N+](C)(C)CC(C)C1, cl: C1[N+](C)(CCCC1)C, target: C1(C)C[N+](C)(C)CC(C)C1
origin: C(C)N(C(C)C)C(C)C, cl: CC(C)N(CCCCCN(C(C)C)C(C)C)C(C)C, target: C(C)N(C(C)C)C(C)C
origin: C(C)(N(C(C)C)CC)C, cl: C(N(C(C)C)CC)CCCCCN(CCCC)(CCC)CCC, target: C(C)(N(C(C)C)CC)C
origin: C1(C)CC(C)C[N+](C)(C)C1, cl: C1[N+](C)(CCCCC[N+]2(CCCC2)C)CCC1, target: C1(C)CC(C)C[N+](C)(C)C1
origin: CC(C)N(CCCCCN(CCC)C)C, cl: C(N(C(C)C)CC)C, target: CC(C)N(CC)C(C)C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C[N+]1(C)CC(CC(C1)C)C, target: C[N+]1(C)CC(C)CC(C)C1
origin: CC[N+](CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: CC(C)N(CC)C, cl: CC(N(CC)C(C)C)C, target: CC(C)N(CC)C(C)C
origin: CC(C)N(C())C, cl: CCN(C(C)C)C(C)C, target: CC(C)N(C(C)C)CC
origin: C1[NH2+]CCCCCC, cl: C[C@@H]1C(C)CCCCC[n+]1cc(()(n)C)C)C, target: C1[NH2+]C[C@@H](C)C[C@@H]1C
origin: C1[C@@H](]2Cc(c)ccc2)CCC(C)CC, cl: [NH2+]1[C+((C)C)CC(C)(C)CCC1, target: C1[C@@H](C)[NH2+][C@@H](C)CC1
origin: [N+]1(C)(C)CC(C)CC(C)C1, cl: [N+]1(C)(CCCCCC))CCCCC, target: [N+]1(C)(C)C(C)CCCC1C
origin: [N+]1(CC)(CC)CCCC(1)C, cl: C1CC(C)[N+](C(C)C1)(C)C, target: [N+]1(CC)(CC)C(C)CCCC1C
origin: C1(C)[N+](CC(())CCCCC[C+]((C)(C)CC)CC2)CCC1, cl: C1CC(C)[N+](CC)(CCCC)(C1CCCC1, target: C1(C)[N+](CC)(C)C(C)CCC1
origin: [n+]1(CC)ccn(C)c1, cl: Cn1c[n+](Cc)c1, target: [n+]1(CC)ccn(C)c1
origin: [N+]1(C)(C)CC(C)CC(C)C1, cl: [N+]1(C)(C)CC(CCCC)(C)C, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C(CNCCN)N, cl: NCCNCCNCCNCCN, target: C(CNCCN)NCCN
origin: C(CNCCN)C, cl: NCCNCCCNCCN, target: C(CNCCN)CNCCN
origin: CC1(C)NCCCC(C)(C)NCC1CC(C)(C)CC11, cl: N1CCN[C@@(C)(C)CC(NCCN(())C1N(C)C)C, target: CC1(C)NCCN[C@@H](C)CC(C)(C)NCCN[C@@H](C)C1
