origin: C1CNCCC1N, cl: C1CNCCC1N, target: C1CNCCC1N1CCCCC1
origin: [N+]1(CC)(CC)CCCC(())C1, cl: CC1C[N+](C)(CC(C1)C)C, target: [N+]1(CC)(CC)CCCC(C)C1
origin: [N+]1(CC)(CC)C(C)CCCC1C, cl: CC1OC(C)C[N+](C1)(CC)CC, target: [N+]1(CC)(CC)CC(C)OC(C)C1
origin: CC[N+]1(CC)CCCC(C)C1, cl: C1C[N+](C))C(CC1CCCC1CC[N+](C)1CCCC))C, target: CC[N+]1(CC)CC(C)(C)CCC1
origin: [N+]1(CC)(CC)C(C)CCCC1C, cl: CC1C[N+](CC(C1)C)(C)C, target: [N+]1(CC)(CC)CC(C)CC(C)C1
origin: [N+]1(C(C)C)(C)CCCC(C)CC, cl: C[N+]1(C(CCCC1C)C)CC, target: [N+]1(C(C)C)(C)CCCC(C)(C)C1
origin: C1CCC[N+]1(CCCC)C(C)C1C, cl: C1CCC[N+]((CCC)CC(()))1)(C)C, target: C1CCC[N+]12CC(C)(C)CCC2
origin: C1C(C)C[N+](C))C(1)CC(C)CC(C)CC, cl: CC1CC(C)C[N+](C1)(C)C, target: C1C(C)C[N+]2(CCCC2C)CC1C
origin: C1OCCNC1, cl: C1NCCOC1, target: C1OCCNC1
origin: N1CCC(N2CCCCC2)CC1, cl: N1CCC(N2CNCCCC)CC2CC1CC, target: N1CCC(N2CCCCC2)CC1
origin: CCNCC, cl: C(NCC)C, target: CCNCC
origin: NCCNCCN, cl: NCCNCCN, target: NCCNCCN
origin: C1CCCN(C2CCNCC2)C1, cl: C1CN(C2CCNCC2)CCC1, target: C1CCCN(C2CCNCC2)C1
origin: c1cccnc1, cl: c1ncccc1, target: c1cccnc1
origin: c1cncn1C, cl: n1ccn(C)c1, target: c1cncn1C
origin: C(CNCCC)C, cl: C(CC)NCCC, target: C(CNCCC)C
origin: C(C)CNCCC, cl: CCCNCCC, target: C(C)CNCCC
origin: c1[nH+]ccc1, cl: c1[nH+]cccc1, target: c1[nH+]cccc1
origin: C[NH+]1C==C=11, cl: C1=NC=C[NH+](C)(, target: C[NH+]1C=CN=C1
origin: C1CCN(C)CCN(C)CCCN(C)CCN(C)C1, cl: C1CCCN(C))1, target: C1CCN(C)CC1
origin: C[N+](C)(CCCCCNNCC)C, cl: [N+](C)(C)(C)CCOCCC, target: C[N+](C)(C)C
origin: C1C2CC3CC1C[(+]1(C)CCCC21CC, cl: C1C2([N+](C)(C)C)CC3CC1CC(C2)C3, target: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3
origin: C[N+](C)(C1C22CCCC1CCC2)CC, cl: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2, target: C[N+](C)(C)C12CC3CC(C1)CC(C2)C3
origin: C1NCCOC1, cl: C1NCCOC1, target: C1NCCOC1
origin: C1COCCN1, cl: O1CCNCC1, target: C1COCCN1
origin: NC1CCCCC1, cl: C1CCC(N)CC1, target: NC1CCCCC1
origin: C1CCCC(N)C1, cl: NC1CCCCC1, target: C1CCCC(N)C1
origin: C(C)N(CC)CC, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: C(N(CC)CC)C, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C1NCCN(C)C1, cl: C1NCCN(C)C1, target: C1NCCN(C)C1
origin: C1[N+](C)CC2((C)CCCCC))CCCC1, cl: C1CCC2C(CCC[)+]2CC1CC, target: C1[N+](C)(C)CC2CCCCC2CC1
origin: C1CCCC2CCC[N+](C)(C)C1, cl: C1C2C(CCC1)CNCC2, target: C1CCCC2CCC[N+](C)(C)C12
origin: C12CCCCC1CNCC2, cl: C[N+]1(C)CCCC2CCCCC22, target: C12CCCCC1[N+](C)(C)CCC2
origin: C1CCC2[N+](C)(CCCCCC[N+]3(C)C4CCCC3CC4)C1CC2, cl: C1[N+](C)(C)CC2C1C1CCC2C11CCCC1, target: C1CCC2[N+](C)(C)CCCC2C1
origin: C1CCC2CCCCC2[N+](())CCC, cl: C1CC2CCC[N+](C)CC2CC, target: C1CCC2CCC[N+](C)(C)C12
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C[N+]1(C)CCCC2CCCCC21, target: C[N+]1(C)CCC2CCCC2C1
origin: C1CCNCC1, cl: C1NCCCC1, target: C1CCNCC1
origin: C1CNCCO1, cl: C1OCCNC1, target: C1CNCCO1
origin: C1CNCCCNC, cl: C1NCCCNCCC, target: C1CNCCCNCCNCCCN1
origin: Cn1c[n+](C)cc1C, cl: C[n+]1ccnCC1ccccc, target: Cn1c[n+](C)cc1
origin: n1(C)cc[n+](C)c1, cl: c1[n+](CCcccc1)n, target: n1(C)cc[n+](CC)c1
origin: CCN(CC)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C(N(CC)CCCCCCN(C)C)C, cl: C(N(CC)CCCCCN(C)C)C, target: C(N(CC)CC)C
origin: CCN(CC)CC, cl: C(N(CC)CCCCCN(CCC)CCC)CC, target: CCN(CC)CC
origin: C1NCCOC1, cl: C1OCCNC1, target: C1NCCOC1
origin: C1COCCN1, cl: C1COCCN1, target: C1COCCN1
origin: C1NCCOC1, cl: N1CCOCC1, target: C1NCCOC1
origin: c1n(C)c[n+](CC)c1, cl: n1(C)c[n+](cc1)CC, target: c1n(C)c[n+](CC)c1
origin: C1CCCNC1, cl: N1CCCCC1, target: C1CCCNC1
origin: C1CCCNC1, cl: C1CNCCC1, target: C1CCCNC1
origin: C1CCCNC1, cl: C1CCCCN1, target: C1CCCNC1
origin: C1CNCCC1, cl: C1CNCCC1, target: C1CNCCC1
origin: C([N+](CC)(CC)CC)C, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C1CCC(N)CC1, cl: C1C(N)CCCC1, target: C1CCC(N)CC1
origin: C1CCC(N)CC1, cl: C1CC(N)CCC1, target: C1CCC(N)CC1
origin: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, cl: C1C2CC3CC(C2)CC1([3+](C)(C)C)C3, target: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2
origin: C([N+](CC)(CC)CC)C, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C1NCCOC1, cl: N1CCOCC1, target: C1NCCOC1
origin: C[N+](C)(C1CCCCC1)CCC, cl: C1C2CC3CC([C+](C)(C)C3)(C1)C2, target: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: CCN(CC)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: N(CC)(CC)CC, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: C[N+](C)(C)C, cl: C1CCCCC1[N+](()))CCC, target: C[N+](C)(C)C1CCCCC1
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: CC[N+](CC)(CC)CC, cl: C([N+](CC(()))CC)(C)C, target: CC[N+](CC)(CC)CC
origin: C12CC3CC([N+](C)(C)C)(CC)CCCC3)CC2, cl: C[N+](C)(C)C12CC3CC(CC)CC1C2, target: C12CC3CC([N+](C)(C)C)(C1)CC(C3)C2
origin: C([N+](CC)(CC)CC)C, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C(CO)N(C)OCO, cl: N(CCO)(C)CCO, target: C(CO)N(C)CCO
origin: C(CO)N(CCO)C, cl: C(O)CN(CCO)C, target: C(CO)N(CC)CCO
origin: C([N+](CC)(CC)CC)C, cl: C([N+](CC(()C)CC)(C)C)C, target: C([N+](CC)(CC)CC)C
origin: C[N+]1(C)CC2C(C3C=CC2CCC3C2)11, cl: [N+]1(C)(C)CCCCCCCC1, target: C[N+]1(C)CC2CCCCC2CCC1
origin: C1CC2C(CCC)2CC[[+]1(C)), cl: C1[N+](C)(CCCCCCCNNCCCC))C, target: C1CC2C(CC1)[N+](C)(C)CCC2
origin: C1CCC2CCC[C+](CC)(CCCC))C1, cl: C12C(CCCC))CCCC[N+]1CCC, target: C1CCC2CCC[N+](C)(C)C2C1
origin: [N+]1(C)(C)C2CCCCC2CCC1, cl: C[N+]1(C)CC2C(CCCC))CCC1, target: [N+]1(C)(C)C2CCCCC2CCC1
origin: [N+]1(C)(C)CCCC2CCCCC221C1CCCC2, cl: C[N+]1(C)CCCC2CCCCC11, target: [N+]1(C)(C)C2CCCC2CCC1
origin: C[N+]1(C)CCCCCCCC, cl: C1[N+](C)(CCCC1CC)C, target: C[N+]1(C)CCC2C(CCC2)C1
origin: [N+](CC)(CC)(CC)CC, cl: C([N+](CC)(CC)CC)C, target: [N+](CC)(CC)(CC)CC
origin: C1(N)CCCCC1, cl: C1CCC(N)CC1, target: C1(N)CCCCC1
origin: C1CC(N)CCC1, cl: C1C(N)CCCCC1, target: C1CC(N)CCC1
origin: N1CCCCC1, cl: N1CCCCC1, target: N1CCCCC1
origin: n1ccccc1, cl: c1ccncc1, target: n1ccccc1
origin: c1c[n+](C)c(C)n1C, cl: c1n(C)cc[n+]1CC, target: c1c[n+](C)cn1C
origin: C[n+]1ccnCCC, cl: Cn1cc[n+](C1cCcccc1)C, target: C[n+]1ccn(C)c1
origin: Cn1cc[n+](C)c1, cl: n1(C)c(C)[[+](Cccc1C)C, target: Cn1cc[n+](C)c1C
origin: Cn1cc[n+](C)c1C, cl: C[n+]1ccnnCc, target: Cn1cc[n+](C)c1C
origin: c1(C)n(C)c(n)c(C)c1, cl: n1(C)cc[n+](c1)C, target: c1(C)n(C)cc[n+]1C
origin: Cc1c[n+](C)c(C)n1C, cl: [n+]1(C)cn(c)1)C, target: Cc1c[n+](C)cn1C
origin: c1c(C)n(C)c(C))nCC, cl: n1(C)c(C)[[+](Cccc1C)C, target: c1c(C)n(C)c[n+]1C
origin: Cc1c[n+](C)c(C)n1C, cl: c1c(C)n(C)c(nnC)C, target: Cc1c[n+](C)c(C)n1C
origin: n1(C)c(C)[[+]1cc(C)c(1)n(C)cc1, cl: C[n+]1c(C)n(C(c)c)C)C1, target: n1(C)c(C)c[n+](C)c1C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1(C)CC(C[C+](C))C1CCCC1, target: C[N+]1(C)CC(C)CC(C)C1
origin: [N+]1(CC)(CC)C(C)CCCC1C, cl: C1(C)CC(C)N[C+](C1)(C)C, target: [N+]1(CC)(CC)CC(C)CC(C)C1
origin: C1C2CC3CC(CNNC2CCC))C3[N+](C)(C)C, cl: C12([N+](C)(C)C)CC3CC(CC)CC1C3, target: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3
origin: C1([N+](C)(C)C)CCCCC1, cl: C1CCC([N+](C))C)CC, target: C1([N+](C)(C)CC)CCCCC1
origin: C([N+](CC)(CC)CC)C, cl: C(C)[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: N1CCOCC1, cl: C1COCCN1, target: N1CCOCC1
origin: O1CCNCC1, cl: C1CNCCO1, target: O1CCNCC1
origin: CCN(CC)CC, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C1CCCCC1N, cl: C1CC(N)CCC1, target: C1CCCCC1N
origin: C1C(N)CCCC1, cl: C1CC(N)CCC1, target: C1C(N)CCCC1
origin: [N+]1(CC)(CC)CCCC(())C1, cl: C([N+]1(CC)CC(CC(C))1)CC, target: [N+]1(CC)(CC)CC2C(C3C4C[N+](CC)(CC)CC4C2C=C3)C1
origin: n1(C)cnccn, cl: c1n(C)cncc, target: n1(C)cncc1
origin: c1cccnc1, cl: n1ccccc1, target: c1cccnc1
origin: c1cnccc1C(, cl: n1ccc(C)c1, target: c1cnccc1C
origin: CC[n+]1cn(C)cc1, cl: c1n(C)c[n+](C1cCcccc1)C, target: CC[n+]1cn(C)cc1
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C1CCCCC1N, cl: C1CC(N)CCC1, target: C1CCCCC1N
origin: [N+](C)(C)2CC3CC(CC(C3)C2)C1, cl: [N+](C)(C)(C)C12CC3CC(C2(CC)C1)C3, target: [N+](C)(C)(CCO)C
origin: C12CC3CC(CN(C1)CC)C3NNCCC2, cl: C1C2CC3CC(CC)(C3(C1CCN[)+]2(C)C)C3, target: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2
origin: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2, cl: C12CC3([N+](C)(C)C)CC(CC)CC1CC(C2)C3, target: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2
origin: c1(CC)n(C)c(C)[[+]1ncCCC, cl: C(C)c1n(C)c(C)c[n+]1C, target: c1(CC)n(C)c(C)c[n+]1C
origin: c1(CC)[n+](C)cc(C)n1C, cl: [n+]1(C)c(())(n)C)c1C, target: c1(CC)[n+](C)cc(C)n1C
origin: OCC[N+](C)(C)C, cl: C([N+](C)CC)CC, target: OCC[N+](C)(C)C
origin: C(C)[N+]((C)CC(C)C)CC, cl: C([N+](CC(CCC)[C+](C)CCCCC(C)C)CCCCCCCCCCCCCCC, target: C(C)[N+](CC)(CC)CC
origin: C[N+](C1CCCCC1)(C)C, cl: [N+](C)(C1(CCCC1)C)(C)C, target: C[N+](C1CCCCC1)(C)CC
origin: C1NCCOC1, cl: C1OCCNC1, target: C1NCCOC1
origin: CC[N+](CC(())C)(C)C, cl: [N+](CC)(CC)(CCCCC[N+](CC)(CC)CC)CC, target: CC[N+](CC)(CC)CC
origin: N(CC)CC, cl: CCNCC, target: N(CC)CC
origin: C(CNCCN)NCCNCCN, cl: NCCNCCN, target: C(CNCCN)N
origin: C(N)CNCCNCCN, cl: C(CN)NCCNCCNCCN, target: C(N)CNCCN
origin: OCCNCCN, cl: C(CNCCO)N, target: OCCNCCN
origin: NCCNCCO, cl: C(NCCN)COCC, target: NCCNCCO
origin: NCCNCCNCCNCCN, cl: NCCNCCNCCNCCN, target: NCCNCCNCCN
origin: C(N)CCNCCN, cl: N(CCCN)CCNCCCN, target: C(N)CCNCCNCCCN
origin: NCCCNCCNCCN, cl: C(CN)CNCCNCCNCCN, target: NCCCNCCNCCCN
origin: NCCNCCNCCN, cl: N(CCN)CCN, target: NCCNCCNCCNCCN
origin: C(CNCCN)NCCNCCN, cl: C(NCCNCCN)CN, target: C(CNCCN)NCCNCCN
origin: C(CNCCNCCN)N, cl: N(CCN)CCN, target: C(CNCCNCCN)NCCNCCN
origin: [N+](C)(C12CC3CC(C1(C2)CC3C)C))CC[[+]1(C)C, cl: C12([N+](C)(C)C)CC3CC(CC)CC1C3, target: [N+](C)(C12CC3CC(CC(C1)C3)C2)(C)C
origin: C[N+](C)(C1CC2CCCC1CCC))C, cl: C[N+](C12CC3CC(C1)CC(C2)C3)(C)C, target: C[N+](C)(C12CC3CC(C1)CC(C3)C2)C
origin: C1C2CC3CC(CN1C3)CC2NNCCC, cl: C1C2CC3CC(CC)CCN[C+]3(C))22, target: C1C2CC3CC1([N+](C)(C)C)CC(C3)C2
origin: C[N+](C)(C)21CC3CC(CC(C1)C3)C2, cl: C1C2CC3CC1CC(C2)([3+](C)(C)C)C3, target: C[N+](C)(C12CC3CC(C1)CC(C2)C3)C
origin: C1C2CC3CC(CN)CC2CC[[+]]2, cl: C[N+](C12CC3CC(CC(C3)C1)C2)(C)C, target: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2
origin: C(C[N+](CCC(CC[N+](C)(C)C)CC)CC, cl: C[N+](C)(C)C12CC3CC(CC(C2)C3)C1, target: C(C[N+](C)(C)C)O
origin: N(CC)(CC)CC, cl: C(N(CC)CCO)C, target: N(CC)(CC)CC
origin: C1NCCOC1, cl: C1COCCN1, target: C1NCCOC1
origin: C(CNCCC)C, cl: C(CC)NCCC, target: C(CNCCC)C
origin: C1CCCCC1N, cl: C1C(N)CCCC1, target: C1CCCCC1N
origin: C1CNCCO1, cl: C1CNCCO1, target: C1CNCCO1
origin: C(NCC)C, cl: C(NCC)C, target: C(NCC)C
origin: N(CC)(CC)CC, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: C([N+](CC)(CC)CC)C, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: N(CCN)CCN, cl: C(NCCNCCN)CNNCCN, target: N(CCN)CCNCCNCCN
origin: N(CCNCCNCCC)N, cl: NCCNCCNCCNCCN, target: N(CCNCCNCCNCCN)CCN
origin: C(N)CNCCNCCN, cl: C(N)CNCCNCCNCCN, target: C(N)CNCCN
origin: N(CCN)CCOCCNCCNNCCNNCCO, cl: OCCNCCN, target: N(CCN)CCO
origin: C(CNCCNCCN)CN, cl: NCCNCCNCCNCCN, target: C(CNCCNCCN)N
origin: C(N)CNCCCCCNNCCCC, cl: NCCNCCCNCCN, target: C(N)CNCCCNCCN
origin: C(CCNCCNCCNCCNCCN)C, cl: C(CNCCCN)NCCCN, target: C(CCNCCNCCCN)N
origin: C1([N+](C)(C)C)CCCCC1, cl: C[N+](C)(C)C1CCCCC1, target: C1([N+](C)(C)C)CCCCC1
origin: OCC[N+](C)(C)C, cl: C(CO)[N+](C)(C)C, target: OCC[N+](C)(C)C
origin: C(C)[N+]((C)(C)C)CCCCCCNCC, cl: CC[N+](CC((CCCCCCCCCCNCCCCCCCCCCC)(C)C)CCC, target: C(C)[N+](CC)(CC)CC
origin: C[N+](C)(C)C, cl: C[N+](C)(C)C, target: C[N+](C)(C)C
origin: CC[N+](CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: CCC[N+](CCC)(C)C, cl: C([N+](CC)(CC)CC)C, target: CCC[N+](CCC)(CCC)CCC
origin: [NH+](C)(=)).C(C)), cl: C[NH+](C)(C)C, target: [NH+](C)(C)C
origin: C1N2CN3CNCC(CCCC3)C2, cl: N12CN3CN(C1(CC)CC)C3, target: C1N2CN3CN1CN(C3)C2
origin: [O-]C(=O)O.OON, cl: C(=O)([O-])O.[NH4+], target: [O-]C(=O)C.[NH4+]
origin: [NH4+].[N-])(C)O, cl: [NH4+].[OH]+].C([O-])C, target: [NH4+].[NH4+].[O-]C(C([O-])=O)=O
origin: [O-]C(O)=O.[[H]]], cl: O=C(O)[O-]., target: [O-]C(O)=O.[NH4+]
origin: C(CO)N(C)CCO, cl: OCCN(CCO)C, target: C(CO)N(C)CCO
origin: N(CCO)(C)O, cl: OCCN(CCO)C, target: N(CCO)(C)CCO
origin: CN(CCO)CCO, cl: C(CO)N(C)OCC, target: CN(CCO)CCO
origin: NCCOCCO, cl: C(COCCN)OCCO(C)NCCO, target: NCCOCCO
origin: C(C(O)C)N(C)C, cl: C(C(C)O)N(C)C, target: C(C(O)C)NCC(O)C
origin: C(CN(C)CCOCOOCOOCCOCCO)C, cl: OCCN(C)CCO, target: C(CN(C)CCO)O
origin: N(CC)(CC)CC, cl: CCN(CC)CC, target: N(CC)(CC)CCO
origin: CC(C)(CN)C(, cl: CC(O)(C)C, target: CC(C)(CN)O
origin: C1CCCC([N+](C)(C)C)C1, cl: [N+](C)(C)(C)C1OCCOC1, target: C1CCCC([N+](C)(C)C)C1
origin: c1ccncc1, cl: n1ccccc1, target: c1ccncc1
origin: N(CC)CC, cl: CCNCC, target: N(CC)CC
origin: CCNCC, cl: C(C)NCC, target: CCNCC
origin: N(C(C)C)CCC(C)C, cl: CC(C)NC(C)C, target: N(C(C)C)C(C)C
origin: CC(NC(C)C)C, cl: C(C)(C)NCCC, target: CC(NC(C)C)C
origin: CN(C)CCN(C)C, cl: CN(CCN(C)C)C, target: CN(C)CCN(C)C
origin: CN(CCN(C)C)C, cl: CN(CCN(C)C)C, target: CN(CCN(C)C)C
origin: C1CCCCCN1, cl: C1CNCCCC11, target: C1CCCCCN1
origin: C(C)[n+]1cnnCC1, cl: c1cn(C)c[n+]1CC, target: C(C)[n+]1cn(C)cc1
origin: C(CC)C[n+]1cn(C)cc1, cl: CCCC[n+]1ccn(C)c1, target: C(CC)C[n+]1ccn(C)c1
origin: C(N(CC)CCCCCCN(C)C)C, cl: N(CC)(CC)CC, target: C(N(CC)CC)C
origin: C(N(CC)CCCCCCN(C)C)C, cl: C(N(CC)CCCCCN(CCC)CCC)C, target: C(N(CC)CC)C
origin: C(CCCCCCCCCCCCCCC)), cl: C(CC)CCCCCCCCCCCCC[N+](C)(C)C, target: C(CCCCCCCCCCC)[N+](C)(C)C
origin: C(C[N+](CC)(CC)CC)C, cl: C([N+](C)(C)C)C, target: C(C[N+](C)(C)C)CCCCCCCCCCCCCC
origin: C1(N)CCCCC1, cl: C1(N)CCCCC1, target: C1(N)CCCCC1
origin: C1CCCC(N)C1, cl: C1CC(N)CCC1, target: C1CCCC(N)C1
origin: N(CC)(CC)CC, cl: C(N(CC)CCCCCN(C)C)C(, target: N(CC)(CC)CC
origin: CCN(CC)CC, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: C(N(CC)CCCCCC(C)C)C, cl: N(CC)(CC)CC, target: C(N(CC)CC)C
origin: C(C)N(CC)CC, cl: N(CC)(CC)CC, target: C(C)N(CC)CC
origin: C(NCC)C, cl: CCNCC, target: C(NCC)C
origin: CC1(C)C[N+](C)(C)CC(1)C, cl: C1C(C)(C)N[C+](C)(C)CC1, target: CC1(C)C[N+](C)(C)CCC1
origin: C[N@@+]1(2)CC(C)C(())CC11CCCC21, cl: C1C(C)(C)C[C+](C)(C))1, target: C[N@@+]1(CC)CC(C)(C)CCC1
origin: C1C[C@@H]+]2cnccc1)C, cl: CC[N@@+]1CCCCCC, target: C1C[C@@H](C)[N@+](C)(CC)CC1
origin: CC1(C)CCC[N+]((C)(C)CC)(, cl: C1C(C)(C)CCC[N+]1(CCCCCC)C, target: CC1(C)CCC[N@+]2(C(C)CCC2)C1
origin: C12CCCC(CC11[[+]+2(C)CCCCC11CCCC2, cl: C1C2[N+](C)CC(CC)2CCC2, target: C12CCCC(CCC1)[N+]2(CC)C
origin: C1C2CCC(C[)+](C))Cc2, cl: C([N+]1(C)CCCCC))CCCC[N+]1(C)CCCC1, target: C1C2CCC(CC1)[N+]2(CC)C
origin: C12[N+](C)(CCCC))CC(CC)CCC, cl: C12CCC([N+](()2)CC))CCCC, target: C12[N+](CC)(C)C(CC1)CCC2
origin: C(C)[N+]1(C)C2(C)C(C)CC(C1CCCC2)C, cl: C1C2C[N+](C)(C3CC(C21CC)C3CCCC1)C, target: C(C)[N+]1(C)CC2CCC(CC2)C1
origin: C1C2CCC(C32CCCC3NCCC)NNC2, cl: C12CCC(CCC))[C+](CC(()))1))22CCCC1, target: C1C2CCC(C[N+]1(C)CC)CC2
origin: C1C2CN(C)CC1C[2+]1CC(C)CCCC, cl: CN1CC2C[N+](C)(C)C(C1)C2, target: C1C2CN(C)CC1C[N+]2(CC)C
origin: C1CC2CC1[1+](C))CC2CCC1C2, cl: C1[N+](C)(C)C22C(CCCC2)CC1, target: C1CC2CC1[N+](C)(C)CCC2
origin: C[N+]1(C)C2(C)CC(C)(C)CC1C2, cl: C12CC3CC([N+](C)(C)CC(C3)C1)C2, target: C[N+]1(C)C2CC3CC(C2)CC(C3)C1
origin: [N@+]12(C3CCCCC3CCC1)CCCC2, cl: C1[N@@+]2CC(CC2)CC1, target: [N@+]12(C)C[C@H]3CC[C@H](C3)[C@@H]1CCCC2
origin: CC[N+]1(C)CCCCC1C, cl: C[N+]1(CCCC2CCCCC22)CC, target: CC[N+]1(C)CC2CC3CC(CC1C3)C2
origin: C1C2CC3CC([2+](C))Cc(c)cC1)C3, cl: C1[N+](C)(CCCCC(N)C1)C, target: C1C2CC3CC1CC(C2)C[N+]3(C)C
origin: C(C)[N+]1(C)C22C(C)CCC(C2)C1C, cl: C1C2CC3CC([C+](C)(C1)C3)C2, target: C(C)[N+]1(C)CC2CC3CC(CC1C3)C2
origin: N(CCO)(C)CCO, cl: OCCN(CCO)C, target: N(CCO)(C)CCO
origin: C(CO)N(CCO)C, cl: C(N(CC)CCC)C, target: C(CO)N(CCO)CC
origin: CC[N+](CC)(C)), cl: C(C)[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C1C(CN)CCNN1, cl: NCC1CCNCC1, target: C1C(CN)CCNC1
origin: c1ccncc1, cl: c1ccncc1, target: c1ccncc1
origin: CC1(C)C2CCC[(+]1(CC)CCCC[N+]2(C)C2CCC1CCC2, cl: C1CCC2CC([N+]1(C)C)C2(C)C, target: CC1(C)C2CC1CCC[N+]2(CC)CC
origin: N(CCO)(CC))C, cl: C(CO)N(CCC)CCO, target: N(CCO)(CCN(CCO)CCO)CCO
origin: C1CCC2C([N+](C)(C)C1)CCCC2, cl: C1C2CCCC([N+]2(C)CCCCC[N+]2(C3CCC2CCC3)C1, target: C1CCC2C([N+](C)(C)C)C1CCC2
origin: C1C2CCC(CNCC))CNNN2, cl: C1CC2CCC1C[N+](C)(C2)C, target: C1C2CCC(CC2)C[N+]12CCCC2
origin: C12C3C[N+](C)(C)CC(C3CCC1CC))C, cl: C12C=CC(C3CCCC3))1CC[N+](C2)(C)C, target: C12C3C[N+](C)(C)CC3C(C=C1)CC2
origin: C12CC3CC(C1(CNC)CC2C[)+](C)C, cl: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C, target: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2
origin: C12CC3CC([N+](C)(C)C)(CC1C3)C2, cl: C12CC3([N+](C)(C)C)CC(C2)CC(C3)C1, target: C12CC3CC([N+](C)(C)C)(C1)CC(C2)C3
origin: C[N+](C)(C1CC2CCCC1CCC2)C, cl: C[N+](C12CC3CC(CC(C1)C3)C2)(C)C, target: C[N+](C)(C)C12CC3CC(CC(C1)C3)C2
origin: C(CCN)N, cl: C(N)CCN, target: C(CCN)N
origin: C(C)[N+]((C)(C))CC, cl: [N+](CC)(CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2, cl: [N+](C)(C1(C)CCCC11(C)C)CC, target: C1C2CC3CC1([N+](C)(C)C)CC(C3)C2
origin: C12([N+](C)(C)C)CC3CC(CC(C1)C3)C2, cl: C[N+](C12CC3CC(C1)CC(C2)C3)(C)C, target: C12([N+](C)(C)C)CC3CC(C1)CC(C3)C2
origin: CC[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: C12CC3CC(CN(C1)CC[C+]2(C)C))3, cl: C1C2CC3CC(CN)CC(C1)[3+](C))22, target: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2
origin: C1CNCCN1CC1, cl: C(N1CCNCCC))CCNNCC, target: C1CNCCN1CCN
origin: C1C2([N+](C)(C)C)CC3CC(CC)C3)CC2, cl: C12CC3CC(CC(C3)(CN)C1)[2+](C)(, target: C1C2([N+](C)(C)C)CC3CC1CC(C2)C3
origin: C1C2CC3CC1C[(+]1(C)CCCC21CC, cl: C12CC3CC(CC)CC(CC)(C3)CCN)2C, target: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2
origin: CC[N+](CC)(CC)CC, cl: C([N+](CC)(CC)CC)C, target: CC[N+](CC)(CC)CC
origin: C1C2CC3([N+](C)(C)C)CC(C2)CC1C3, cl: C1C2([N+](C)(C)C)CC3CC(C21CC(C3)C)), target: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3
origin: C1(N)CCCCC1, cl: C1CCC(N)CC1, target: C1(N)CCCCC1
origin: C1CCCC(N)C1, cl: C1CC(N)CCC1, target: C1CCCC(N)C1
