origin: C1CCCN(C2)CCC1, cl: C1CCN(C2CCCCC2)CC1, target: C1CCCN(C2CCNCC2)C1
origin: C(N)CN1CCCCC1, cl: N1CCN(CCN(C)CCCN(CCN1C)C)C, target: C(N)CN1CCNCC1
origin: C1C2CC3([N+]2(CCCCC3)CCCC[N+](C)(C)C)CC3CCCCC1, cl: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, target: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2
origin: C12([N+](C)(C)C)(C)CC2, cl: C[N+](C12CC3CC(CC(C3)C1)C2)(C)C, target: C12([N+](C)(C)C)CC3CC(CC(C3)C1)C2
origin: CC[N+](CC)(CC)CCCCCC1, cl: C(C)[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C1C2CC3CC(C1CC3)CC(C)CCN1CCCCC1, cl: C[N+](C)(C12CC3CC(CC(C3)C2)C1)C, target: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2
origin: C1(N)CCCCC2CCCCC1CCCCCCC[N+]1(C)CCCCCCC1, cl: C1CC(N)CCC1, target: C1(N)CCCCC1
origin: C1(N)CCCCC(C)CCCC1C, cl: C1(N)CCCCC1, target: C1(N)CCCCC1
origin: [N+](C12CCCCC3)CC(C)(C)C2, cl: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2, target: [N+](C12CC3CC(CC(C1)C3)C2)(C)(C)C
origin: [N+](CC)(CC)CCCC1, cl: C([N+](CC)(C)C)C, target: [N+](CC)(CC)(CC)CC
origin: CNCCCC, cl: C(NC)CCC, target: CNCCCC
origin: C(CC)NCCCCCCC[n+]1ccn(C)c1, cl: CCCNCCC, target: C(CC)NCCC
origin: C(CNCCC)CC2, cl: C(CNCCC)C, target: C(CNCCC)C
origin: CC(NC(C)C2)CCC1, cl: CC(NC(C)C)C, target: CC(NC(C)C)C
origin: N(C(C)C)C[N+](C)(C)CC1, cl: C(NC(C)C)(C)C, target: N(C(C)C)C(C)C
origin: N(CC)(CC)CC1, cl: C(C)N(CC)CCO, target: N(CC)(CC)CC
origin: C[N+]1(CCCCCCCCCCC)CCCCCCCCCC[n+]2cccc1, cl: C1C(C)[N+](CC)(CC)C(CC1)C, target: C[N+]1(CC)C(C)CCCC1
origin: C[N+]1(C)CCCC2CCC1CC2C3C1, cl: CC1(C)CCC[N+](C1)(C)CC, target: C[N+]1(C)CCCC(C)(C)C1
origin: C([N+]1(CC)CCCC2)CC(C)CC, cl: [N+]1(CC)(CC(C)(C)CCC1)CC, target: C([N+]1(CC)CCCC(C)C1)C
origin: C1(C)OC(C)CC[N+]1(C)CCCCCCCC1, cl: CC[N+]1(CC)CC(CC(C)C1)C, target: C1(C)OC(C)C[N+](CC)(CC)C1
origin: C1CCC(C)(C)C[N+]1(C)CCCC[N+](C)(C)C, cl: C([N+]1(C)C(CCCC1)C)CC, target: C1CCC(C)(C)C[N+]1(CC)CC
origin: [N+]1(CC)(CCCC)CC1C1CC[N+]1(C)CCCC2, cl: C1C(C)C[N+](CC)(CC1C)C, target: [N+]1(CC)(CC)CC(C)CC(C)C1
origin: C1[N+](C)(C)CCCCC1CC[N+](CCCCCCC[N+](C)(C)C)(C)CCC2, cl: C1C[N+](CCCCCC[N+]2(CCCCC2)C)(C)CC1, target: C1[N+](C)(C(C)C)CC(C)(C)CC1
origin: C1[N+]2(C)(C)CCCCCCC1, cl: C1[N+]2(CCCC[N+]34CCC(CC3)CC4)CCC(CC2)CC1, target: C1[N+]2(CCCC2)CC(C)(C)CC1
origin: C1(C)CC(C)CCCC1, cl: C1C(C)C[N+](C)(CC1C)C, target: C1(C)CC(C)C[N+]2(CCCC2C)C1
origin: C1NCCOC1, cl: N1CCOCC1, target: C1NCCOC1
origin: C1CCCCN1CCCCC2, cl: C1CC(N2CCCCC2)CCC1, target: C1CCCCN1C1CCNCC1
origin: CCNCC, cl: N(CC)CC, target: CCNCC
origin: C(N)CNCCN(C)CCCC1, cl: C(NCCN)CN, target: C(N)CNCCN
origin: C1N(C2CCNCC2CCCC3)C1, cl: N1(C2CCNCC2)CCNCC1, target: C1N(C2CCNCC2)CCCC1
origin: c1ncccc1, cl: c1ncccc1, target: c1ncccc1
origin: c1ncn(C)c(C)c1, cl: c1nccn1C, target: c1ncn(C)c1
origin: CCCNCCC, cl: CCCNCCC, target: CCCNCCC
origin: C(CC)NCCCCC1, cl: C(C)CNCCC, target: C(CC)NCCC
origin: c1cccc[nH](C)c1C, cl: [nH+]1ccccc1, target: c1cccc[nH+]1
origin: C1=NC=C[N+]2(C)CC2, cl: [NH+]1(C)CC(NCCN)CCN(CCC1)C, target: C1=NC=C[NH+]1C
origin: C1CCCCN1CCCCC2, cl: N1(C)CCCCC1, target: C1CCCCN1C
origin: C[N+](C)(C)CCC1, cl: C[N+](C)(C12CC3CC(CC(C3)C2)C1)C, target: C[N+](C)(C)C
origin: C1C2CC3([N+]1(C)CCCCC2)CCCC1, cl: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2, target: C1C2CC3([N+](C)(C)C)CC(C2)CC1C3
origin: C12([N+](CC)(CCC)CCCC2)CC2, cl: C12([N+](C)(C)C)CC3CC(C2)CC(C3)C1, target: C12([N+](C)(C)C)CC3CC(C1)CC(C3)C2
origin: C1OCCNC1, cl: C1CNCCO1, target: C1OCCNC1
origin: C1OCCNC1, cl: O1CCNCC1, target: C1OCCNC1
origin: C1(N)CCCCCC2)c1, cl: NC1CCCCC1, target: C1(N)CCCCC1
origin: C1C(N)CCCCC1, cl: C1CCCC(N)C1, target: C1C(N)CCCC1
origin: CCN(CC)CCC[N+](C)(C)C, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: N(CC)(CC)CCCC1, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: N1CCN(C)CCCC2, cl: C1NCCN(C)CCN(C)CCCN(CCN1C)C, target: N1CCN(C)CC1
origin: C1CCCC2C[N+]1(C)CCCCCCCC[N+](C)(C)C, cl: C[N+]1(C)CC2CC(C)(CC1(C)CC2)C, target: C1CCCC2C[N+](C)(C)CCCC12
origin: C[N+]1(C)CCCCC2CC1CCC3CCCCCC1, cl: [N+]1(C)(C2C(CCC1)CCCC2)C, target: C[N+]1(C)CCCC2C1CCCC2
origin: C[N+]1(C)CCCCC1CCCCCCC1, cl: C1CC[N+](CCCCCC[N+]2(CCCCC2)C)(C)C1, target: C[N+]1(C)CCCC2CCCCC12
origin: C1C2[N+](CC)(CCCCCCCCCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)C)CCCCCCCC1, cl: C1C2C(CCC1)CCC[N+]2(C)C, target: C1C2[N+](C)(C)CCCC2CCC1
origin: C1C[N+](CCCCCCCCCCCCCC)cc2)c1, cl: C1CCC2CCCC1[N+]2(C)CC, target: C1C[N+](C)(C)C2CCCC2C1
origin: C[N+]1(C)CCCC(C)CC1, cl: [N+]1(C)(CCC2C(CCCC2)CC1)C, target: C[N+]1(C)CCC2CCCC2C1
origin: C1NCCCC1, cl: C1CCCCN1, target: C1NCCCC1
origin: C1OCCNC1, cl: C1CNCCO1, target: C1OCCNC1
origin: C1NCCCNCC(C)CC, cl: C1CNCCNCC1, target: C1NCCCNCCNCCCNC1
origin: c1c[n+](C)c(C)c(C)n(C)c1, cl: Cn1cc[n+](C)c1, target: c1c[n+](C)cn1C
origin: c1n(C)cc[n+]1CCCCC[n+](C)c1, cl: Cn1c[n+](cc1)CC, target: c1n(C)cc[n+]1CC
origin: C(N(CC)CCCC2)CC1, cl: N(CC)(CC)CC, target: C(N(CC)CC)C
origin: C(N(CC)CCCCCCCC[n+](Cc2ccccc2)CCCC2)C, cl: C(C)N(CC)CCO, target: C(N(CC)CC)C
origin: N(CC)(CC)CC1, cl: C(N(CC)CC)C, target: N(CC)(CC)CC
origin: O1CCNCC1, cl: O1CCNCC1, target: O1CCNCC1
origin: C1NCCOC1, cl: C1OCCNC1, target: C1NCCOC1
origin: C1COCCN1, cl: C1COCCN1, target: C1COCCN1
origin: [n+]1(CC)c(C)n(C)ccc1, cl: c1n(C)c[n+](c1)CC, target: [n+]1(CC)cn(C)cc1
origin: C1CCCCN1, cl: C1CCNCC1, target: C1CCCCN1
origin: C1CCCCN1, cl: C1NCCCC1, target: C1CCCCN1
origin: C1CCCNC1, cl: C1CCCCN1, target: C1CCCNC1
origin: N1CCCCC1, cl: C1CCNCC1, target: N1CCCCC1
origin: CC[N+](CC)(CCCCCC[N+]1(C)CCCCC1)C, cl: [N+](CC)(CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C(C)[N+](C)(C)CCCCCCC1, cl: CC[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C1CCCCC1N[N+](CC)(C)CCC1, cl: C1CCCCC1N, target: C1CCCCC1N
origin: NC1CCCCC1, cl: C1CC(N)CCC1, target: NC1CCCCC1
origin: C1C2CC3([N+](CC)(CC)CCCCC2)CCCCCCCCC, cl: C12CC3([N+](C)(C)C)CC(CC(C3)C1)C2, target: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2
origin: CC[N+](CC)(CC)CCCC1, cl: CC[N+](CC)(C)C, target: CC[N+](CC)(CC)CC
origin: C1COCCN1, cl: C1OCCNC1, target: C1COCCN1
origin: C[N+](C)(C)CCCC1, cl: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C, target: C[N+](C)(C)C12CC3CC(CC(C3)C1)C2
origin: C(C)[N+](C)(C)C, cl: CC[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C(C)N(CC)CCC1, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: C(C)N(CC)CCCC1, cl: C(N(CC)CC)C, target: C(C)N(CC)CC
origin: C1CCCCC1[N+]2(CC)CCCCCC1, cl: C[N+](C)(C12CC3CC(CC(C3)C2)C1)C, target: C1CCCCC1[N+](C)(C)C
origin: C(C)[N+](C)(C)CC1, cl: C(C)[N+](CC)(C)C, target: C(C)[N+](CC)(CC)CC
origin: CC[N+](CC)(CC)CCCC1, cl: C([N+](CC)(C)C)C, target: CC[N+](CC)(CC)CC
origin: C[N+](C)(C)CCCCCCC[N+]2(C)CCCC(C)CC1, cl: C[N+](C12CC3CC(C1)CC(C2)C3)(C)C, target: C[N+](C)(C12CC3CC(C1)CC(C3)C2)C
origin: C([N+](CC)(CC)CCC[N+]2(C)CCCC2)CCC1, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: CN(CCO)CCCC1, cl: C(N(CCO)CCO)CO, target: CN(CCO)CCO
origin: C(CN(CC)C)(C)CCCC1, cl: C(N(CCO)CC)C, target: C(CN(CC)CCO)O
origin: C(C)[N+](C)(C)C, cl: CC[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C1CCC2C[N+]1(C)CCCCCC1, cl: C1CC2C(CC1)[N+](CCC2)(C)C, target: C1CCC2C[N+](C)(C)CCCC2C1
origin: C1CC[N+](C)(C)CCCC1, cl: C1C2C(CCC1)CCC[N+]2(C)C, target: C1CC[N+](C)(C)C2CCCCC12
origin: C1CC2C([N+](C)(C)C)C(C)CC1, cl: C1CCC2C([N+](C)(CCC2)C)C1, target: C1CC2C([N+](C)(C)CCC2)CC1
origin: C[N+]1(C)CCCCCC1, cl: C[N+]1(C)CC2C(CCC2)CC1, target: C[N+]1(C)CCCC2C1CCCC2
origin: C1C[N+](C)(CCCCCCCC[N+](C)(C)C)CCCC1, cl: C12CCCC1C[N+](C)(C2)C, target: C1C[N+](C)(C)C2C(CCC2)C1
origin: [N+]1(C)(CC)CCCCC(CC2)C1, cl: C[N+]1(C)C2CC(CC(C2)(C)C)CC1, target: [N+]1(C)(C)CC2CCCC2CC1
origin: C([N+](CC)(CC)CCC)(C)CC1, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C1CC(N)CCC2, cl: C1CCCCC1N, target: C1CC(N)CCC1
origin: NC1CCCCC1, cl: C1CCCC(N)C1, target: NC1CCCCC1
origin: N1CCCCC1, cl: C1CNCCC1, target: N1CCCCC1
origin: n1ccccc1, cl: c1cccnc1, target: n1ccccc1
origin: [n+]1(C)cccc1, cl: C[n+]1cn(c(C)c1C)C, target: [n+]1(C)cn(C)cc1
origin: Cn1cc[n+](C)cc(C)n(C)c1, cl: Cn1c[n+](cc1C)C, target: Cn1cc[n+](C)c1
origin: c1cn(C)c(C)n(C)c(C)n(C)c1, cl: c1(C)n(C)c(C)c[n+]1C, target: c1cn(C)c(C)[n+]1C
origin: Cc1n(C)cc1, cl: c1c[n+](C)c(n1C)C, target: Cc1n(C)cc[n+]1C
origin: c1cn(C)c(C)n(C)c1C, cl: c1cn(C)c([n+]1CC)C, target: c1cn(C)c(C)[n+]1C
origin: n1(C)c[n+](C)cc1, cl: c1[n+](C)c(n(C)c1C)C, target: n1(C)c[n+](C)cc1C
origin: c1n(C)c(C)[n+]1ccccc1C, cl: c1[n+](C)c(n(C)c1C)C, target: c1n(C)c(C)c[n+]1C
origin: c1(C)n(C)c(C)c1C)c1, cl: Cc1c[n+](c(C)n1C)C, target: c1(C)n(C)c(C)[n+](C)c1
origin: c1[n+](C)c(C)n(C)c(C)n1C, cl: Cc1c[n+](C)c(n1C)C, target: c1[n+](C)c(C)n(C)c1C
origin: CC1CC(C)C1)C1, cl: C1(C)CC(C[N+](C)(C1)CC)C, target: CC1CC(C)C[N+](C)(C)C1
origin: C1(C)CC(C)C[N+](C)(C)CCCCC1, cl: C1C(C)C[N+](C)(CC1C)C, target: C1(C)CC(C)C[N+](CC)(CC)C1
origin: C12CC3([N+](CC)(CC)CCCCC2)CCCC1, cl: [N+](C)(C12CC3CC(C2)CC(C3)C1)(C)C, target: C12CC3([N+](C)(C)C)CC(CC(C3)C1)C2
origin: C1CCCCC1[N+](C)(C)C2C2C(CC2)CCC1, cl: [N+](C)(C12CC3CC(CC(C3)C1)C2)(C)C, target: C1CCCCC1[N+](C)(C)CC
origin: C(C)[N+](CC)(CC)CCCCC1, cl: C([N+](CC)(CC)CC)C, target: C(C)[N+](CC)(CC)CC
origin: O1CCNCC1, cl: C1NCCOC1, target: O1CCNCC1
origin: N1CCOCC1, cl: C1CNCCO1, target: N1CCOCC1
origin: C(N(CC)CCC2)CCCC1, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: [N+](CC)(CC)CCCC1, cl: [N+](CC)(CC)(C)C, target: [N+](CC)(CC)(CC)CC
origin: C1CCCCC1N, cl: C1(N)CCCCC1, target: C1CCCCC1N
origin: C1(N)CCCCC1, cl: C1CCCCC1N, target: C1(N)CCCCC1
origin: C(C)[N+]1(CCCCCCCC3)CCC1, cl: C12C[N+](CC)(CC)CC2C2C3C[N+](CC3C1(C=C(C)C2C1C[N+](CC)(C2)CC)C)C)C, target: C(C)[N+]1(CC)CC2C(C3C=CC2C2C3C[N+](CC)(CC)C2)C1
origin: n1ccn(C)c1C, cl: c1cncn1C, target: n1ccn(C)c1
origin: n1ccccc1, cl: c1ccccn1, target: n1ccccc1
origin: Cc1ccncc1, cl: n1ccc(C)c(C)n1C, target: Cc1ccncc1
origin: c1cn(C)c[n+](C)cc1, cl: n1(C)c[n+](cc1C)C, target: c1cn(C)c[n+]1CC
origin: CC[N+](CC)(C)CCCCCC1, cl: C(C)[N+](CC)(C)C, target: CC[N+](CC)(CC)CC
origin: NC1CCCCC1CCCC2, cl: C1CCCCC1N, target: NC1CCCCC1
origin: [N+](C)(CCCCCCCC[N+]2(C)CCCCCC2)CC1, cl: C[N+](C)(C12CC3CC(CC(C3)C2)C1)C, target: [N+](C)(CCO)(C)C
origin: C1C2([N+](C)(C)C)CC(C)CC1, cl: C12CC3CC(CC(C3)C1)([N+](C)(C)C)C2, target: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2
origin: C1C2CC3CC(CCC[N+](C)(C)C)CC(CC1)C1, cl: [N+](C)(C12CC3CC(C1)CC(C3)C2)(C)C, target: C1C2CC3CC([N+](C)(C)C)(C2)CC1C3
origin: C(c1n(C)cc2)cc2cc1c[n+](C)cc1, cl: n1(C)c(CC)[n+](cc1C)C, target: C(c1n(C)c(C)c[n+]1C)C
origin: [n+]1(C)cccc1, cl: c1c(C)n(C)c([n+]1C)C, target: [n+]1(C)cc(C)n(C)c1CC
origin: C[N+](C)(C)CCCCC1, cl: C(C[N+](CCCC)(CCCC)CCCC)C, target: C[N+](C)(C)CCO
origin: C(C)[N+](C)(CC)CCCC1, cl: CC[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C(C)[N+](CC)(CCCCCC2)CC1, cl: C[N+](CC)(C)CCCCC[N+](C)(C)C, target: C(C)[N+](C)(C1CCCCC1)C
origin: C1OCCNC1, cl: N1CCOCC1, target: C1OCCNC1
origin: CC[N+](CC)(CCCCC2)CC1, cl: CC[N+](CCCC[N+](CC)(C)CC)(C)C, target: CC[N+](CC)(CC)CC
origin: C(C)NCC, cl: CCNCC, target: C(C)NCC
origin: C(NCCN)CN(C)CC1, cl: C(CNCCN)NCCN, target: C(NCCN)CN
origin: NCCNCCN, cl: C(CNCCN)NCCNCCN, target: NCCNCCN
origin: C(CN)NCCO, cl: OCCNCCN, target: C(CN)NCCO
origin: OCCNCCN, cl: C(N)CNCCO, target: OCCNCCN
origin: C(NCCN)CNCCCCCCC1, cl: NCCNCCNCCNCCN, target: C(NCCN)CNCCN
origin: N(CCNCCCN(CCCCCCCCCCCCCCCC)C)ccccc1, cl: C(NCCNCCCN)CCN, target: N(CCNCCCN)CCCN
origin: NCCCNCCNCCCCCCCC1, cl: C(NCCCN)CCO, target: NCCCNCCNCCCN
origin: N(CCN)CCN(CC)CCC1, cl: N(CCNCCNCCN)CC, target: N(CCN)CCNCCNCCN
origin: C(NCCNCCN(C)C)C, cl: C(N)CNCCNCCNCCN, target: C(NCCNCCN)CNCCN
origin: N(CCNCCNCCCCC)CCCC1, cl: C(CNCCNCCN)N, target: N(CCNCCNCCN)CCNCCN
origin: C1C2([N+](C)(C)C)CC(C2)CC1, cl: C[N+](C)(C12CC3CC(C1)CC(C3)C2)C, target: C1C2([N+](C)(C)C)CC3CC1CC(C2)C3
origin: C[N+](C12CCCCCCCCCCCCCCCCCCCC2)cc1, cl: [N+](C)(C12CC3CC(CC(C1)C3)C2)(C)C, target: C[N+](C12CC3CC(CC(C1)C3)C2)(C)C
origin: C1C2CC3CCCC(C)[N+](C)(C)CCCC1, cl: C1C2CC3CC(CC1C3)(C2)[N+](C)(C)C, target: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2
origin: C12CC3CC(C)CC([N+](C)(C)C)(C)C, cl: [N+](C12CC3CC(CC(C3)C2)C1)(C)C, target: C12CC3CC(CC([N+](C)(C)C)(C3)C1)C2
origin: C1C2CC3CC(CCCCC2)CCC1, cl: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, target: C1C2CC3CC1([N+](C)(C)C)CC(C3)C2
origin: [N+](C)(CCCCCC[N+](C)(C)C)CCC1, cl: C(O)C[N+](C)(C)C, target: [N+](C)(C)(CCO)C
origin: C(C)N(CC)CCC2, cl: C(N(CC)CC)C, target: C(C)N(CC)CC
origin: C1NCCOC1, cl: C1COCCN1, target: C1NCCOC1
origin: C(C)CNCCCCCC, cl: N(CCC)CCC, target: C(C)CNCCC
origin: C1CCCC(N)CC1, cl: C1C(N)CCCC1, target: C1CCCC(N)C1
origin: C1OCCNC1, cl: C1COCCN1, target: C1OCCNC1
origin: C(NCC)C, cl: C(C)NCC, target: C(NCC)C
origin: N(CC)(CC)CCC2, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: [N+](CC)(CC)CCCN(C)CCCC1, cl: CC[N+](CC)(CC)CC, target: [N+](CC)(CC)(CC)CC
origin: C(NCCN)CNCCCC1, cl: N(CCNCCNCCNCCN)CC, target: C(NCCN)CNCCNCCN
origin: N(CCNCCN)CCCCCCCC[N+]1(CCCC)CCCCCC1, cl: C(N)CNCCNCCNCCN, target: N(CCNCCN)CCNCCNCCN
origin: NCCNCCN, cl: C(CNCCN)NCCNCCN, target: NCCNCCN
origin: C(CN)NCCOCCCC[N+]1(C)CCCCCC1, cl: OCCNCCN, target: C(CN)NCCO
origin: NCCNCCNCCCCCCCCC, cl: C(N)CNCCNCCN, target: NCCNCCNCCN
origin: C(NCCCNCCCCCCCCCCC[n+]2ccccc1)C, cl: N(CCCNCCN)CCN, target: C(NCCCNCCN)CN
origin: C(N)CCNCCCCCC1, cl: N(CCCN)CCN, target: C(N)CCNCCNCCCN
origin: C1([N+](CC)(C)C)(C)CCCC1, cl: C[N+](C)(C)C12CC3CC(C2)CC(C3)C1, target: C1([N+](C)(C)C)CCCCC1
origin: OCC[N+](C)(C)CCC(C)(C)C2, cl: C[N+](CCO)(C)C, target: OCC[N+](C)(C)C
origin: CC[N+](CC)(CCCCCCC2)CCCC1, cl: CC[N+](CCCCC[N+](CC)(CC)CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C[N+](C)(CCCCCC2)CCCC1, cl: C[N+](C)(C)CCCCCCCC[N+](C)(C)C, target: C[N+](C)(C)C
origin: [N+](CC)(CC)CCCCCC1, cl: C(C)[N+](CC)(C)CCCCC[N+](CC)(CC)CC, target: [N+](CC)(CC)(CC)CC
origin: C(C[N+](C)(C)C)CCCC(C)C, cl: CCC[N+](CCC)(C)C, target: C(C[N+](CCC)(CCC)CCC)C
origin: C[NH+](C)(C)CCCC1C2, cl: C[NH+](C)CC, target: C[NH+](C)C
origin: N12CN3CN(C)CC(C)CC2C1CCCC1, cl: N12CN3CN(C4CCCCN3CC1C2)C, target: N12CN3CN(CN(C1)C3)C2
origin: [NH4+].CC(CC(C)C3)CCC[N+]1(CCCCCC3)C1, cl: CC(=O)[O-].[NH3+].C(C)(C)C(CC(C)C[N+]2(C)C)C1, target: [NH4+].CC(=O)[O-]
origin: O=C(C([O-](C)(C)C)CC2)CCCC1, cl: C([O-])(=C(C)C)CCN(C)C, target: O=C(C([O-])=O)[O-].[NH4+].[NH4+]
origin: O=C([O-])(CCCCCN(C)CCCCC1, cl: O=C([O-])O, target: O=C([O-])O.[NH4+]
origin: C(CN(C)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC[n+]2cccccc2)C1, cl: CN(CCO)CCO, target: C(CN(C)CCO)O
origin: OCCN(CCO)CCCC1, cl: C(CN(C)CCO)O, target: OCCN(CCO)C
origin: C(CN(CCO)CCCC2)CC2, cl: OCCN(C)CCO, target: C(CN(CCO)C)O
origin: OCCOCCN, cl: C(O)COCCN, target: OCCOCCN
origin: C(O)(CNCCCCCC)CCCCCC1, cl: CC(O)CNCC(C)O, target: C(O)(CNCC(O)C)C
origin: OCCN(C)CCCC1, cl: C(CN(CCO)CCO)CO, target: OCCN(C)CCO
origin: N(CCO)(CC)CCCCNCCCCC, cl: CCN(CCO)CCO, target: N(CCO)(CC)CC
origin: CC(C)(O)CC1, cl: CC(O)(C)CC(C)(C)C, target: CC(C)(O)CN
origin: C1([N+](C)(C)C)(C)CC1, cl: C1([N+](C)(C(CCC1)C)CC)C, target: C1([N+](C)(C)C)CCCCC1
origin: c1cccnc1, cl: c1ncccc1, target: c1cccnc1
origin: C(NCC)C, cl: C(C)NCC, target: C(NCC)C
origin: C(NCC)C, cl: N(CC)CC, target: C(NCC)C
origin: N(C(C)C)CCC(C)CC[N+]1(C)CCCC1, cl: CC(NC(C)C)C, target: N(C(C)C)C(C)C
origin: CC(C)NC(C)C, cl: CC(NC(C)C)C, target: CC(C)NC(C)C
origin: CN(CCN(C)C)CCCC1, cl: CN(CCN(C)C)C, target: CN(CCN(C)C)C
origin: CN(CCN(C)C)CC2, cl: N(CCN(C)C)CC, target: CN(CCN(C)C)C
origin: N1CCCCCC1C2CCCCC1, cl: C1CCCCNC1, target: N1CCCCCC1
origin: c1c[n+](C)c(C)n(C)cc1, cl: n1(C)cc[n+](CCCC)c1, target: c1c[n+](CC)cn1C
origin: C([n+]1cn(C)ccc1)C, cl: C(C)CC[n+]1cn(cc1)C, target: C([n+]1cn(C)cc1)CCC
origin: N(CC)(CC)CCCCC[N+]1(C)CCCC2, cl: N(CC)(CC)CC, target: N(CC)(CC)CC
origin: CCN(CC)CCCC1, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: C(CCC)CCCC1, cl: C(CCCCCCCCCCCCCCCCCCC)CCCCCCC[N+](C)(C)C, target: C(CCC)CCCCCCCC[N+](C)(C)C
origin: C[N+](C)(C)CCCC2, cl: C(CCCCCC)CCCCCCCCC[N+](C)(C)C, target: C[N+](C)(C)CCCCCCCCCCCCCCCC
origin: C1CCC(N)CCCCC1, cl: NC1CCCCC1, target: C1CCC(N)CC1
origin: C1CCCC(N)CC1, cl: C1CC(N)CCC1, target: C1CCCC(N)C1
origin: C(N(CC)CCCCCCCCCCN(C)C)CCC[N+]1(C)CCCCC1, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: N(CC)(CC)CCCC1, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: C(N(CC)CCCCCCCCCCCCn(C)ccc2)CCCCCCC[N+]2(CC)CCCCCC1, cl: N(CC)(CC)CC, target: C(N(CC)CC)C
origin: C(C)N(CC)CCCCCCCCCC[n+]1ccccc1C, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: N(CC)CC, cl: C(NCC)C, target: N(CC)CC
origin: CC1(C)CCCCCCCCCC[N+]1(C)CCCCCC1, cl: C1CC[N+](C2CCCCC2C1)(C)C, target: CC1(C)CCC[N+](C)(C)C1
origin: C[N@+]1(C)CCCCC(C)(C)C1, cl: C1CCC(C)(C[N+]1(CC)C)C, target: C[N@+]1(CC)CCCC(C)(C)C1
origin: C[C@H]1[N+](C)(C)CCCC1CCCCC2, cl: C1CCC[N@+2(C)CCCC2C1CCCC2, target: C[C@H]1[N@+](C)(CC)CCCC1
origin: C1CC(C)[N+](CC)(CCCC2)C(C)CC2, cl: C1CC(C)[N+](CC)(C)C(C)C1, target: C1CC(C)[N@+]2(CCCC(C)(C)C2)C1
origin: C12CCCC([N+](C)(CCCCCC3)CCCC2)CCCC1, cl: C1CC2CCCCC2CC[N+]1(C)C, target: C12CCCC([N+]1(CC)C)CCC2
origin: [N+]1(CC)(CCCCCCCCCCCCCCCCCC[n+]1cn(C)ccc1)C, cl: C(C)[N+]1(CCCC2CC1C2(C)C)C, target: [N+]1(CC)(C)C2CCC1CCC2
origin: CC[N+]1(C)CCCCCC(C)C1, cl: [N+]1(C)(C)CC2CCC(C1)CC2, target: CC[N+]1(C)C2CCC1CCC2
origin: C1CC2CCC1CCCC2(C)C1, cl: [N+]1(C)(C)C(CCCC1)CC, target: C1CC2CCC1C[N+](C)(CC)C2
origin: C1CC2CCC1C2C1CCCCC[N+](C)(CCCCC2)CC(C)C1, cl: CC[N+]1(CC)CC2C3C4C[N+](CC)(CC4C(C=C3)C2C1)CC, target: C1CC2CCC1C[N+](CC)(C)C2
origin: C1C2CC([N+](C)(C)C)CCC(C)CC1, cl: C12CC(C[N+](C)(C1CC2)C)C, target: C1C2CC([N+](CC)(C)C2)CN1C
origin: C1C2CC(CCCCCCC[N+]2(C)CCCCC2)CCCCC1, cl: C[N+]1(C)CC(CC(C1)C)C, target: C1C2CC(CC2)[N+](C)(C)CC1
origin: C12CC3C[N+](C)(C)CC2CCCCC1, cl: C[N+]1(C)C2C(C)(CCC2)CCCC1, target: C12CC3C[N+](C)(C)C(CC(C3)C1)C2
origin: C1C[C@H]2(CCCCCC2)C1, cl: C1CC[N@@+](CC)(CC)C2CC(C1)CC2, target: C1C[C@H]2[C@H]3[N@+](C)(C[C@@H]1C2)CCCC3
