origin: C1CCC(C)(C)NC1(C)C, cl: C1CC[N+](C1)(CCCCC[N+]1(C)CCCC1)C, target: C1CNCCC1N1CCCCC1
origin: C1CC(C)C2CC([N+]1(C)C)C2(C)C, cl: C1C2CC3CC1([N+](C)(C)C)CC(C2)C3, target: C12([N+](C)(C)C)CC3CC(CC(C3)C1)C2
origin: C(CCN)N, cl: NCCN1CCNCC1, target: N1CCN(CCN)CC1
origin: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2, cl: [N+](C12CC3CC(CC(C3)C2)C1)(C)(C)C, target: C12CC3CC(C1)CC([N+](C)(C)C)(C3)C2
origin: C[N+](C)(C12CC3CC(CC(C1)C3)C2)C, cl: C1C2CC3CC1CC(C2)([N+](C)(C)C)C3, target: C12CC3([N+](C)(C)C)CC(C1)CC(C3)C2
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C1C2CCCC2CCC[N+]1(C)C, cl: C12(CC3CC(C2)CC(C3)C1)[N+](C)(C)C, target: C[N+](C12CC3CC(C1)CC(C3)C2)(C)C
origin: C1CCCC(N)C1, cl: C1CCCC(N)C1, target: C1CCCCC1N
origin: C1CCCC(N)C1, cl: C1CC(CCC1)N, target: C1CCC(N)CC1
origin: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3, cl: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, target: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2
origin: C(C)N(CCO)CC, cl: [N+](C)(CCCCCCCCCCCCCCC)(C)C, target: CC[N+](CC)(CC)CC
origin: C(CO)N(C)CCO, cl: C(CN(C)C)CCCCN(C)C, target: C(CNC)CC
origin: C(CO)N(CCO)C, cl: N(CCO)(C)CCO, target: CCCNCCC
origin: C(C)(C)(C)N(C(C)C)C, cl: C(NC(C)C)(C)C, target: C(NCCC)CC
origin: C(C)N(CCO)CC, cl: CC(N(CC)C(C)C)C, target: CC(NC(C)C)C
origin: C(C)N(CCO)CCO, cl: CC(C)N(C(C)C)CC, target: CC(C)NC(C)C
origin: C1COCCN1, cl: C(C)[N+](C)(C)CC, target: CCN(CC)CC
origin: C(C)[N+]1(CC)CC(C)CCC1, cl: C(C)[N+]1(CC)CCCC(C)(C)C1, target: CC[N+]1(C)CCCCC1C
origin: C1CCC[N+]12CC(C)(C)CCC2, cl: C1[N+]2(CCCC2)C(CCC1)C, target: CC1(C)C[N+](C)(C)CCC1
origin: CC1(C)C[N+](C)(C)CC(C)(C)C=C1, cl: CC[N+]1(CC(CCC1)C)CC, target: C(C)[N+]1(CC)CCCC(C)C1
origin: C1C(C)[N+](CC)(C)C(C)CC1, cl: C([N+]1(CC)CC(C)CC(C)C1)C, target: C1(C)C[N+](CC)(CC)CC(C)O1
origin: C1CCCC(CC)[N+]1(C)C, cl: CC1(C)C2CC1CCC[N+]2(CC)CC, target: C1(C)(C)C[N+](CC)(CC)CCC1
origin: C1C(C)[N+](C)(CC)C(C)CC1, cl: CC[N+]1(CC)CC(C)CC(C)C1, target: CC[N+]1(CC)CC(C)CC(C)C1
origin: C([N+]1(CC)CC(C)CCC1)C, cl: C1CCC([N+](C1C)(C)C)C, target: C1C(C)(C)CCC[N+]1(C)C(C)C
origin: C1(C)[N+](CC)(C)C(C)CCC1, cl: C1(C)C[N+](C)(CC(C)C1)C, target: C1CC[N+]2(CC1(C)C)CCCC2
origin: C1(C)(C)CCC[N+](C)(C(C)C)C1, cl: [N+]1(CCCC(C)(C)C1)(C)C, target: C1[N+]2(CC(C)CC1C)CCCC2C
origin: C(C)(C)(C)N(CC)C(C)C, cl: O1CCN(CC1)C, target: C1CNCCO1
origin: C1CCCCC1N, cl: C1C(C)CCCC1N, target: C1N(C2CCNCC2)CCCC1
origin: C(CO)N(CCO)C, cl: CCNCC, target: CCNCC
origin: c1cn(CC)c[n+]1C, cl: NCCN, target: C(NCCN)CN
origin: C1CCCC(N2CCCCC2)C1, cl: N1CCN(C)CC1, target: N1(C2CCNCC2)CCCCC1
origin: c1cn(C)cn1, cl: c1ccncc1, target: c1cccnc1
origin: c1n(C)c[n+](CC)c1, cl: n1(C)ccnc1, target: c1ncn(C)c1
origin: C1CCCCC1N, cl: C(CC[N+]1(CCCC1)C)CC[N+]1(CCCC1)C, target: C(CC)NCCC
origin: C1CCCCC1N, cl: N(CC)(CC)CC, target: N(CCC)CCC
origin: c1ccncn1, cl: c1ccccn1, target: [nH+]1ccccc1
origin: c1cn(C)cn1, cl: C1=C[NH+](C)C=CN=1, target: C1=CN=C[NH+]1C
origin: C1CCCCN1C, cl: C1N(CCN(CCN(C)C1)C)C, target: N1(C)CCCCC1
origin: C(C)[N+](C)(CCCCC[N+](C)(CC)C)C, cl: [N+](C)(CCCCCC[N+](C)(C)C)(C)C, target: C[N+](C)(C)C
origin: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2, cl: C1C2CC3CC(C2)([N+](C)(C)C)CC1C3, target: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2
origin: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3, cl: C1C2CC3CC1(CC(C2)C3)[N+](C)(C)C, target: C[N+](C12CC3CC(CC(C1)C3)C2)(C)C
origin: CCn1c[n+](C)cc1, cl: N1CCNC(C)(CC(C)NCCNC(C)(CC1(C)C)C, target: C1CNCCO1
origin: C(CNCCNCCN)NCCN, cl: C1OCCN(CCCN)CCN, target: C1CNCCO1
origin: C(C)(C)(N(C)C)C, cl: NC1CCCCC1, target: C1CCCCC1N
origin: C(CN(CCO)C)O, cl: C1CC[N+](C1)(CCCCC[N+]1(C)CCCC1)C, target: NC1CCCCC1
origin: C(NCCNCCN)CNCCN, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: C(CNCCN)NCCNCCN, cl: C(C)[N+](C)(CC)C, target: CCN(CC)CC
origin: C1CNCCN1C, cl: CN1CCN(C)CCN(C)CC1, target: N1(C)CCNCC1
origin: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2, cl: C1[N+](C)(C)CC2CCCCC2C1, target: C1[N+](C)(C)CC2C(CC1)CCCC2
origin: C1CCC2C(C1)[N+](C)(C)CCC2, cl: C1CC2CCC[N+](C)(C2CC1)C, target: C12[N+](C)(C)CCCC1CCCC2
origin: C1C2CCC1CCC[N+]2(C)C, cl: C1CC2CCCCC2[N+](C)(C)CC1, target: C1CCC2CCC[N+](C)(C)C2C1
origin: C1C2CC3CC(CC1C3)C[N+]2(C)C, cl: C1CC2CCC[N+](C)(C)C2CC1, target: C[N+]1(C)CCCC2C1CCCC2
origin: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2, cl: C12CC3CC(CC(C3)C2)(C1)[N+](C)(C)C, target: C[N+]1(C)C2C(CCC1)CCC2
origin: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, cl: C1C[N+](C)(C)C2CCCC1CC2, target: C1C2C(C[N+](C)(C)CC2)CC1
origin: CC1(C)CC(C)NCCNC(C)(C)CC(C)NCCN1, cl: C1CNC(C)(C)CC(NCCNC(C)(C)CC(N1)C)C, target: C1CNCCC1
origin: CC1(C)CC(C)NCCNC(C)(C)CC(C)NCCN1, cl: O1CCNC1, target: C1CNCCO1
origin: c1cc[n+](C)c(C)n1C, cl: C1CNCCC1, target: C1NCCNCCCNCCNCC1
origin: C1(C)(C)CC(C)NCCNC(C)(C)CC(C)NCCN1, cl: C[n+]1ccn(c1)CC, target: n1(C)cc[n+](C)c1
origin: C(C)[n+]1ccn(C)c1, cl: c1n(C)c[n+](CC)c1, target: CC[n+]1cn(C)cc1
origin: C1CNCCN1C, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C1CCCC(N2CCCCC2)C1, cl: C(C)[N+](C)(C)C, target: C(C)N(CC)CC
origin: C(C)(C)N(C(C)C)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: c1n(C)cc[n+]1CC, cl: C1COCCN2CCOCCN(CCOCCOCC2)C1, target: C1CNCCO1
origin: C1CNC(C)(C)CC(C)NCCNC(C)(C)CC(C)N1, cl: C1NC(C)CC(C)(C)NCCNC(C)CC(NCC1)C, target: C1NCCOC1
origin: Cn1c(C)c[n+](C)c1CC, cl: C1CNCCC1, target: C1COCCN1
origin: C1CCNCC1, cl: [n+]1(cn(cc1)CC)C, target: c1[n+](CC)ccn1C
origin: C([n+]1cn(C)cc1)C, cl: C1CCCN1, target: N1CCCCC1
origin: C1CCCCC1N, cl: C1NCCCC1, target: C1NCCCC1
origin: C1C(C)(C)NCCNC(C)CC(C)(C)NCCNC1C, cl: C1CCN(CCN(CCCN(C)CCN1C)C)C, target: C1CNCCC1
origin: C1CCNC1, cl: C1CCCCC1N1CCCCNCC1, target: N1CCCCC1
origin: C(CCC)CCCCCCCCCC[N+](C)(C)C, cl: C([N+]1(C)CCCC1)CCCC[N+]1(CCCC1)C, target: CC[N+](CC)(CC)CC
origin: CCN(CC)CC, cl: C([N+](C)(C)C)C, target: CC[N+](CC)(CC)CC
origin: C(C)[n+]1cn(C)cc1, cl: NC1CCCCC1, target: C1CCCCC1N
origin: C1CCCC(N)C1, cl: C1CCC(N)CC1, target: NC1CCCCC1
origin: C1C2C(CCC1)CCC[N+](C)(C)C2, cl: C1C2CC3CC(CC1C3)([N+](C)(C)C)C2, target: C12([N+](C)(C)C)CC3CC(CC(C3)C1)C2
origin: NCCNCCNCCN, cl: CC[N+](CC)(C)C, target: C([N+](CC)(CC)CC)C
origin: C1CCCC(N)C1, cl: C1CN(CCN(CCN(CCN(CCN(CCN1C)C)C)C)C)C, target: C1NCCOC1
origin: C1(C)CCCC(C)[N+]12CCCC2, cl: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, target: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2
origin: C(N(C(C)C)C(C)C)C, cl: [N+]1(C)(CCCCC[N+]2(C)CCCC2)CCCC1, target: CC[N+](CC)(CC)CC
origin: C1CCCC(N2CCCCC2)C1, cl: C(C)(C)N(CC)C(C)C, target: CCN(CC)CC
origin: C1C(N2CCCCC2)CCNC1, cl: C(C)(N(CC)C(C)C)C, target: N(CC)(CC)CC
origin: C1CCCC(C)[N+]1(C)CC, cl: C1CCC([N+](C)(C)C)CC1, target: C1([N+](C)(C)C)CCCCC1
origin: CC(C)N(C(C)C)CC, cl: CC[N+](C)(CC)C, target: CC[N+](CC)(CC)CC
origin: CC(C)(C)N(CC)C(C)C, cl: C([N+]1(CCCC1)C)CCCC[N+]1(C)CCCC1, target: C([N+](CC)(CC)CC)C
origin: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, cl: C[N+]1(C)CCC2C(CCC2)CC1, target: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2
origin: C1CC(N)CCC1, cl: C([N+]1(C)CCCC1)CCCC[N+]1(C)CCCC1, target: CC[N+](CC)(CC)CC
origin: CC(N(CC)C(C)C)C, cl: C(CN(C)C)CCCCN(C)C, target: N(CCO)(C)CCO
origin: C(C)N(CCO)CC, cl: OCCN(C)CCO, target: OCCN(CC)CCO
origin: CC(C)(N(CC)C(C)C)C, cl: CC[N+](CC)(CC)CC, target: [N+](CC)(CC)(CC)CC
origin: C1C2C(CCCC2)CC[N+](C)(C)C1, cl: C12CC3CC(C2)CC(C3)(C1)[N+](C)(C)C, target: C1CC[N+](C)(C)CC2CCCCC12
origin: C1CCCC2CCC[N+](C)(C)C12, cl: C12CC3CC(C2)CC(C3)(C1)[N+](C)(C)C, target: C1CC2CCCCC2[N+](C)(C)C1
origin: C1C2CC3CC(CC1C3)[N+](C)(C)C2, cl: C1CCC2C(CCC[N+]2(C)C)C1, target: C[N+]1(C)C2C(CCCC2)CCC1
origin: C1C2CC3CC(CC1C3)C[N+]2(C)CC, cl: C1C[N+](C2CC(C)(CC2C)C)(C)CC1, target: C1CC2[N+](C)(C)CCCC2CC1
origin: C1CC2C(CC1)CCC[N+]2(C)C, cl: [N+]1(C)(C)CCCC2C1CCC2, target: C1CC2C([N+](C)(C)C1)CCC2
origin: C1CC2C(CCC[N+]2(C)C)CC1, cl: C1CC2CCCC2C[N+]1(C)C, target: C12C(CC[N+](C)(C)C1)CCC2
origin: CCN(CCO)CC, cl: CC[N+](CC)(C)C, target: C(C)[N+](CC)(CC)CC
origin: C(N)CNCCNCCNCCN, cl: C1CCC(N)CC1, target: C1CCC(N)CC1
origin: C1C(C)(C)NCCNC(C)CC(C)(C)NCCNC1C, cl: C1CCCC(N)C1, target: C1CCCCC1N
origin: c1cn(C)c(C)[n+]1C, cl: C1CNC(CC(C)(NCCNC(C)CC(N1)(C)C)C)C, target: C1CCCCN1
origin: c1ccccn1, cl: n1cc[nH+]c1, target: c1cnccc1
origin: C1(C)CC(C)(C)NCCNC(C)CC(C)(C)NCCN1, cl: c1n(cc[n+]1CC)C, target: n1(C)cc[n+](C)c1
origin: c1n(C)c(C)[n+](C)c1, cl: c1[n+](C)c(C)n(c1)C, target: Cn1c[n+](C)cc1
origin: CC1(C)NCCNC(C)CC(C)(C)NCCNC(C)C1, cl: c1c[n+](cn1C)CC, target: c1(C)n(C)cc[n+]1C
origin: C[n+]1cn(C)c(C)c1, cl: [n+]1(C)c(C)n(c(C)c1)C, target: [n+]1(C)c(C)n(C)cc1
origin: c1c[n+](C)c(C)n1C, cl: c1c[n+](C)cn1CC, target: [n+]1(C)ccn(C)c1C
origin: C([n+]1ccn(C)c1)C, cl: Cn1c[n+](cc1)CC, target: c1[n+](C)cc(C)n1C
origin: c1c(C)n(C)c(C)[n+]1C, cl: C[n+]1c(C)n(C)c(C)c1, target: Cn1c(C)c[n+](C)c1
origin: C1C(C)(C)NCCNC(C)CC(C)(C)NCCNC1C, cl: Cc1n(C)cc[n+]1C, target: c1(C)c[n+](C)c(C)n1C
origin: Cn1c(C)c[n+](C)c1, cl: [n+]1(C)ccn(C)c1C, target: c1(C)n(C)c(C)c[n+]1C
origin: C1C(C)[N+](CC)(CC)C(C)CC1, cl: C[N+]1(CC2C3C=CC(C2C1)C1C3C[N+](C)(CC)C1)CC, target: C1(C)CC(C)C[N+](C)(C)C1
origin: C1CC(C)[N+](CC)(CC)C(C)C1, cl: CC[N+]1(CC2C(C1)C1C3C[N+](CC3C2C=C1)(CC)CC)CC, target: CC[N+]1(CC)CC(C)CC(C)C1
origin: C1CCC(C)[N+](C)(C)C1C, cl: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3, target: C[N+](C)(C)C12CC3CC(CC(C1)C3)C2
origin: C1(C)C[N+](C)(C)CC(C)C1, cl: C1CC(C)[N+](C)(C(C1)C)C, target: C1C([N+](CC)(C)C)CCCC1
origin: C(CO)N(CC)CC, cl: C(C)(C)N(C(C)C)CC, target: [N+](CC)(CC)(CC)CC
origin: C(N(CCO)CCO)CO, cl: C1OCCN(CCOCCOCCOC1)CCCCN1CCOCCOCCOCCOCC1, target: N1CCOCC1
origin: C(CNCCN)NCCNCCN, cl: C1CNCCN1, target: N1CCOCC1
origin: C(CNCCN)NCCNCCN, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: C(N)CNCCN, cl: CC[N+](CC)(C)C, target: C([N+](CC)(CC)CC)C
origin: C1C(C)(C)NCCNC(C)CC(C)(C)NCCNC1C, cl: C1CCN(CC1)C1CCNCC1, target: C1CCCC(N)C1
origin: N(CCN)CCN, cl: C1CCC(N)CC1, target: C1CCCC(N)C1
origin: C1(C)[N+](CC)(CC)C(C)CCC1, cl: CC[N+]1(CC)CC2C3C4C[N+](CC4C(C=C3)C2C1)(CC)CC, target: C12C[N+](CC)(CC)CC1C1C=CC2C2C[N+](CC)(CC)CC12
origin: C[n+]1c(C)n(C)c(C)c1, cl: c1cn(c[n+]1CC)C, target: c1n(C)ccn1
origin: C1CCCNC1, cl: c1ccccc1C[n+]1ccn(c1)C, target: c1ccncc1
origin: C[n+]1cn(C)c(C)c1, cl: c1c(n(C)c[n+]1C)C, target: c1nccc(C)c1
origin: C1CNC(C)(C)CC(C)NCCNC(C)(C)CC(C)N1, cl: C(C)[n+]1ccn(c1)C, target: [n+]1(CC)ccn(C)c1
origin: C(C)(N(C(C)C)CC)C, cl: CC[N+](C)(CC)C, target: CC[N+](CC)(CC)CC
origin: CC1C[N+](C)(C)CC(C)C1, cl: C1CC[N+](C1)(C)CCCCC[N+]1(CCCC1)C, target: C1(N)CCCCC1
origin: C1CC2CCCCC2[N+](C)(C)C1, cl: C[N+]1(C)CCC2C(C1)CCC2, target: [N+](C)(CCO)(C)C
origin: C1C2CC3([N+](C)(C)C)CC(C2)CC1C3, cl: C[N+](C)(C)C12CC3CC(CC(C3)C2)C1, target: C12CC3CC(C1)CC([N+](C)(C)C)(C3)C2
origin: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2, cl: C12([N+](C)(C)C)CC3CC(CC(C3)C2)C1, target: C12CC3([N+](C)(C)C)CC(CC(C1)C3)C2
origin: c1(C)n(C)c(C)[n+](C)c1, cl: c1(C)n(C)c(C)c[n+]1C, target: Cn1c(CC)[n+](C)cc1C
origin: C[n+]1cn(C)c(C)c1, cl: C(c1n(c([n+](c1)C)C)C, target: CCc1n(C)c(C)c[n+]1C
origin: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2, cl: C([N+]1(CCCC(C)C1)CC)C, target: C[N+](C)(C)CCO
origin: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3, cl: CC[N+]1(CC)CCCC(C)(C1)C, target: CC[N+](CC)(CC)CC
origin: C1C(C)C[N+](C)(C)CC1C, cl: C[N+]1(C)CC(C)CC(C)C1, target: C1CCC([N+](CC)(C)C)CC1
origin: c1c[n+](C)c(C)n1C, cl: C1OCCNC1, target: C1CNCCO1
origin: C[N+](C)(C)CCO, cl: C(C)[N+](CCCCC[N+](C)(CC)C)(C)C, target: [N+](CC)(CC)(CC)CC
origin: C(CCCCCCCCCCCC)C[N+](C)(C)C, cl: N(CCO)(C)CCO, target: CCNCC
origin: C1CCC(N)CC1, cl: C(CNCCNCCN)N, target: N(CCN)CCN
origin: C(CNCCNCCN)NCCN, cl: NCCNCCNCCNCCNCCN, target: NCCNCCN
origin: C(CNCCNCCNCCN)N, cl: N(CCN)CCNCCNCCN, target: C(O)CNCCN
origin: N(CCN)CCNCCNCCNCCN, cl: C(NCCN)CCNCCN, target: N(CCN)CCO
origin: C(NCCN)CNCCNCCN, cl: C(NCCN)CNCCNCCN, target: C(CN)NCCNCCN
origin: C(NCCN)CNCCN, cl: NCCCCNCCNCCNCCN, target: C(CCNCCNCCCN)N
origin: C1(N)CCCCC1, cl: NCCCNCCNCCNCCN, target: N(CCNCCCN)CCCN
origin: C(CNCCNCCNCCN)N, cl: N(CCN)CCNCCNCCN, target: NCCNCCNCCNCCN
origin: CC[N+](CC)(CC)CC, cl: N(CCN)CCNCCN, target: C(CNCCNCCNCCN)N
origin: C(CNCCNCCNCCNCCN)N, cl: C(NCCN)CNCCN, target: NCCNCCNCCNCCNCCN
origin: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2, cl: C12CC3CC(C2)CC(C3)([N+](C)(C)C)C1, target: C12CC3([N+](C)(C)C)CC(CC(C3)C1)C2
origin: C[N+](C)(C12CC3CC(CC(C1)C3)C2)C, cl: C1C2CC3CC1CC(C3)(C2)[N+](C)(C)C, target: C1C2([N+](C)(C)C)CC3CC(C2)CC1C3
origin: C1[N+](C)(C)C2CC3CC(CC1C3)C2, cl: C[N+]1(C)CCC2C(C1)CCCC2, target: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2
origin: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2, cl: C1C2CC3([N+](C)(C)C)CC(C2)CC1C3, target: C[N+](C)(C)C12CC3CC(CC(C3)C1)C2
origin: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2, cl: C1C2CC3CC1([N+](C)(C)C)CC(C3)C2, target: C12([N+](C)(C)C)CC3CC(CC(C1)C3)C2
origin: C1C2CC([N+](C)(C)C2)CN1CC, cl: C(C[N+]1(C)CCCCC1)CCC[N+]1(CCCCC1)C, target: C[N+](CCO)(C)C
origin: C(C)(N(CC)C(C)C)C, cl: CCN(CC)CC, target: CCN(CC)CC
origin: CC(N(C(C)C)CC)C, cl: C1CNCCO1, target: C1COCCN1
origin: C1CCC(N)CC1, cl: C(NCCO)CO, target: C(CNCCC)C
origin: CC1CC(C)C[N+](C)(C)C1, cl: C1CCC(CC1)N, target: C1CCCCC1N
origin: C(C)(C)(N(CC)C(C)C)C, cl: N1CCCCCC1, target: C1NCCOC1
origin: C(O)CN(C)CCO, cl: CCNCC, target: C(C)NCC
origin: C1CCCC(N)C1, cl: N(CCO)(CCO)C, target: C(C)N(CC)CC
origin: C(C)N(CCO)CC, cl: C([N+]1(CCCC1)C)CCCC[N+]1(CCCC1)C, target: C(C)[N+](CC)(CC)CC
origin: C(CNCCN)NCCNCCN, cl: C(CNCCNCCN)NCCN, target: C(CNCCN)NCCNCCN
origin: C(CNCCN)NCCNCCNCCN, cl: C(CNCCNCCNCCN)N, target: N(CCN)CCNCCNCCNCCN
origin: C(N)CNCCNCCN, cl: C(N)CNCCNCCNCCN, target: C(CN)NCCN
origin: C(CN)NCCNCCN, cl: C(CNCCNCCN)N, target: C(CO)NCCN
origin: NCCNCCNCCNCCNCCN, cl: N(CCN)CCNCCNCCN, target: N(CCN)CCNCCN
origin: C(NCCN)CNCCNCCNCCN, cl: NCCNCCNCCNCCN, target: NCCNCCCNCCN
origin: C(N)CNCCNCCNCCN, cl: C(NCCN)CNCCN, target: C(NCCCN)CNCCCN
origin: C1C([N+](C)(C)C)CCCC1, cl: C1CCC([N+](C)(C)C)CC1, target: C1CC([N+](C)(C)C)CCC1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C([N+]1(C)C(C)CCCC1(C)C)C, target: [N+](C)(CCO)(C)C
origin: C1CC([N+](C)(C)CC)CCC1, cl: CC[N+]1(C(C)CCCC1(C)C)C, target: C(C)[N+](CC)(CC)CC
origin: C1[N+]2(C)CC[N+](C)(CC2)C1, cl: C[N+](C)(C)C, target: C[N+](C)(C)C
origin: CC[N+](CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: [N+](CC)(CC)(CC)CC
origin: [O-]C(=O)C(=O)[O-].[NH4+].[NH4+], cl: CCC[N+](CCC)(CCC)CCC, target: C(C[N+](CCC)(CCC)CCC)C
origin: C([O-])(=O)C.[NH4+], cl: C[NH4+].[NH4+].[O-], target: C[NH+](C)C
origin: [O-]C(=O)=O.[NH4+], cl: C1N2CN3CN(CN1C3)C2, target: C1N2CN3CN(C2)CN1C3
origin: C1N2CN3CN1C[N+](C)(C2)C3, cl: O=C(O)[N+](C)(C)C, target: CC(=O)[O-].[NH4+]
origin: [O-]C(=O)C(=O)[O-].[NH4+].[NH4+], cl: C(=O)[N+](C)(C)C, target: [O-]C(=O)C([O-])=O.[NH4+].[NH4+]
origin: C1N2CN3CN1C[N+](C)(C2)C3, cl: O=C([O-])(C)O.[NH4+], target: C(O)([O-])=O.[NH4+]
origin: CC(C)(C)N(CC)C(C)C, cl: C(O)CN(C)CCO, target: CN(CCO)CCO
origin: C(CCCCCCCCCCCC)CCC[N+](C)(C)C, cl: C(CO)N(CCO)C, target: N(CCO)(CCO)C
origin: C(O)CN(CCO)C, cl: C(N(CCO)CCO)CO, target: C(N(C)CCO)CO
origin: C(O)CN(CCO)C, cl: C(CO)N(C)CCO, target: OCCOCCN
origin: C1CCC(N)CC1, cl: OC(C)CNCC(C)O, target: N(CC(O)C)CC(C)O
origin: C(N(CCO)CCO)CO, cl: N(C)(CCCCCCN(C)C)C, target: CN(CCO)CCO
origin: C(C)(C)N(CC)C(C)C, cl: N(CCO)(C)CCO, target: C(N(CC)CC)CO
origin: C(CN(CCO)C)O, cl: OC(CNCC(C)O)C, target: C(C(C)(O)C)N
origin: C1C(C)C[N+](C)(C)CC1C, cl: C1([N+](C(C)CCC1)(CC)CC)C, target: C1CCC([N+](C)(C)C)CC1
origin: c1ncccc1, cl: c1cnc(cc1)-c1ccccc1, target: c1ncccc1
origin: CC(C)N(CC)C(C)C, cl: CCNCC, target: CCNCC
origin: C(C)N(CC)CC, cl: N(CCO)(CCO)C, target: C(C)NCC
origin: C(C)N(C(C)C)C(C)C, cl: CC(C)N(CC)C(C)C, target: CC(C)NC(C)C
origin: C(C)N(C(C)C)C(C)C, cl: CC(C)N(C(C)C)CC, target: CC(C)NC(C)C
origin: C(C)[N+](CC)(CC)CC, cl: CN(CCO)CCO, target: CN(C)CCN(C)C
origin: CC(C)(C)N(CC)C(C)C, cl: C(N(CC)C(C)C)(C)C, target: C(N(C)C)CN(C)C
origin: C(C)(C)(C)N(C(C)C)C, cl: C1CCC[N+]1(C)CCCCC[N+]1(CCCC1)C, target: C1CCCCCN1
origin: C1CCCC(N2CCCCC2)C1, cl: n1(C)cc[n+](c1)CCCC, target: CC[n+]1ccn(C)c1
origin: C1CCC(C)(C)NC1(C)C, cl: n1(C)cc[n+](CCCC)c1, target: Cn1c[n+](CCCC)cc1
origin: C1CCCC(N2CCCCC2)C1, cl: CCN(C(C)C)C(C)C, target: C(N(CC)CC)C
origin: c1[n+](CC)ccn1C, cl: C(C)(N(CC)C(C)C)C, target: C(N(CC)CC)C
origin: C(CN(CCO)C)O, cl: C[N+]1(CCCC1)CCCCC[N+]1(C)CCCC1, target: C(CCCC)CCCCCCC[N+](C)(C)C
origin: C(CO)N(CCO)C, cl: C(CCCCCCC[N+](C)(C)C)CCCCCCCCCC, target: C(CCCCCCCCC)CCCCCC[N+](C)(C)C
origin: CC1(C)NCCNC(C)CC(C)(C)NCCNC(C)C1, cl: C1CCC[N+]1(C)CCCCC[N+]1(C)CCCC1, target: C1CCC(N)CC1
origin: C1CCC(N)CC1, cl: C1CCC(N)CC1, target: C1CCCCC1N
origin: CC(C)N(CC)C(C)C, cl: CCN(CC)CC, target: CCN(CC)CC
origin: CCN(CC)CC, cl: C(N(CC)CC)C, target: C(C)N(CC)CC
origin: NC1CCCCC1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C1CCC(N)CC1, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: c1(C)[n+](C)cc(C)n1C, cl: C(C)c1n(c(C)c[n+]1C)C, target: C(NCC)C
origin: C1C2CC(C)(C)CC1(C)C[N+]2(C)C, cl: C[N+]1(C)CCCC2CCCCC2C1, target: CC1(C)C[N+](C)(C)CCC1
origin: C12CC3CC(C1)C[N+](CC)(C)C(C2)C3, cl: C1C(C)[N+](C)(CCC1)CC, target: CC1(C)CCC[N@@+](CC)(C)C1
origin: C1C2CCCC(C1)[N+]2(C)CC, cl: [N@+]1(C)(C)CCCC2CCCCC21, target: C1C[N@@+](C)(CC)[C@H](C)CC1
origin: C12CC3CC(CC(C3)[N+](C)(C)C1)C2, cl: CC1CC(C[N+](C1)(C)C)C, target: CC1CCC[N@@+]12CCCC(C)(C)C2
origin: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2, cl: C12[N+](C)(CC(C3CCC2C3)CCC1)C, target: C1C2CCCC([N+]2(C)CC)CC1
origin: C[N+]1(C)CC2C(CCCC2)CCC1, cl: C1C2CC3CC(C2)CC1[N+](C)(C)C3, target: C1CCC2[N+](C)(CC)C1CC2
origin: CC1(C)CC2(C)CC([N+](C)(C)C2)C1, cl: CC[N+]1(C)CC(CC(C)C1)C, target: C1C2CCCC([N+]2(CC)C)C1
origin: [N+]1(C)(C)CCCC2C1CCC2, cl: C12CC3CC(C2)CC([N+](C)(C)C)(C3)C1, target: C1[N+](C)(CC)CC2CCC1CC2
