origin: C1C(NCCNC(C)(C)CC(C)NCCNC1(C)C)C, cl: C(CC)[n+]1c(C)n(C)c(c1C)C, target: C1N(C2CCNCC2)CCCC1
origin: C12CC3CC(CC(C1)C3)(C2)[N+](C)(C)C, cl: C1C(CCCC1)N(C1CCCCC1)C, target: C[N+](C)(C)C12CC3CC(CC(C1)C3)C2
origin: C12CC3CC(CC(C3)(C1)[N+](C)(C)C)C2, cl: n1(c[n+](CC)cc1)C, target: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2
origin: C12CC3CC(CC(C3)(C2)[N+](C)(C)C)C1, cl: c1(C)n(c([n+](C)c1)C)C, target: C[N+](C)(C)C12CC3CC(C1)CC(C2)C3
origin: C1CCCNC1, cl: C1C2CC3CC1(CC(C3)C2)[N+](C)(C)C, target: NCCCN
origin: C1CC(C)(C)NCCNC(C)CC(C)(NCCN1)C, cl: C(N(CC)CC)C, target: CC[N+](CC)(CC)CC
origin: C(C)[N+](CC)(CC)CC, cl: C1C(CCCC1)N(C)C1CCCCC1, target: C12([N+](C)(C)C)CC3CC(CC(C1)C3)C2
origin: C12([N+](C)(C)C)CC3CC(CC(C3)C1)C2, cl: C1CC(N(C2CCCCC2)C)CCC1, target: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3
origin: [N+]1(C)(CC(C)CC(C1)C)C, cl: c1ccc(c(c1)CN1CCCC1)F, target: CC[P+](CC)(CC)CC
origin: [N+](C)(C)(C)C1CCCCC1, cl: c1c(C(O)C(C)N(C)Cc2ccccc2)cccc1, target: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3
origin: C(C)(N)(N)C, cl: C(c1ccccc1)N1C(CO)CCC1, target: N1CCN(CCN)CC1
origin: C1C2CC3(CC1CC(C3)C2)[N+](C)(C)C, cl: C(C)C[n+]1ccn(c1)C, target: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C
origin: C[N+](C)(C)C12CC3CC(CC(C3)C2)C1, cl: C1C2CC3(CC1CC(C2)C3)[N+](C)(C)C, target: C[N+](C)(C)C12CC3CC(CC(C3)C1)C2
origin: CC1C[N+](C)(CC(O1)C)C, cl: C1C2CC3(CC1CC(C3)C2)[N+](C)(C)C, target: C([N+](CC)(CC)CC)C
origin: C1CC2C(CCC1)C[N+](C)(CC2)C, cl: N(CC)(CC)CC, target: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2
origin: C(CNCCC)C, cl: C1CCCC(N(C)C2CCCCC2)C1, target: C1C(N)CCCC1
origin: C(NCCNCCNCCN)NCN, cl: C1CC(N(Cc2ccccc2)C1)CO, target: NC1CCCCC1
origin: C12CC3([N+](C)(C)C)CC(CC(C3)C2)C1, cl: OC(C(c1ccccc1)O)C(NC)C, target: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2
origin: C1CC[N+](C)(CCCCC[N+]2(C)CCCC2)C1, cl: C(N(CC)CC)C, target: CC[N+](CC)(CC)CC
origin: C1C[N+](CCCCC[N+]2(C)CCCC2)(C)CC1, cl: C1CCCC(C1)N(C1CCCCC1)C, target: CNCCCC
origin: C(CCCCCCCCCCCCCC[N+](C)(C)C)CCCC, cl: c1n(C)c([n+](c1)CC)C, target: CCCNCCC
origin: C(C)C[N+](CCC)(CCC)CCC, cl: c1cc(ccc1F)C[N+](Cc1cc(ccc1)F)(C)C, target: C(CC)NCCC
origin: C(CCCCCCCCCCC)CCCC[N+](C)(C)C, cl: c1cc(CN2CCCC2)ccc1F, target: CC(C)NC(C)C
origin: C(CCCC)CCCCCCCCCCCCC[N+](C)(C)C, cl: CCC(C)N(CCCCCN(CC(C)C)CC1)C, target: CC(C)NC(C)C
origin: C(C)(C)NC(C)C, cl: c1ccc(cc1)CN1CCCC1CO, target: C(N(CC)CC)C
origin: C1CCC([N+](CC)(C1C)CC)C, cl: c1cc(C(O)C(NC)C)ccc1, target: C(C)[N+]1(C)C(C)CCCC1
origin: C1CC(C)(C)C[N+](C1)(C)CC, cl: C1CCC(N(C)C2CCCCC2)CC1, target: C1CC(C)(C)C[N+](C)(C)C1
origin: C1CCC(C)(C[N+]1(C)C(C)C)C, cl: C1CCC(CC1)N(C)C1CCCCC1, target: C1CC(C)C[N+](CC)(CC)C1
origin: C1C(C)(C)C[N+](CC1)(CC)CC, cl: C1C2CN3C(CCCC3)C1C[N+]1(C)CCCCC12, target: C([N+]1(CC)CC(C)OC(C)C1)C
origin: C1CCC([N+](CC)(C1C)CC)C, cl: c1ccc(C(O)C(NC)C)cc1, target: C(C)[N+]1(CC)CCCC(C)(C)C1
origin: C1CC(C)[N+](C(C1)C)(CC)C, cl: c1ccc(CN2CCCC2CO)cc1, target: C([N+]1(CC)CC(C)CC(C)C1)C
origin: CC1(C)C[N+](C(C)C)(CCC1)CC, cl: [N+](CC)(CC)(CC)CC, target: C(C)([N+]1(C)CCCC(C)(C)C1)C
origin: C1CCCC(C)[N+](C1C)(C)C, cl: N(CC)(CC)CC, target: C1C[N+]2(CC(C)(C)C1)CCCC2
origin: C1(C)[N+](C(CCC1)C)(C)C, cl: C1N(Cc2cccc(F)c2)CCC1, target: C1C[N+]2(CC(C)CC(C)C2)C(C)C1
origin: C1CC[N+](C)(CCCCC[N+]2(C)CCCC2)C1, cl: C1CCCN(Cc2ccccc2)C1, target: N1CCOCC1
origin: C(C)(NC(C)C)C, cl: C1CN(CCC1)Cc1ccncc1, target: C1CCN(C2CCNCC2)CC1
origin: C(CCCCCCCCCCC)CCCCC[N+](C)(C)C, cl: C(C)CN(CCC)CCC, target: CCNCC
origin: C1CCNCCC1, cl: C(C(NC)C)(O)c1ccccc1, target: C(CN)NCCN
origin: C1C(C)(NCCNC(CC(C)(NCCNC1)C)C)C, cl: c1c(cccc1)C(O)C(C)N(C)Cc1ccccc1, target: C1CC(N2CCCCC2)CCN1
origin: c1c[nH+]cn1C, cl: C(C)(N(CC)C(C)C)C, target: c1ccccn1
origin: C[n+]1cn(C)cc1, cl: c1(C)c[n+](c(n1C)C)C, target: n1ccn(C)c1
origin: C([n+]1cn(C)cc1)CCC, cl: C1(N(C)C2CCCCC2)CCCCC1, target: CCCNCCC
origin: C1C(N)CCCC1, cl: C1C(N(Cc2ccccc2)CC1)CO, target: N(CCC)CCC
origin: c1c[nH+]cn1C, cl: N(C(C)C)(CC)C(C)C, target: c1cccc[nH+]1
origin: c1ncccn1, cl: C(CC)N(CCC)CCC, target: C1=NC=C[NH+]1C
origin: C1CN(CCN(CCN(CCN(CCN(CCN1C)C)C)C)C)C, cl: c1cccc(c1)C(O)C(N(C)C)C, target: C1CN(C)CCC1
origin: C(C)[N+](C)(CC)CCCCC[N+](CC)(C)CC, cl: c1cccc(C[N+](C)(Cc2ccccc2F)C)c1, target: C[N+](C)(C)C
origin: C1C2CC3CC1CC(C2)([N+](C)(C)C)C3, cl: c1cc(F)c(cc1)CN1CCCC1CO, target: C12([N+](C)(C)C)CC3CC(C1)CC(C2)C3
origin: C12CC3CC(C2)CC(C1)(C3)[N+](C)(C)C, cl: OC(C(NC)C)c1ccccc1, target: C12CC3CC([N+](C)(C)C)(CC(C3)C1)C2
origin: c1[n+](cn(C)c1)CC, cl: C1(CCCCC1)N(C1CCCCC1)C, target: C1OCCNC1
origin: C1CCCC(N)C1N, cl: C1N(CCO)CCOCCOCCOCCOC1, target: C1NCCOC1
origin: C(C)CNCCC, cl: C(C)(C(N(CC)C)C)O, target: C1CC(N)CCC1
origin: C(N(CC)C(C)C)(C)C, cl: N(C1CCCCC1)(C)C1CCCCC1, target: C1CCCC(N)C1
origin: CC(C)N(CC)C(C)C, cl: c1c(F)ccc(c1)CN1CCCC1, target: CCN(CC)CC
origin: C1CCCC(N)C1, cl: C1CCCC(N(C)C2CCCCC2)C1, target: C(C)N(CC)CC
origin: C(CC[N+]1(C)CCCC1)C[N+]1(CCCC1)C, cl: C(C)CN(CCC)CCC, target: C1CNCCN1C
origin: C1CCC2CCCC2[N+]1(C)C, cl: C(C(C)NC)(c1ccccc1)O, target: C1C2CCC[N+](C)(C)CC2CCC1
origin: C1CC2C(C1)[N+](CCC2)(C)C, cl: C(C)(C(C)NC)c1ccccc1, target: C1CC2CCC[N+](C)(C)C2CC1
origin: C1CCC2C(C1)CCCC[N+]2(C)C, cl: C[N+]12CCCCC1C1CN3C(C(C1)C2)CCCC3, target: C1CCC2C(CCCC2)[N+]1(C)C
origin: C1C2CC3CC(C2)CC1C[N+]3(C)C, cl: c1(C(O)C(C)N(Cc2ccccc2)C)ccccc1, target: C1CC[N+](C)(C)C2CCCCC12
origin: C1CCCC2C([N+](CCC2)(C)C)C1, cl: c1(C)c(cccc1)C(C)N(C)Cc1ccccc1, target: [N+]1(C)(C)C2C(CCC2)CCC1
origin: CC1(C[N+](C)(CCC1)C)C, cl: C1CCCN(Cc2ccccc2)C1CO, target: C1CC2CC[N+](C)(C)CC2C1
origin: c1cn(c[n+]1CCCC)C, cl: c1cc(ccc1)C(O)C(NC)C, target: C1CNCCC1
origin: c1cn(c(CC)[n+]1C)C, cl: C1CC(N(C2CCCCC2)C)CCC1, target: C1OCCNC1
origin: c1cn(C)c[n+]1C, cl: c1c(cc(F)cc1)CN1CCCC1, target: C1CCNCCNCCCNCCN1
origin: C1CCC(N)CC1, cl: C(N1CCCC1)c1c(F)cccc1, target: c1n(C)c[n+](C)c1
origin: Cn1c([n+](cc1)C)C, cl: c1ccccc1CN1CCCC1, target: CC[n+]1cn(C)cc1
origin: C(CC[N+]1(CCCC1)C)C[N+]1(CCCC1)C, cl: C(C)CN(CCC)CCC, target: N(CC)(CC)CC
origin: C([N+]1(C)CCCC1)CCC[N+]1(C)CCCC1, cl: c1cccc(c1)CN1C(CO)CCC1, target: CCN(CC)CC
origin: C1(NCCNC(C)(C)CC(NCCNC(C1)(C)C)C)C, cl: c1cc(C[N+](C)(Cc2ccccc2F)C)ccc1, target: C(N(CC)CC)C
origin: C[n+]1ccn(CC)c1, cl: C([N+](CC)(CC)CC)C, target: N1CCOCC1
origin: c1(C)n(c[n+](c1)C)C, cl: C1CCCCC1N(C1CCCCC1)C, target: C1COCCN1
origin: c1(c[n+](c(C)n1C)C)C, cl: C1CCCCC1N(C)C1CCCCC1, target: N1CCOCC1
origin: c1n(c[n+](CC)c1)C, cl: c1cccc(c1)C(O)C(NC)C, target: Cn1cc[n+](CC)c1
origin: Cc1n(c[n+](c1)C)C, cl: c1n(C)c([n+](c1)CC)C, target: C1NCCCC1
origin: c1cn(C)c[n+]1CC, cl: C(c1ccccc1)(C(C)NC)O, target: C1CCCNC1
origin: C(CCCC[n+]1cn(cc1)C)[n+]1cn(cc1)C, cl: c1ccc(c(c1)C)C[n+]1ccn(c1)C, target: C1NCCCC1
origin: c1n(c[n+](c1)C)C, cl: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, target: C1CNCCC1
origin: C1CCCCC1N, cl: C1CN(Cc2cccc(F)c2)CC1, target: [N+](CC)(CC)(CC)CC
origin: C1CCC(C(C1)N)N, cl: c1c(ccc(c1)F)C[N+](C)(Cc1c(F)cccc1)C, target: [N+](CC)(CC)(CC)CC
origin: c1[n+](C(C)C)cn(C(C)C)c1, cl: C(C(NC)C)(O)c1ccccc1, target: C1CCC(N)CC1
origin: C(CCC)NCCCC, cl: C1CCCCC1N(C1CCCCC1)C, target: C1(N)CCCCC1
origin: C1CCC2C([N+](CCC2)(C)C)C1, cl: Cn1cc[n+](c1C)CC, target: C[N+](C12CC3CC(CC(C1)C3)C2)(C)C
origin: C(CNCCC)C, cl: C1N2CCN(CC2)C1, target: CC[N+](CC)(CC)CC
origin: C(CCCC[N+](C)(C)C)CCCCCCCCCCCC, cl: c1c(CN2CCCC2)cc(F)cc1, target: C1OCCNC1
origin: C1(C)CCCC([N+]1(C)C)C, cl: C1CC(CCC1)N(C1CCCCC1)C, target: C[N+](C)(C)C12CC3CC(C1)CC(C2)C3
origin: C(CCCCCN)CN, cl: C(C)CN(CCC)CCC, target: C([N+](CC)(CC)CC)C
origin: C1CN(C)CCN(C)CCN(C)CCN(CCN(C)CCN1C)C, cl: N(CC)(CC)CC, target: C(C)N(CC)CC
origin: C1CCC(N)CC1, cl: C(N(CC)CC)C, target: C(N(CC)CC)C
origin: C1([N+](CC)(CC)C(C)CCC1)C, cl: C1CC(CO)N(Cc2ccccc2)C1, target: C[N+](C)(C)C1CCCCC1
origin: C[N+]1(CCCC1)CCCCC[N+]1(C)CCCC1, cl: C1CCCC(N(C)C2CCCCC2)C1, target: C(C)[N+](CC)(CC)CC
origin: C(C)CNCCC, cl: [n+]1(ccn(C)c1C)Cc1ccccc1, target: C(C)[N+](CC)(CC)CC
origin: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, cl: [N+](CC)(CC)(CC)CC, target: C1C2([N+](C)(C)C)CC3CC1CC(C2)C3
origin: CCCN(CCC)CCC, cl: C1CN(Cc2ccccc2F)C(CO)C1, target: CC[N+](CC)(CC)CC
origin: CN(C)CC, cl: CC(N(C(O)c1ccccc1)C)CO, target: N(C)(CCO)CCO
origin: C(CCCCCCCCCCCCCCC)CC[N+](C)(C)C, cl: c1cc(CN2CCCC2CO)ccc1F, target: OCCN(CCO)CC
origin: C(CCCC)NCCCCC, cl: CCCC[n+]1c(C)n(cc1)C, target: C(C)[N+](CC)(CC)CC
origin: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, cl: C1(CO)CCCN1Cc1ccccc1, target: C1C2CCC[N+](C)(C)CC2CCC1
origin: C12[N+](CCCC1CC2)(C)CC, cl: c1cc(cc(CN2CCCC2)c1)F, target: C1[N+](C)(C)C2CCCCC2CC1
origin: CC[N+]1(CC)C2CCCC1CCC2, cl: C(C(NC)C)(c1ccccc1)O, target: C1CCCC2[N+](C)(C)CCCC12
origin: [N+]1(CCCCC1)(CCCC[N+]1(C)CCCCC1)C, cl: c1cc(ccc1)C(O)C(C)N(C)Cc1ccccc1, target: C[N+]1(C)C2CCCCC2CCC1
origin: C12CC3(CC(CC(C3)C2)C1)[N+](C)(C)C, cl: c1c(CN2CCCC2)cccc1F, target: C1CC2C([N+](C)(C)C1)CCC2
origin: C1CCCC2CCC[N+](C)(C21)C, cl: C1N(Cc2cccc(F)c2)CCC1, target: C1CC2C(CCC2)C[N+]1(C)C
origin: C(CC)NCCC, cl: c1ccc(F)c(CN2CCCC2)c1, target: C(C)[N+](CC)(CC)CC
origin: C(NCCNCCNCCN)N, cl: C1CCC(N(C2CCCCC2)C)CC1, target: C1CCCCC1N
origin: C1(N)CCCCC1, cl: C(C(C)NC)(O)c1ccccc1, target: C1CCCC(N)C1
origin: c1n(c([n+](c1)C)C)C, cl: C(C)[N+](CC)(CC)CC, target: C1CCCCN1
origin: c1c[n+](cn1C)CC, cl: C1CC[N+](C)(CCCC)C1, target: c1ccncc1
origin: n1(c[n+](C)cc1)C, cl: [N+]1(C)(CC2(c3ccc(cc3)C<unk>)CCCC2)CCCCC1, target: n1(C)cc[n+](C)c1
origin: c1(C)c[n+](c(C)n1C)C, cl: C1N(CCC1)Cc1ccncc1, target: [n+]1(C)cn(C)cc1
origin: c1n(c[n+](c1)C)C, cl: c1ccc(cc1)C(O)C(NC)C, target: Cn1c(C)[n+](C)cc1
origin: CCc1n(C)cc[n+]1C, cl: C1CCCC2C3CC(CN21)C1[N+](C3)(C)CCCC1, target: c1n(C)c(C)[n+](C)c1
origin: c1[n+](CC)cn(c1)C, cl: C(CC)[n+]1c(C)n(cc1)CCC, target: c1c[n+](C)c(C)n1C
origin: CC1(C)NCCNC(C)CC(C)(NCCNC(C1)C)C, cl: C(O)C1N(Cc2cccc(c2)F)CCC1, target: c1[n+](C)cn(C)c1C
origin: c1(C)[n+](C)ccn1C, cl: C(C(c1ccccc1)O)NC, target: c1c(C)n(C)c[n+]1C
origin: c1n(C)c([n+](c1)C)C, cl: [n+]1(cn(cc1)CC)C, target: Cc1n(C)c(C)[n+](C)c1
origin: Cc1[n+](c(n(C)c1C)C)C, cl: C1C2CC3(CC1CC(C3)C2)n1c[n+](cc1)C12CC3CC(CC(C3)C1)C2, target: Cn1c(C)[n+](C)cc1C
origin: C1C[N+](CC)(C)CC(C1)(C)C, cl: C1CN(Cc2cc(F)ccc2)CC1, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C[N+]1(CC(CC(C1)C)C)C, cl: c1(C)n(C)c(C)[n+](c1C)C, target: C([N+]1(CC)CC(C)CC(C)C1)C
origin: C1CCC(C)[N+](C1C)(CC)C, cl: c1c(CN2CCCC2CO)cccc1, target: C[N+](C12CC3CC(C1)CC(C3)C2)(C)C
origin: C(C)[N+]1(CC(C)(C)CCC1)CC, cl: C(C(NC)C)(c1ccccc1)O, target: C1CC([N+](C)(CC)C)CCC1
origin: C(CN(CCO)CCO)O, cl: C1CCC(N(C2CCCCC2)C)CC1, target: CC[N+](CC)(CC)CC
origin: C(CO)N(CCO)CCO, cl: c1cn(C)c([n+]1Cc1ccccc1)C, target: C1COCCN1
origin: C(CCCCCCCCCCCCC)NCC, cl: C1CCC2C3CC(C[N+]2(C1)C)C1N(C3)CCCC1, target: C1COCCN1
origin: C(NCCNCCNCCN)N, cl: c1ccc(C(O)C(O)C)cc1, target: C(C)N(CC)CC
origin: C(CCCCCCCCCCC)NCCC, cl: c1([n+](ccn1C)CC)C, target: C(C)[N+](CC)(CC)CC
origin: C1CC(CCC1)N, cl: c1cccc(C(O)C(NC)C)c1, target: C1CCCCC1N
origin: C1C(CC(NCC1)C)N, cl: C(CO)(CN)c1c(F)cccc1, target: C1CCCC(N)C1
origin: CC[N+]1(C(CCCC1C)C)CC, cl: C1C(O)CCCN1Cc1cccc(c1)F, target: [N+]1(CC)(CC)CC2C3C4C[N+](CC)(CC)CC4C(C=C3)C2C1
origin: C1CCC(C)(NCCNC(C)CC(N1)(C)C)C, cl: C1(CO)N(Cc2ccccc2)CCC1, target: c1n(C)ccn1
origin: c1n(c(C)c[n+]1C)C, cl: C(C)CN(CCC)CCC, target: c1cccnc1
origin: Cn1c(C)[n+](C)cc1C, cl: c1c(CN2CCCC2CO)cccc1, target: c1nccc(C)c1
origin: Cn1cc[n+](CC)c1C, cl: C1CC(N(C)C2CCCCC2)CCC1, target: c1[n+](CC)cn(C)c1
origin: C1C[N+](CC1)(CCCCC[N+]1(C)CCCC1)C, cl: C(C)(C)N(CC)C(C)C, target: C([N+](CC)(CC)CC)C
origin: C(C)N(CC)CC, cl: C(C1CCCN1Cc1ccccc1)O, target: NC1CCCCC1
origin: C1C2CC3CC(CC1(C3)[N+](C)(C)C)C2, cl: n1(C)cc[n+](c1)CCCC, target: C(C[N+](C)(C)C)O
origin: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2, cl: C(CC)N(CCC)CCC, target: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3
origin: C[N+](C)(C)C12CC3CC(C2)CC(C3)C1, cl: c1(C[N+](Cc2ccccc2)(C)C(C)CO)cc(F)ccc1, target: C12CC3([N+](C)(C)C)CC(CC(C3)C1)C2
origin: Cc1n(c(c([n+]1C)C)C)C, cl: C1CCN2C(C3CC(C2)C2[N+](C)(C3)CCCC2)C1, target: [n+]1(C)c(CC)n(C)c(C)c1
origin: Cn1c(C)c[n+](C)c1C, cl: N1(CCCC1)Cc1cccc(F)c1, target: C[n+]1c(CC)n(C)c(C)c1
origin: C1CC(C)[N+](CC)(C(C1)C)C, cl: c1(C[n+]2c(C)n(C)cc2)ccccc1, target: C[N+](C)(C)CCO
origin: C1CC[N+](CC)(C)CC(C1)(C)C, cl: c1cc(cc(F)c1)C[N+](Cc1cccc(F)c1)(C)C, target: CC[N+](CC)(CC)CC
origin: C(C)[N+]1(CC)CC(C)CC(C1)C, cl: c1cc(ccn1)N(C)C, target: C(C)[N+](C1CCCCC1)(C)C
origin: Cn1c[n+](cc1)C, cl: c1[n+](CC)c(n(C)c1)C, target: C1NCCOC1
origin: C(CCCCC[N+](C)(C)CC)C[N+](C)(CC)CC, cl: C([N+](CCO)(CCO)C)CO, target: C(C)[N+](CC)(CC)CC
origin: C[N+]1(CC(CC(C1)C)C)C, cl: C(c1ccccc1)N1CCCC1, target: C(C)NCC
origin: C(CNCCNCCN)NCCN, cl: CC(C(c1ccccc1)O)NC, target: C(NCCN)CN
origin: C1CNCCNC1, cl: C1CCC(CO)N1Cc1ccccc1, target: C(CNCCN)N
origin: C1CCCC(C1)N, cl: c1cc(C(O)C(NC)C)ccc1, target: NCCNCCO
origin: C(CNCCNCCN)NCCN, cl: C1CCCCC1N(C)C1CCCCC1, target: C(NCCN)CO
origin: N1C(CNCC1)C, cl: CC1N(Cc2cccc(F)c2)CCC1, target: N(CCNCCN)CCN
origin: C(N)C(C)(N)C, cl: c1ccc(cc1)C(O)C(NC)C, target: C(N)CCNCCNCCCN
origin: C(CCCCNCCCCC)N, cl: C1CC(N(C2CCCCC2)C)CCC1, target: C(CNCCCN)NCCCN
origin: C(C(C)NC)(C)O, cl: c1ccc(c(c1)CN1C(CO)CCC1)F, target: C(N)CNCCNCCNCCN
origin: C(CCN)CCCCN, cl: C(C)CN(CCC)CCC, target: C(CNCCNCCNCCN)N
origin: C[N+](CC)(CC)C, cl: C1CCN(CCCN(C)CCCN(C)C1)C, target: C(NCCNCCNCCNCCN)CN
origin: C12CC3([N+](C)(C)C)CC(CC(C3)C1)C2, cl: C1CCCC2C3CC(CN12)C1CCCC[N+]1(C3)C, target: C12CC3([N+](C)(C)C)CC(CC(C3)C1)C2
origin: C12CC3CC(C1)CC(C3)([N+](C)(C)C)C2, cl: C(N(CC)CC)C, target: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2
origin: C1CC2C(C1)C[N+](C)(CC2)C, cl: CC(N(CC)CC)C, target: C12CC3([N+](C)(C)C)CC(CC(C3)C1)C2
origin: C1C2CC3(CC(CC1C3)C2)[N+](C)(C)C, cl: C1N(CCC1)Cc1ccccc1, target: C1C2([N+](C)(C)C)CC3CC1CC(C2)C3
origin: C12CC3(CC(CC(C3)C1)C2)[N+](C)(C)C, cl: C1CCCC(N(C2CCCCC2)C)C1, target: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2
origin: C1CC(C)[N+](CC)(CC1)C, cl: C1C2CC3CC(CC1C3)([N+](C)(C)C)C2, target: C(CO)[N+](C)(C)C
origin: C(CCCCCCCCCCCC)CCCC[N+](C)(C)C, cl: C1CC(CCC1)N(C)C1CCCCC1, target: CCN(CC)CC
origin: C(CCCCN(C)C)N(C)C, cl: CCN(CC)CC, target: N1CCOCC1
origin: OCCN(CCO)C, cl: C1CC(N(C2CCCCC2)C)CCC1, target: N(CCC)CCC
origin: CN(C)CCCCCCN(C)C, cl: C(C)(C(c1ccccc1)O)NC, target: C1C(N)CCCC1
origin: CC(CC)N(C(C)C)CC, cl: C1CC(N(Cc2ccccc2)C1)CO, target: N1CCOCC1
origin: C(CCCCCCCCCCC)CCCC[N+](C)(C)C, cl: C1CCC(CC1)N(C1CCCCC1)C, target: C(NCC)C
origin: C(C)CNCCC, cl: Cn1c(C)[n+](Cc2ccccc2)cc1, target: N(CC)(CC)CC
origin: C(CCCCCC)CCCCCCCCCCCC[N+](C)(C)C, cl: C1CC[N+](C)(C1)CCCC, target: CC[N+](CC)(CC)CC
origin: C(CNCCN)NCNCCN, cl: c1(CN2CCCC2)cc(F)cccc1, target: C(CNCCNCCN)NCCN
origin: C(N)CNCCNCCNCCN, cl: C1CN(CCN1)CCN, target: N(CCNCCN)CCNCCNCCN
origin: [N+](C)(C)(C)CCCCCCCCCCCCCCCC, cl: C1C2C3CCCCN3CC(C3[N+]1(C)CCCC3)C2, target: C(CNCCN)N
origin: C(CCCNCCCCC)CCN, cl: c1ccc(cc1)C(O)C(NC)C, target: N(CCO)CCN
origin: C(NCCO)CN, cl: c1c(F)cc(CN2CCCC2)cc1, target: N(CCNCCN)CCN
origin: C(CCN)NCCNCCN, cl: C1CCN(C1CO)Cc1ccccc1, target: C(NCCCNCCN)CN
origin: C(NCCN)CNCCNCCNCCN, cl: C(CC)CN(CCCC)CCCC, target: C(CNCCCN)NCCCN
origin: CC1CC(C[N+](C)(C)C1)C, cl: c1ccc(cc1)C(O)C(C)N(C)Cc1ccccc1, target: C1CCCCC1[N+](C)(C)C
origin: C1(CCCC(C)[N+]1(CC)CC)C, cl: C([n+]1cn(cc1)C)CCC, target: C[N+](C)(CCO)C
origin: C1C[N+](C)(CC(C1)C)C, cl: C1CCCC(C1)N(C)C1CCCCC1, target: CC[N+](CC)(CC)CC
origin: C1CCCC[N+]12CCCC2, cl: C1CCC(CC1)N(C)C1CCCCC1, target: C[N+](C)(C)C
origin: C(C)[N+](CC)(CC)CC, cl: C1CN(Cc2ccccc2)CC1, target: CC[N+](CC)(CC)CC
origin: C(CN(C)C)N(C)C, cl: c1(ccccc1)C(O)C(NC)C, target: C(C[N+](CCC)(CCC)CCC)C
origin: C(C)[N+](CC)(CC)CC, cl: n1(cc[n+](c1C)CC)C, target: [NH+](C)(C)C
origin: [NH4+].[O-]=O=O=O, cl: C1CN(CC1)Cc1ccccc1, target: C1N2CN3CN1CN(C2)C3
origin: [NH4+].[O-].[O-], cl: OCC1N(Cc2ccccc2)CCC1, target: C([O-])(=O)C.[NH4+]
origin: C1CCC[N+](C)(C1)C, cl: c1cc(CN2CCCC2CO)ccc1, target: [O-]C(C([O-])=O)=O.[NH4+].[NH4+]
origin: [NH4+].[O-]C(=O)[O-], cl: C1CCCC2C3C[N+]4(C)C(CCCC4)C(C3)CN21, target: [O-]C(=O)O.[NH4+]
origin: C(CC[N+]1(CCCC1)C)C[N+]1(C)CCCC1, cl: c1ncccc1, target: OCCN(CCO)C
origin: C(CCCCC[N+](C)(C)C)CC[N+](C)(C)C, cl: c1c(F)cc(CN2CCCC2)cc1, target: C(N(CCO)C)CO
origin: C1CC[N+](C)(C1)CCCCC[N+]1(C)CCCC1, cl: C1N(Cc2ccccc2)CCC1, target: OCCN(CCO)C
origin: C(CCCCCCC[N+](C)(C)C)CCCCCCCCC, cl: c1cc(C[N+](Cc2cccc(F)c2)(C)C)ccc1F, target: C(COCCN)O
origin: C(C)(C)N(CC)C(C)C, cl: c1cc(ccc1)C(C(NC)C)O, target: C(NCC(C)O)C(O)C
origin: C(C[N+]1(CCCC1)C)CCC[N+]1(C)CCCC1, cl: CCCN(CCC)CCC, target: OCCN(C)CCO
origin: CCCNCCC, cl: C(C1CCCN1Cc1ccccc1)O, target: C(N(CC)CC)CO
origin: C(C[N+]1(C)CCCC1)CCC[N+]1(C)CCCC1, cl: C1C2[N+](CC3C4CCCCN4CC2C3)(C)CCC1, target: C(C(O)(C)C)N
origin: C1(C)CC(C)C[N+](C1)(C)C, cl: c1c(F)cccc1C[N+](Cc1ccccc1F)(C)C, target: C1([N+](C)(C)C)CCCCC1
origin: c1nccn1C, cl: CCN(CC)CC, target: c1ncccc1
origin: C(C)[N+](CC)(C)CC, cl: N(CC)(CC)CC, target: N(CC)CC
origin: C(CNCCC)C, cl: CC1C2C[N+]3(C(CCCC3)C(C1)C2)CC, target: CCNCC
origin: C(CC[N+]1(C)CCCC1)CC[N+]1(CCCC1)C, cl: c1cc(C(O)C(N(C)C)C)ccc1, target: CC(C)NC(C)C
origin: N1CCCCCC1, cl: C1C2CC3CC1CC(C2)([N+](C)(C)C)C3, target: CC(C)NC(C)C
origin: C[N+](CC)(CC)CC, cl: c1cccc(c1)C(O)C(N(C)Cc1ccccc1)C, target: CN(CCN(C)C)C
origin: C(CC[N+]1(CCCC1)C)C[N+]1(CCCC1)C, cl: C(C)(N(CC)CC)C, target: CN(C)CCN(C)C
origin: C(C)CC[N+](CCC)(CCC)CCC, cl: c1cccc(C[N+](C)(Cc2ccccc2)C)c1, target: C1CCCCCN1
