origin: C(c1ccccc1)N1CCCC1CO, cl: CC(NC(C)C)C, target: C(c1ccccc1)N1CCC[C@H]1CO
origin: C(C)N(CC)CC, cl: CC(N(C(C)C)CC)C, target: C(C)N(CC)CC
origin: C(N(CC)CC)C, cl: C(CN(CCC)CCC)C, target: C(N(CC)CC)C
origin: c1ccccc1CN1CCCC1, cl: C(CC)[N+](CCC)(CCC)CCC, target: c1ccccc1CC1CNCCN1Cc1ccccc1
origin: CCN(CCO)CC, cl: [N+]12(C)C(C3CC(C4C4CNCCC4)C11CCCC3)C2CCCC1, target: CCN(CCO)CC
origin: C(C)N(CC)CC, cl: [N+](CCO)(CCC)CCC, target: C(C)N(CC)CC
origin: C(C)N(CC)CC, cl: N(CCC)(CCC)CCC, target: C(C)N(CC)CC
origin: CCN(CC)CC, cl: C(CC)N(CCC)CCC, target: CCN(CC)CC
origin: C1NCCCCC1, cl: c1ccc([C@](C)CCCC((Occcccc2)c)cc))1, target: C1NCCCCC1
origin: C(CC)N(CCC)CCC, cl: C[N+]12CC3C4(CCCC4)CC(C1)CCCC2, target: C(CC)N(CCC)CCC
origin: N(CCO)(CCOCC)O, cl: C(CN(CCC)CCC)C, target: N(CCO)(CCO)CCN(CCO)CCO
origin: C(CC)N(CCC)CCC, cl: CCCN(CCC)CCC, target: C(CC)N(CCC)CCC
origin: C(N(CCC)CCC)C, cl: C[N+](Cc1cccFc(F)cc1)(C)Cc1ccccc1, target: C(N(CCC)CCC)CC
origin: c1cccc(F)c1CN1CCCC1, cl: C(N(CC)CC)C, target: c1cccc(F)c1C[N+](C)(Cc1c(F)cccc1)C
origin: N(CCC)(CCC)CCC, cl: C(N(CC)CC)C, target: N(CCC)(CCC)CCC
origin: N(CC)(CC)CC, cl: C(C)N(CC)CC, target: N(CC)(CC)CC
origin: C1NCCCCC1, cl: C(N(CC)CC)C, target: C1NCCCCC1
origin: C(C)N(CC)CC, cl: CC(NC(C)C)C, target: C(C)N(CC)CC
origin: c1ccccc1CNCC(C))1, cl: C(C)CCCNCCCCC, target: c1ccccc1CN1[C@H](CO)CCC1
origin: C1C2C3N(CC(C4)C1CCCC4)C[N+]1(C)CCCC32, cl: C1CN(Cc2ccccc2)C(CO)C1, target: C1C2C3N(CCCC3)CC(C2)C2CCCC[N+]12C
origin: C(NCC)C, cl: OCCN(CC)CC, target: C(NCC)C
origin: C(CCNCCCCC)C, cl: C(N(C)C)((1)C, target: C(CCNCCCCC)CC
origin: CC(O)CNCC(O)C, cl: C(C)[N+](CC)(CC)CC, target: CC(O)CNCC(O)C
origin: CCN(CC)CC, cl: n1(C)c(C)[n+](CC)cc1, target: CCN(CC)CC
origin: CN(C)C, cl: [C@@H](c1cccc11(()c(c)ccc1)C, target: CN(C)C
origin: CCN(CC)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: CCCN(CCC)CCC, cl: CCN(CC)CC, target: CCCN(CCC)CCC
origin: C(C)[N+](CC)(CC)CC, cl: C1C(N(C)C2CCCCC2)CCCC1, target: C(C)[N+](CC)(CC)CC
origin: C[N+]12CC3CC(C44CCCCC4CCCC3)C1NCCCC2, cl: C(N(CC)CC)C, target: C[N+]12CCCC[C@@H]1[C@H]1C[C@H]([C@H]3N(CCCC3)C1)C2
origin: [N+](C)(C)2C23CCCCC(CC))C(C31CCCC2)C, cl: C(CC)N(CCC)CCC, target: [N+](C)(C)(C12CC3CC(CC(C1)C3)C2)C
origin: CCN(CC)CC, cl: C(C)(O)N(CC)CC, target: CCN(CC)CC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C(N(CC)CC)C, target: C1CCCC(N(C)C2CCCCC2)C1
origin: CCN(CC)CC, cl: C(C)C[N+](CCC)(CCC)CCC, target: CCN(CC)CC
origin: CCN(CC)CC, cl: OC(C)N(CC)C, target: CCN(CC)CC
origin: c1c(C[N+](C)2CcCc(c)ccc))(Cc)cc2)c, cl: N(CC)(CC)CC, target: c1c(C[N+](C)(C)Cc2cc(F)ccc2)cc(F)cc1
origin: CCN(CCO)CC, cl: CN(C)C, target: CCN(CCO)CC
origin: c1(C[N+](())CCCC(()cCcccc2)()(c)ccc1, cl: C1CC(N(C2CCCCC2)C)CC11, target: c1(C[N+](Cc2ccccc2)(C)C)ccccc1
origin: C(N(CC)CC)C, cl: n1(C)c[n+](CCCc)c1, target: C(N(CC)CC)C
origin: c1(CN2CCCC2)ccccc1, cl: C(N(CC)CCCCCCCCCCC))C, target: c1(CN2CCC[C@H]2CO)cccc(F)c1
origin: CCCNCCC, cl: [N+]1(C)(C)C22C3CCCCC((1CCCC2)C3)C, target: CCCNCCC
origin: C(N(CC)CC)C, cl: CC[N+](CC)(CC)CC, target: C(N(CC)CC)C
origin: C12CC3CC(CN(C1CC1CC)C2NNC3CCC, cl: C([C@H]1N(CCC)(C)C)c, target: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2
origin: C(N(CCC)CCC)C, cl: C1CCCCC1N(C)C1CCCCC1, target: C(N(CCC)CCC)CC
origin: C(N(CC)CCCCCCCCC(C)C)C, cl: C([N+](C)CCCCCCCNCC)C, target: C(N(CC)CC)C
origin: C(C)N(CC)CC, cl: C(N(CC)C())C, target: C(C)N(CC)CC
origin: C(N1CCCC1)O1, cl: N(CC)(CC))C, target: C(N1CCCC1)c1ccccc1
origin: Fc1cc(CN2CCCC2)ccc1, cl: CN(Cc1ccccc1)C, target: Fc1cc(CN2CCCC2)ccc1
origin: c1c(CN2CCCC2)cccF1F, cl: N(CC)(CC)CC, target: c1c(CN2CCCC2)c(F)ccc1
origin: C(C)N(CC)CC, cl: O[C@@H]([(c]cccc1)c1ccccc1, target: C(C)N(CC)CC
origin: CCN(CC)CC, cl: C1C(N(C2CCCCC2)C)CCCC1, target: CCN(CC)CC
origin: C(N(CC)CCCCCCCCCC)CC, cl: C1CCCCNC1, target: C(N(CC)CC)C
origin: CC[N+](CC)(CC)CC, cl: [C@@H]([Cc]ccc1, target: CC[N+](CC)(CC)CC
origin: C([N+](CCC)(CCC)CCC)CC, cl: CCN(CC)CC, target: C([N+](CCC)(CCC)CCC)CC
origin: C(C)N(CC)CC, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: CCC[N+](CCC)(CCC)CCC, cl: C(O)[C@@HC+](C)11cCcccc1, target: CCC[N+](CCC)(CCC)CCC
origin: c1ccccc1CN1CCCC1, cl: C1CN2CCN1CC2, target: c1ccccc1CN1CCCC1
origin: C(CN(CCC)CCCCCCCCCC)), cl: CC[n+]1ccC(C)c(c)c1C, target: C(CN(CCC)CCC)C
origin: c1cc(F)ccCCCNNCCC, cl: N(CC)(CC)CC, target: c1cc(F)cc(CN2CCCC2)c1
origin: C(C)N(CC)CC, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: C(C)N(CC)CC, cl: C1C(N(C)C2CCCCC2)CCCC1, target: C(C)N(CC)CC
origin: c1c([C@H]c]2c(()]cccc2)c(n)c(C)c1, cl: CN(C)C(=N)N(C)C, target: c1c([C@H]([C@H](C)NC)O)cccc1
origin: c1cc(C[N+](C)(C)Cc2ccc(F)cc2)cc(1)ccF, cl: N12CCOCCOCCN(CCOCCOCC1)CCOCCOCC2, target: c1cc(C[N+](C)(C)Cc2ccccc2)ccc1
origin: C1CCCCNC1, cl: c1cc([C@@(C)C((O)C)2)cccc1))C, target: C1CCCCNC1
origin: C(CO)N(CCC)CCO, cl: C(C)N(CC)CC, target: C(CO)N(CCO)CCO
origin: C1C[C@@H]+](Cc2ccccc2)CC(1OCCOCC2CCcNcccc1, cl: C(N(CC)CCCCCCC(C)O)(C)O, target: C1C[C@@H](CO)N(Cc2c(F)cccc2)C1
origin: CCN(CC)CC, cl: C[N+](Cc1cccFcFFcc1)(C)C, target: CCN(CC)CC
origin: c1c([C@@Hc+]2c(()ccccc2)c(c)c(C)c2)cccn1, cl: C1CCCCC1N(C)C1CCCCC1, target: c1c([C@@H](O)[C@@H](NC)C)cccc1
origin: c1c(CN2CCCC2CO)cccc1, cl: CCN(CC)CC, target: c1c(CN2CCCC2)cccc1
origin: C[N+]12[C+]3CC(C4C(C1(C2CCCC4)C1)CCCC3CCCC1, cl: CCN(CC)CC, target: C[N+]12[C@@H]([C@H]3C[C@@H](C1)[C@H]1N(C3)CCCC1)CCCC2
origin: Fc1ccc(C[2+](Cc2ccFccF2ccccc2)CC)Cc, cl: N(C)(C)c1ccccc1, target: Fc1ccc(C[N+](C)(C)Cc2ccc(F)cc2)cc1
origin: CCN(CC)CC, cl: CCC[N+](CCC)(CCC)CCC, target: CCN(CC)CC
origin: C(CC)N(CCC)CCC, cl: [C@H](O)(((C(()(())(c)ccccc1)())c1ccccc, target: C(CC)N(CCC)CCC
origin: Cc1n(C)cc[n+]1CC, cl: C1CCCCC1N(C)C1CCCCC1, target: Cc1n(C)cc[n+]1CC
origin: c1(C[N+](C)(C)2cccccF)cc)c(c(cccc2)cccc2)c, cl: c1c([C@@Hc+]2c(()ccccc2)c(C)n(C)cc1)C, target: c1(C[N+](C)(Cc2ccccc2)C)ccccc1
origin: CCC[N+](CCC)(CCC)CCC, cl: C1[N+]2(C)C(C3C4(C4C4C(C2CC)C=N3CCCC4)C21CCCC1, target: CCC[N+](CCC)(CCC)CCC
origin: n1(C)c(C)[n+](CC)cc1, cl: CCN(CC)CC, target: n1(C)c(C)[n+](CC)cc1
origin: N(CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: N(CC)(CC)CC
origin: C1C(N(C)C2CCCCC2)CCCC1, cl: C(N(CCC)CCC)C, target: C1C(N(C)C2CCCCC2)CCCC1
origin: CCN(CC)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: N1(Cc2cc(c)c(C)C2)CCCC11, cl: CCN(CC)CC, target: N1(Cc2cc(F)ccc2)CCCC1
origin: C(N(CC)CC)C, cl: C[N+](C1CCCCCC))1CCCCC1, target: C(N(CC)CC)C
origin: OC[C@H]1N(CCC)(C)C, cl: C1CCC[C@H2+]2c1cccc1, target: OC[C@H]1N(Cc2cccc(F)c2)CCC1
origin: C(N(CC)CC)C, cl: N(CC)(CC)CC, target: C(N(CC)CC)C
origin: CCC[N+](CCC)(CCC)CCC, cl: c1ccccc1CN1CCCC1, target: CCC[N+](CCC)(CCC)CCC
origin: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2, cl: C(N(CC)CC)C, target: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2
origin: CN(C1CCCCC1)C1CCCCC1, cl: CCN(CC)CCC, target: CN(C1CCCCC1)C1CCCCC1
origin: C(C)N(CC)CC, cl: C(CC)N(CCC)CCC, target: C(C)N(CC)CC
origin: CCCN(CCC)CCC, cl: [C@@H]([Cc]ccc1)c1, target: CCCN(CCC)CCC
origin: C1(N(C2CCCCC2)C)CCCCC1, cl: N(CC)CC, target: C1(N(C2CCCCC2)C)CCCCC1
origin: C1CCCN1Cc1ccccc1, cl: N(C)[C@@HC+](C)1, target: C1CCCN1Cc1ccccc1
origin: n1(C)cc[n+](CC2CcCc(c)c2C)c1, cl: CCN(CC)CC, target: n1(C)cc[n+](CCCC)c1C
origin: c1cccc(CN2C(CO)CCC2)c1, cl: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2, target: c1cccc(CN2[C@H](CO)CCC2)c1
origin: C(C)N(CC)CC, cl: N(CC)(CC)CC, target: C(C)N(CC)CC
origin: C(C)N(CC)CC, cl: C(CCN(CCC)CCC)C, target: C(C)N(CC)CC
origin: CCCN(CCC)CCC, cl: C1C(N(C)C2CCCCC2)CCCC1, target: CCCN(CCC)CCC
origin: N(C)(c1ccncc1)C, cl: c1ccccc1CN1CCCC1, target: N(C)(c1ccncc1)C
origin: C1NCCCCC1, cl: Cc1[n+](C)c(C)n(C)c1C, target: C1NCCCCC1
origin: C1C(N)CCCC1, cl: C1CCCC(N(C2CCCCC2)C)C1, target: C1C(N)CCCC1
origin: C1[C@H]2C2C(CCCC2)C2CC1C1C2CCCC2, cl: c1(C[N+](C)2CcCc(F)cccc))(C())cccc, target: C1[C@H]2C[N+]3(C)CCCC[C@@H]3[C@@H]1CN1CCCC[C@@H]21
origin: C(N(CC)CC)C, cl: C1CCCC(N(C)C2CCCCC2)CC, target: C(N(CC)CC)C
origin: C1OCCN2CCOCCOCCN(CCOC1)CCOCCOCC2, cl: C(C)N(CC)CC, target: C1OCCN2CCOCCOCCN(CCOC1)CCOCCOCC2
origin: C([C@@H]1](C)ncccc1)C, cl: C(c1ccccc1)[1+](C)1CCCC1CC, target: C([C@@H]1CCCN1Cc1ccccc1)O
origin: C(C)[N+](CC)(CC)CC, cl: C1CCCCNC1, target: C(C)[N+](CC)(CC)CC
origin: C(C)N(CC)CC, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: C12CC3CC(CN(C1CC1CC)C2)CC[[+]]1, cl: C(CC)N(CCC)CCC, target: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2
origin: c1(CN2CCCC2Cc)cccc1, cl: C1[C@H]2C2(CCCC3)CCCC1CC2CC, target: c1(CN2CCCC2)ccccc1
origin: Fc1c(CN2CCCC2)cccc1, cl: CCN(CC)CC, target: Fc1c(CN2CCCC2)cccc1
origin: C1C(N(C2CCCCC2)C)CCCC1, cl: c1cccc(C[2+](Cc2ccc(c)c2C)ccc1, target: C1C(N(C2CCCCC2)C)CCCC1
origin: C(N(CCC)CCC)C, cl: C(CN(CCC)CCC)C, target: C(N(CCC)CCC)CC
origin: c1cc(CN2[()](C)C)CcCc11, cl: C(C[N+](C)(C)C)CCCCCNNCC, target: c1cc(CN2[C@H](CO)CCC2)ccc1
origin: C(CO)N(CCCCCCCCCCCCCCCC))C, cl: C(C)[N+](CC)(CC)CC, target: C(CO)N(CCN(CCO)CCO)CCO
origin: CCN(CC)CC, cl: C(O)[C@H]c](c1cccc11CCCC1, target: CCN(CC)CC
origin: CC(C)N(C())), cl: C(C)N(CC)CC, target: CC(C)N(C(C)C)CC
origin: CCCN(CCC)CCC, cl: C1C2CC3CC1CC(C3)CNNNCCC, target: CCCN(CCC)CCC
origin: c1(C)n(C)c(C)[n+](C)c1C, cl: N(CCC)(CCC)CCC, target: c1(C)n(C)cc[n+]1CC
origin: CCN(CC)CC, cl: C1CCCCNC1, target: CCN(CC)CC
origin: CCN(CC)CC, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: CN(C)C, cl: O[C@H](c1ccccc1)(C)11, target: CN(C)C
origin: CC(C)N(CCCCCCCCCCCCCCCCCCC))C, cl: C1[N+]2(C)C(C3C4(CCCC4)CCCC4)CCCC2, target: CC(C)N(CC)C(C)C
origin: [C@H]12[C+]2ccccc1)CC(()(C)C)(c2ccccc2)CC1, cl: CN(C)C, target: [C@H]12[C@H]3N(C[C@H](C1)[C@@H]1[N+](C)(C2)CCCC1)CCCC3
origin: C1[N+]2(C)C(CCCC2)C2CC1C12(CCCC2)CCCN, cl: N(C)[C@@HC+](CC1)CC, target: C1[N+]2(C)[C@H](CCCC2)[C@H]2C[C@@H]1[C@H]1N(C2)CCCC1
origin: CCN(CC)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: CCN(CC)CC, cl: C1[C@H]2[2c]cccc2)(C3CC(C11CCCC2)C3, target: CCN(CC)CC
origin: N(Cc1ccccc1)(C)C, cl: c1n(C)cc[n+]1CCCC, target: N(Cc1ccccc1)(C)C
origin: CCN(CC)CC, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: c1(C[N+](C)2CcCc(F)ccc2)(C)Ccccc1, cl: C(CCN(CCC)CCC)C, target: c1(C[N+](Cc2ccccc2)(C)C)ccccc1
origin: CN(C)C(=N)N(C)C, cl: CCC[N+](CCC)(CCC)CCC, target: CN(C)C(=N)N(C)C
origin: c1c(CN2CCCC2Cc)ccc1, cl: C1(N(C2CCCCC2)C)CCCCC1, target: c1c(CN2CCCC2)cccc1
origin: CCN(CC)CC, cl: CCCN(CCC)CCC, target: CCN(CC)CC
origin: C(C)N(CC)CC, cl: c1(F)cccc(C[2+](C)CCcCc(c)cc1)C, target: C(C)N(CC)CC
origin: c1c(CN2[C)](()3CCCNOC2)Ccccc1, cl: C([N+](CC())C)CCCCCCCCCCNCC, target: c1c(CN2[C@H](CO)CCC2)cccc1
origin: C(C)[N+](CC)(CC)CC, cl: CCN(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: N(C)(C1CCCCC1)C1CCCCC1, cl: C(C)C[N+](CCC)(CCC)CCC, target: N(C)(C1CCCCC1)C1CCCCC1
origin: c1cc(CN2[()](C)C)CCCcOccc, cl: C1C[C@@H]+]2C(C)CC(()(C)C2)C1, target: c1cc(CN2[C@H](CO)CCC2)cc(F)c1
origin: CCCCN(CCC)CCC, cl: C(C)C[N+](CCC)(CCC)CCC, target: CCCCN(CCCC)CCCC
origin: CCCN(CCC)CCC, cl: C1C2CC3C[(+]1CCCCC)CC(C3)C2CC1, target: CCCN(CCC)CCC
origin: CCN(CC)CC, cl: N1(Cc2c(F)cccc2)CCCC1, target: CCN(CC)CC
origin: C1CCCCC1N(C)C, cl: C1(N(C2CCCCC2)C)CCCC11, target: C1CCCCC1N
origin: C(C)N(CC)CC, cl: CN(C1CCCCC1)C1CCCCC1, target: C(C)N(CC)CC
origin: C(N(CC)CC)C, cl: C1N2[C@H]+](CC)CCCC2(C))CC1CCCC11, target: C(N(CC)CC)C
origin: C(N(CC)CCCCCCCCCCCCC)), cl: C(N(CC)CCCCCCCCCCC))C, target: C(N(CC)CC)C
origin: CC[N+]1(CCCC2[C+]2CCCCCC)2CCCCC1)CCC, cl: C(N(CC)CC)C, target: CC[N+]1(C)C2CC3CC(CC(C1)C3)C2
origin: C(C)N(CC)CC, cl: CC(C)N(C())), target: C(C)N(CC)CC
origin: Fc1ccccc1C[1+](Cc1ccF(()ccc1ccc(1)c)c(c)c1, cl: C(N(CC)CC)C, target: Fc1ccccc1C[N+](C)(C)Cc1ccccc1F
origin: CCCN(CCC)CCC, cl: C(C)(NC(C)C)C, target: CCCN(CCC)CCC
origin: C(C)C[N+](CCC)(CCC)CCC, cl: C1CCC(N(C)C2CCCCC2)CC1, target: C(C)C[N+](CCC)(CCC)CCC
origin: CC[N+](CC)(CC)CC, cl: [N+](CC)(CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: c1ccc([C@](C)2CCCC()Occc1)O, cl: CCN(CC)CC, target: c1ccc([C@H](O)[C@@H](N(Cc2ccccc2)C)C)cc1
origin: N(CC)(CC)CC, cl: C(CN(CCC)CCC)C, target: N(CC)(CC)CC
origin: c1ccc(C[N+](C)2CCCCCCO)ccc1, cl: C(N(CC)CC)C, target: c1ccc(C[N+](C)(Cc2ccccc2)C)cc1
origin: C(CCNCCCCC)C, cl: CCCNCCC, target: C(CCNCCCC)C
origin: C1CN2CCN1CC2, cl: [C@@H]12[C2](C2CCCCC3)Cc(c1ccc(c)cC))CCCCCCCCCC, target: C1CN2CCN1CC2
origin: N(CC)(CC)CC, cl: C1CCN(Cc2c(c)ccc2)C1, target: N(CC)(CC)CC
origin: C(N(CCO)CCC)C, cl: C(C)CN(CCC)CCC, target: C(N(CCO)CC)C
origin: Fc1cccc(CNNCCCC2)c1, cl: c1cccc(CN2CCCC2)O1, target: Fc1cccc(C[N+](C)(Cc2cccc(F)c2)C)c1
origin: O1CCOCCN2CCOCCOCCN(CCOCCOCC2)CC1, cl: C1C2CC3[N+](C))CC(C2)C1(C)C, target: O1CCOCCN2CCOCCOCCN(CC1)CCOCCOCC2
origin: [N+](C12CC3CC(C1)CC(C2)C3)(C)(C)C, cl: C[N+](CCO)(C)CCO, target: [N+](C12CC3CC(CC(C3)C1)C2)(C)(C)C
origin: N1(Cc2ccccc2)CCCC1, cl: CCCN(CCC)CCC, target: N1(Cc2ccccc2)[C@H](CO)CCC1
origin: C1CC(N(C2CCCCC2)C)CC11, cl: C(CNCCCC))C, target: C1CC(N(C2CCCCC2)C)CCC1
origin: C([N+](CC(()C))CC)C, cl: C(C)N(CC)CC, target: C([N+](CC)(CC)CC)C
origin: CC(NC(C)C)C, cl: C12CC3[N+](CC(())C(CC(C1)C2)CCCC3, target: CC(NC(C)C)C
origin: N(CC)(CC)CC, cl: C1CN2CCOCCOCCN(CCOCCOCC1)CCOCCOCC2, target: N(CC)(CC)CC
origin: N(CC)(CC)CC, cl: c1cc(C)c(C)2(CCCN)CCCN, target: N(CC)(CC)CC
origin: C(C[N+](C)(C)C)CCCC[N+](C)(C)C, cl: [C@@H]1(CcNc(cccc1)C)c1ccccc1, target: C(C[N+](CCC)(CCC)CCC)C
origin: N(C)(C)C, cl: C(N(CC)CCCCCCCCCCCC))C, target: N(C)(C)C
origin: C(CC)[N+](CCC)(CCC)CCC, cl: CCN(CC)CC, target: C(CC)[N+](CCC)(CCC)CCC
origin: CCN(CC)CC, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: c1ccccc1[(+](())CCCC((C)C)ccc1, cl: c1([C@H](]]n(C)ccC)c1)(C)c(c)cc1, target: c1ccccc1[C@H]([C@@H](NC)C)O
origin: C1C2CC3CCN[C+]4(C(CC)CCCC3)C2CC1, cl: C(C)N(CC)CC, target: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3
origin: CN(C)C, cl: C(CCC)[n+]1ccn(C)c1, target: CN(C)C
origin: C1[C@H]2C2C((3)CC4C(C(C2)C3)CCCC))C1CCCC22, cl: [C@@H](C)n(c)cc1, target: C1[C@H]2CN3CCCC[C@H]3[C@@H]1C[N+]1(C)[C@@H]2CCCC1
origin: c1cc([C@@(C)NcCc2ccccc))))ccc, cl: C(CC)[N+](CCC)(CCC)CCC, target: c1cc([C@@H](O)[C@@H]([N+](C)(C)C)C)ccc1
origin: C(N(CC)CC)C, cl: n1(C)cc[n+](CC)c1C, target: C(N(CC)CC)C
origin: CC(N(C(C)C)CC)C, cl: C(CO)N(CCO)CC, target: CC(N(C(C)C)CC)C
origin: CN(C(N(C)C)=N)C, cl: c1cc(C[n+]2c(n)c(C)c2Ccccc2)c11, target: CN(C(N(C)C)=N)C
origin: N(CC)(C(C)C)C, cl: CCN(CC)CC, target: N(CC)(C(C)C)C(C)C
origin: C1CCC[C@H2+]2ccccc1, cl: C1COCCOCCN(C)CC, target: C1CCC[C@H]2[C@@H]3C[N+]4(C)[C@@H]([C@H](CN12)C3)CCCC4
origin: C(O)[C@@HC+](C)11cCcccc1, cl: CN(C)C, target: C(O)[C@@H]1CCCN1Cc1ccccc1
origin: C1CCN(Cc2ccccc2)C1CO, cl: C(CN(CCC)CCC)C, target: C1CCN(Cc2ccc(F)cc2)C1
origin: CCN(CC)CC, cl: C12([N+](C)(C)C)CC3CC(C1(C1)CC(C3)C2, target: CCN(CC)CC
origin: C1([N+](C)(C)C)C2CC3CC1CC(C2)C3, cl: C(N(CC)CC)C, target: C1([N+](C)(C)C)C2CC3CC(CC1C3)C2
origin: C1C(N(C)C2CCCCC2)CCCC1, cl: C(C)N(CC)CC, target: C1C(N(C)C2CCCCC2)CCCC1
origin: N(c1ccncc1)(C)C, cl: CCN(CC)CC, target: N(c1ccncc1)(C)C
origin: c1ccc(C[N+](C)(C)2ccccc2F)ccc1, cl: C(N(CCCC)CCC)C, target: c1ccc(C[N+](C)(Cc2ccccc2)C)cc1
origin: CN(C)C(=N)N(C)C, cl: CCN(CC)CC, target: CN(C)C(=N)N(C)C
origin: [C@@H]12[C+]2cCccc2)CCC((((C)C))Cc(cccc1)C2)C1, cl: c1c(CN2CCCC2Cc)ccF1c1, target: [C@@H]12[C@H]3N(CCCC3)C[C@@H]([C@H]3CCCC[N+]3(C)C1)C2
origin: C1CCCC(N(C)C2CCCCC2)C1, cl: C(CC)C[N+]1(C)CCCC1, target: C1CCCC(N(C)C2CCCCC2)C1
origin: N(CC)(CC)CC, cl: C1OCCOCCN2CCOCCOCCN(CCOCCOCC2)C1, target: N(CC)(CC)CC
origin: N1(Cc2ccccc2)CCCC1CO, cl: N(CC)(CC)CC, target: N1(Cc2ccccc2)[C@H](CO)CCC1
origin: [N+](C)(C)OCC(())C, cl: N(CC)(CC)CC, target: [N+](C)(CCO)(CCO)CCO
origin: CCN(CC)CC, cl: C1CN(CCN)CCC, target: CCN(CC)CC
origin: C(NCC(C)C)CC, cl: C1CCCN2C[C+]4CC(NCC1))2CCCC3, target: C(NCC(C)C)C(C)C
origin: C(C)N(CC)CC, cl: C1CCC(N(C)C2CCCCC2)CC1, target: C(C)N(CC)CCO
origin: [C@@H]([Cc]ccc1)c1-(1)c, cl: C(C)N(CC)CC, target: [C@@H]([C@@H](NC)C)(c1ccccc1)O
origin: C1CCCNCC1, cl: c1c(N(C)C)cccc1, target: C1CCCNCC1
origin: c1ccc(C[n+]2c(C)n(C)cc2)cc1, cl: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2, target: c1ccc(C[n+]2c(C)n(C)cc2)cc1
origin: C(C)[N+](CC)(CC)CC, cl: CCN(CCO)CC, target: C(C)[N+](CC)(CC)CC
origin: C(O)CN(CCO)C, cl: C(C)[N+](CC)(CC)CC, target: C(O)CN(CCO)CCO
origin: CCN(CC)CC, cl: N1(Cc2cccc(2)C(CO)CCC1)c1ccccc1, target: CCN(CC)CC
origin: C1CC(N(C2CCCCC2)C)CCC1, cl: C1OCCN2CCOCCOCCN(CCOCC1CCC)CCC, target: C1CC(N(C2CCCCC2)C)CCC1
origin: C1OCCN2CCOCCOCCN(CCOCC1CCCCCC22CCNCC2, cl: O1CCN2CCOCCOCCN(CCOCC)CCC)CC1, target: C1OCCN2CCOCCOCCN(CCOC1)CCOCCOCC2
origin: CCN(CC)CC, cl: C1CCCCNC1, target: CCN(CC)CC
origin: N(C(N(C)C)=(N)C)CCC(C)CC, cl: Cc1n(C)c(C)[n+](C)c1C, target: N(C(N(C)C)=N)(C)C
origin: N(C)(C)C, cl: C1[C@@H](](cccccc2)(())ccc1, target: N(C)(C)C
origin: CN(c1ccncc1)C, cl: C(C)CN(CCC)CCC, target: CN(c1ccncc1)C
origin: C(O)CN(C)O(C)OCO, cl: C[N+]12[C+]3CC((C)(C1CCCC22CCCC3)CCCC33CCCC11CCCC3, target: C(O)CN(C)CCO
origin: CCN(CC)CC, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: CCN(CC)CC, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: C(N(CCC)CCCCCC)CC, cl: C(C)N(CC)CC, target: C(N(CCC)CCC)CC
origin: C12([N+](C)(C)C)CC3CC(CC(C1)C3)C2, cl: [n+]1(CCCc)cnCC, target: C12([N+](C)(C)C)CC3CC(CC(C3)C1)C2
origin: c1ccccc1CN1CCCC1, cl: N(CC)(CC)CC, target: c1ccccc1CN1CCC[C@H]1CO
origin: C(N(CC)CC)C, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C(CO)N(CC)CC, cl: n1(C)c(C)[n+](C)c(C)c1C, target: C(CO)N(CC)CC
origin: c1c(F)c(CN2CCCC2)ccc1, cl: Cc1[n+](CCCc)cn1C, target: c1c(F)c(CN2CCCC2)ccc1
origin: c1ccc(CN2CCCC2CO)cc1, cl: N(CC)(CC)CC, target: c1ccc(CN2CCC[C@H]2CO)cc1
origin: C(O)C[N+](C)(CCO)CCO, cl: C(C)N(CC)CC, target: C(O)C[N+](CCO)(CCO)C
origin: C(N(CC)CC)C, cl: C(C)N(CC)CC, target: C(N(CC)CC)CO
origin: c1(C)c(C)nnCcC, cl: Fc1ccc(CN2CCCC2)cc1, target: c1(C)c(C)[n+](C)c(C)n1C
origin: C1C(N(C)C2CCCCC2)CCCC1, cl: [N+]1(CC)CCC(()(C)C)CC1Cc(c+c(cccc2)C2cCccccF, target: C1C(N(C)C2CCCCC2)CCCC1
