origin: c1c[n+](CCCCCC[n+]2cccccc1, cl: Cn1cc[n+](CC)c1, target: c1c[n+](CCCC)cn1C
origin: CCCN(CCC)CC, cl: C([N+](CC)(CC)CC)C, target: CCCN(CCC)CCC
origin: c1nccc(N(CCCCCCCCCCCC)ccc2)cc1)CC, cl: C([n+]1ccn(c1)C)CCC, target: c1nccc(N(C)C)c1
origin: N(CC)(CC)CC[N+]1(C)CCC(C)CCCC1, cl: c1cc(CN2CCCC2)ccc1, target: N(CC)(CC)CC
origin: c1cccc(CN(C)C)(CCCCCC2)cc1, cl: C(C)N(CC)CC, target: c1cccc(CN2[C@H](CO)CCC2)c1
origin: CCN(CC)CCCCCCC[n+]1c(C)c(C)n(C)cc1, cl: c1cc(F)cc(c1)CN1CCCC1, target: CCN(CC)CC
origin: C1N(CCN)CCCCC2, cl: C(C)N(CC)CC, target: C1N(CCN)CCNC1
origin: C([n+]1ccccc1)CC, cl: C(O)CN(CCO)C, target: C([n+]1ccn(C)c1C)C
origin: C(N(CC)CCCCCC2)cc1, cl: C1CC(N(C2CCCCC2)C)CCCC1, target: C(N(CC)CC)C
origin: [N+]12(C)CCC(C)(C)C1, cl: OCCN(CC)CC, target: [N+]12(C)[C@@H]([C@H]3C[C@@H](C1)[C@H]1N(CCCC1)C3)CCCC2
origin: C(C)CN(CCCCC2)CCC, cl: C[n+]1c(C)n(C)c(C)c1C, target: C(C)CN(CCC)CCC
origin: Cn1cc[n+](C)cc1, cl: c1(CN2CCCC2)ccccc1, target: Cn1cc[n+](CCCC)c1
origin: C1[C@@H](C)(CCCCCC[N+](C)(C)C)CCCC1, cl: c1(CN2CCCC2CO)cccc1, target: C1[C@@H](CO)N(Cc2ccccc2)CC1
origin: N(C1CCCCC1)CCCC1CCCCCC1, cl: C[C@H](NC)C(C)C, target: N(C1CCCCC1)(C1CCCCC1)C
origin: C1CCCNCC1CC[N+]1(C)CCCCC1, cl: C(N(CC)CC)C, target: C1CCCNCC1
origin: [C@@H]12C(CCC[N+](C)(C)CCCCC1)C2, cl: CCN(CC)CC, target: [C@@H]12CN3CCCC[C@H]3[C@@H](C1)C[N+]1(C)CCCC[C@H]21
origin: C1[N+]2(CCCCCCC[N+](C)(C)C)(C)CCC1, cl: CC[N+](CC)(CC)CC, target: C1[N+]2(C)CC3CC(CN4CCCCC43)C2CCC1
origin: C1C2CC3CC([N+](C)(C)CCCC1)C, cl: C1(N)CCCCC1, target: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2
origin: CCCN(CCC)CC1, cl: CCN(CC)CC, target: CCCN(CCC)CCC
origin: C1CCCN1Cc1ccccc(C)[N+](C)(C)C, cl: C1NCCN(CCN(CCCN(C)CC1)C)C, target: C1CCCN1Cc1ccccc1
origin: CCN(CC)CCCCC[N+](C)(C)CCCC1, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: C(N(CC)CCCCCCCCCC)cc2, cl: C(N(CC)CC)C, target: C(N(CC)CC)C
origin: C1N(Cc2ccccc2)CCCCC[N+](C)(C)CCCC1, cl: C(N(CC)CC)C, target: C1N(Cc2ccccc2)CCC1
origin: [n+]1(C)ccccc1, cl: C1C2CC3CC1(CC(C3)C2)[N+](C)(C)C, target: [n+]1(C)c(C)n(CC(CO)O)cc1
origin: C(C)[N+](C)(CC)CCCCC1, cl: CCN(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C(C)N(CC)CCCC(C)[N+]12CCCCCC1, cl: c1cc(CN2[n+](Cc2ccccc2)(C)C)ccc1, target: C(C)N(CC)CC
origin: C([N+](CC)(C)C)CCCCC1, cl: C(CCC)[n+]1ccn(C)c1, target: C([N+](CC)(CC)CC)C
origin: C(C)N(CC)CCCCC[N+]1(C)CCCCCC1, cl: C(N(CC)CC)C, target: C(C)N(CC)CC
origin: CCN(CC)CCCC, cl: C(C)N(CC)CCO, target: CCN(CC)CC
origin: CCN(CC)CCCCC1, cl: C[N+]1(C)CC2C(C1)CCCCCC2, target: CCN(CC)CC
origin: N1CCCCCC1CCC[N+]1(C)CC2, cl: c1cc(N(C)C)ccn1, target: N1CCCCCC1
origin: C(N(CCC)CC2)CCCC1, cl: C1C2CC3C[N+](C)(C)C(CC1)C2(C)C, target: C(N(CCC)CCC)CC
origin: C1(N)CCCCCCC2CC1, cl: O1CCOCCN2CCOCCOCCN(CCO1)CCOCCOCC2, target: C1(N)CCCCC1
origin: C([N+](CC)(C)C)CCCC1, cl: c1cc(CN2[NH3+]CCC(C)CC3)cc1, target: C([N+](CC)(CC)CC)C
origin: CCN(CC)CCCCCCC1, cl: C1N(Cc2ccccc2)CCC1, target: CCN(CC)CC
origin: c1ccccc1C[N+](C)(C)CC1, cl: C(CN(C)CCO)O, target: c1ccccc1CN1CCCCC1
origin: C1COCCOCC(C)CCC2, cl: c1ccc(CN2C(CO)CCC2)ccc1, target: C1COCCOCCN2CCOCCOCCN1CCOCCOCC2
origin: c1nccc(N(CCCCCC)C)n(C)cc1, cl: c1cc(C[N@](C)cc1)CCC, target: c1nccc(N(C)C)c1
origin: N(CC)(CC)[n+](C)cc1, cl: CN(C1CCCCC1)C1CCCCC1, target: N(CC)(CC)CC
origin: C(CC)[N+]1(C)CCCCCC1, cl: CCN(CC)CC, target: C(CC)[N+](CCC)(CCC)CCC
origin: C(CC)N(CCCC2)c1, cl: CCN(CC)CC, target: C(CC)N(CCC)CCC
origin: C(N(CCO)CC)C, cl: c1cc(F)cc(c1)CN1CCCC1, target: C(N(CCO)C)CO
origin: CC[N+](CCCCCCC[n+]1ccccc2)CC1, cl: CCN(CC)CC, target: CC[N+](CC)(CC)CC
origin: N(CC)(CC)CC1, cl: C(N(CC)CC)C, target: N(CC)(CC)CC
origin: [N+]12(C)CCCC[N+](C)(C)CCC(C)CC1, cl: c1[n+](Cc2ccccc2)c(C)n(C)c1, target: [N+]12(C)[C@@H]([C@@H]3CN4[C@H]([C@@H](C3)C1)CCCC4)CCCC2
origin: C(C)N(CC)CCCCCC[N+]1(C)CCCCCC1, cl: C(C)N(CC)CCO, target: C(C)N(CC)CC
origin: C(C[n+]1c(C)c(C)n(C)ccc3)ccn(C)c1, cl: CC[N+](CC)(CC)CC, target: C(C[n+]1c(C)n(C)cc1)CC
origin: C([N+]1(C)CCCC2CCCCCCCCCCCCCCCCC[N+]1(C)CCCCCCCCCCCCCCCCCC[n+]1c(C)c(C)[n+]2c(C)ccn(C)c1C, cl: C1C(N(C)C2CCCCC2)CCC1, target: C([N+]1(C)CC2CC3CC(C2)CC1C3)C
origin: C(C)N(CC)CCCCCCC[n+]1ccccc1, cl: N(CC)(CC)CC, target: C(C)N(CC)CC
origin: c1c(CN2CCCCCCCCCC[n+](C)cc1)c1, cl: CCN(CC)CC, target: c1c(CN2CCCC2)cccc1
origin: c1c(CN2CCCCC2)cccc1, cl: N12C[C@H]N(CC3CC1CN1C3CCCCN3CC2C1)C, target: c1c(CN2CCC[C@H]2CO)cccc1
origin: N(CC)(CC)CCCC1, cl: c1n(C)c[n+](c1)CCCC, target: N(CC)(CC)CC
origin: N(c1ccncccc2)C1, cl: [n+]1(CC)ccn(C)c1, target: N(c1ccncc1)(C)C
origin: [N+](C)(CCCC[N+](C)(C)C)CC1, cl: C([N+](CCC)(CCC)CCC)C, target: [N+](C)(C)(C12CC3CC(CC(C1)C3)C2)C
origin: C(C)CN(CCCC[N+]2(C)CCCC1)CCCC1, cl: CN[C@@H](C)C(C)(C)C, target: C(C)CN(CCC)CCC
origin: C[N+](C12CCCCC(C)CC2CC3CC(CC3)C1)C, cl: C(C[N+]1(C)CCCC1)CCCC[N+]1(C)CCCC1, target: C[N+](C12CC3CC(C1)CC(C3)C2)(C)C
origin: C1OCCN2CC2CC(C)(C)C2, cl: c1nccc(N(C)C)c2ccccc1, target: C1OCCN2CCOCCOCCN(CCOCCOCC2)CCOC1
origin: C1[C@@H](C)(CCC2)(C)CCCCC[N+](C)(C)CCCCC1, cl: C(N(CC)CC)C, target: C1[C@@H](CO)N(Cc2ccccc2)CC1
origin: CC(NC(C)CC2)cccc1, cl: CCCN(CCC)CCC, target: CC(NC(C)C)C
origin: C(C)N(CC)CCCCCC[N+](C)(CCCC3)CC1, cl: CN[C@@H](C)C(C)(C)C, target: C(C)N(CC)CC
origin: c1cccc([C+]2(C)CCCCCCCC[N+]1(C)CCCCC1, cl: c1c(CN2[CN]C(CCC2)CCCC1)(C)c1ccccc1, target: c1cccc([C@@H]([C@@H](NC)C)O)c1
origin: c1cccc(F)c1, cl: CC(NC(C)C)C, target: c1cccc(F)c1CN1CCCC1
origin: C(C)(C)NCCC1, cl: N(CC)(CC)CC, target: C(C)(C)NC(C)C
origin: CCN(CC)CCCCCCC(C)[n+]1cccc1, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: N(C)[C@@HC2(CCCC2CCCC1)CCCCCC1, cl: CCN(CC)CC, target: N(C)[C@@H](C)[C@@H](c1ccccc1)O
origin: C(N(CC)CCCC2)CCCCC, cl: CC(C)CNCCCCC, target: C(N(CC)CC)C
origin: CCC[N+](C)(C)CCCC1, cl: N(CC)(CC)CC, target: CCC[N+](CCC)(CCC)CCC
origin: N(CC)(CCO)CC2, cl: C(CN(CCC)CCC)CC, target: N(CC)(CCO)CC
origin: CN(CCO)CCCCCC1, cl: C(C)C[N+](CCC)(CCC)CCC, target: CN(CCO)CCO
origin: CC[N+]1(CC)(CC)CCCC1, cl: CCNCC, target: CC[N+]1(CC)C(C)CCCC1C
origin: O[C@@H]([N+](C)(C)C)(C)CCCCCC3, cl: C1CC(N)CCCC1, target: O[C@@H]([C@H](C)NC)c1ccccc1
origin: CN(C)C, cl: C1CCCCNC1, target: CN(C)C
origin: C(CC)N(CCCCCCCCCCCCCCC[n+]1ccccc1, cl: C1CCCC(N(C)C2CCCCC2)C1, target: C(CC)N(CCC)CCC
origin: c1ccc([C@]2(C)CCCCC2)CC1, cl: C1CCCCNC1, target: c1ccc([C@@H]([C@H](C)N(C)Cc2ccccc2)O)cc1
origin: C1CCC[C@@(C)(C2)CCCC1CCCC2, cl: C1(N(C2CCCCC2)CCCC1)C, target: C1CCC[C@@H]2[C@H]3C[C@H]([C@@H]4CCCCN4C3)C[N+]12C
origin: C1CCC(N(C)CCCC2)CCC1, cl: c1([C@H](cccc2)cccc2)C)ccc1, target: C1CCC(N(C2CCCCC2)C)CC1
origin: CC[N+](CC)(CC)(CC)CCCC1, cl: C(C)N(CC)CCO, target: CC[N+](CC)(CC)CC
origin: N1(Cc2ccccc1)CC(C)CCC1, cl: C1C[N+]2(C)C(CC1)CC1C3[N+](CCCC3)(CC1C2)C, target: N1(Cc2ccccc2)CCCCCC1
origin: C(C)N(CC)CCCCC1, cl: C1CCCC(N)C1, target: C(C)N(CC)CC
origin: CCN(CC)CCC2, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: C1C2CC3C(CCCCCC1CCCCCC[N+]2(CCCCCCCCCCCCCCCCCCCCCCCC3)c1)CCCCCCCCCCCCCCCCCC1, cl: N(CC)(CC)CC, target: C1C2CC3C([N+](C)(C)C)C(C2)CC1C3
origin: C1CN2CCN1CCCCCC[N+](C)(C)CCCC1, cl: c1ccc(CN2C(CO)CCC2)cc1, target: C1CN2CCN1CC2
origin: C([N+](CC)(C)C)CC(C)CCN(C)C, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: [N+](CCC)(C)CCCCCC[N+]1(C)CCCC1, cl: OCCN(CC)CC, target: [N+](CCC)(CCC)(CCC)CCC
origin: C(C)(CNCCCCCCCCCC[N+](C)(C)C)cc1, cl: C(N(CC)CC)C, target: C(C)(CNCC(C)C)C
origin: C(C)N(CC)CCCCCCC1, cl: c1cccc([CH3+]ccc1)CCC, target: C(C)N(CC)CC
origin: C(CN(CCC)CCCCC)cc1)C, cl: C(C)N(CC)CCO, target: C(CN(CCC)CCC)C
origin: CCN(CC)CCCCCC1, cl: C1C[N+]2(C)CC3CC(C2CCC1)CN1CCCCC12, target: CCN(CC)CC
origin: C1N2[C@H](C)(C)CCCC12CCC[N+](CC)(C)C, cl: n1(C)c(C)[n+](CCCC)cc1, target: C1N2[C@H]([C@H]3C[C@@H]1[C@@H]1[N+](C)(C3)CCCC1)CCCC2
origin: C(CC)[N+](C)(CCCCC3)CCCC1, cl: CCN(CC)CC, target: C(CC)[N+](CCC)(CCC)CCC
origin: C(N(CCO)CCCC2)cccc1, cl: CN(C)C, target: C(N(CCO)CCO)CO
origin: C1[C@H]2CC(CCCCCCC[N+]2(C)CCCCCC1)c1, cl: CCN(CC)CC, target: C1[C@H]2C[N+]3(C)CCCC[C@@H]3[C@@H]1CN1CCCC[C@@H]21
origin: C1N(Cc2cccccc1)CCCCCCCCCCCC[n+]1ccn(C)c1, cl: C(C)N(CC)CC, target: C1N(Cc2ccccc2)CCCCC1
origin: CCN(CC)CCCCC[N+]1(C)CCCCC, cl: N1CCCCCC1, target: CCN(CC)CC
origin: c1c(F)c(C)n(C)cc1, cl: C1CCCCC1N(C)C1CCCCC1, target: c1c(F)c(CN2[C@H](CO)CCC2)ccc1
origin: CCN(CC)CCCC[N+]1(C)CCCCCCC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: N(CC)(CC)CCCCCCCCC[n+]1cccc1, cl: C1N(Cc2cccc(F)c2)CCC1, target: N(CC)(CC)CC
origin: c1[n+](CCCCCCCC2)cccc1, cl: c1(F)cccc(c1)CN1CCCC1, target: c1[n+](CCCC)cn(C)c1
origin: CCN(CC)CCCn1ccccc1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: CCN(CC)CCCCCCC1, cl: C1(N(C2CCCCC2)CCCC1)C, target: CCN(CC)CC
origin: C(N(CCC)CCCCCCCCCCCC)ccc2, cl: CC[N+](CC)(CC)CC, target: C(N(CCC)CCC)CC
origin: C([N+](CC)(C)CCCCCCC)ccc1, cl: CC[N+](CC)(CC)CC, target: C([N+](CCC)(CCC)CCC)CC
origin: c1ccc(F)cc1, cl: C(C[n+]1cn(cc1)C)CCC, target: c1ccc(F)cc1C[N+](Cc1cc(F)ccc1)(C)C
origin: c1ccc(F)cc1, cl: c1c(F)cc(CN2CCCC2)cc1, target: c1ccc(F)c(CN2[C@H](CO)CCC2)c1
origin: CCN(CC)CCC1, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: C(CCCNCCCCCCCC[n+]1ccccc1, cl: C1C(N(C)C2CCCCC2)CCCC1, target: C(CCCNCCCCC)C
origin: C1CN(Cc2ccccc2)c1, cl: [N+]1(C)(CCCC1)CCCCC[N+]1(CCCC1)C, target: C1CN(Cc2ccc(F)cc2)CC1
origin: CC[N+](CC)(CC)CCCC1, cl: CN(C)[C@HN+]1, target: CC[N+](CC)(CC)CC
origin: C(C)N(CC)CCC[N+](C)(C)CCC1, cl: c1cc([C@@+](c2c(cccc2)F)(C)C)ccc1)F, target: C(C)N(CC)CC
origin: CN(C)C(=N(C)C)CC1, cl: N(CCC)(CCC)CCC, target: CN(C)C(=N)N(C)C
origin: [N+](C)(C)CCCCCC2, cl: N(CC)(CC)CC, target: [N+](C)(C)(C)C12CC3CC(CC(C1)C3)C2
origin: c1(CN2[C@]2(C)CCCCC2CCCCC2)c1, cl: C(C)CN(CCC)CCC, target: c1(CN2[C@H](CO)CCC2)cccc(F)c1
origin: N(C(C)C)CC2, cl: c1c(F)cc(CN2CCCC2)cc1, target: N(C(C)C)C(C)C
origin: C1NCCCCC1, cl: C(CN(CCC)CCC)CC, target: C1NCCCCC1
origin: c1cc(C[N+]2(CCCCCCCCCCCCCCC)cc2)c1, cl: CCN(CC)CC, target: c1cc(C[N+](C)(C)Cc2ccccc2)ccc1
origin: c1cnccc1N(C)CCCC1, cl: C(C)N(CC)CC, target: c1cnccc1N(C)C
origin: CCN(CC)CCCCC1, cl: C1CC(N(C)C2CCCCC2)CCC1, target: CCN(CC)CC
origin: C(O)[C@@H3)]1(C)CC1, cl: C1CCCC(N(C)C2CCCCC2)C1, target: C(O)[C@@H]1CCCN1Cc1cc(F)ccc1
origin: C1CC(N(C2)CC[N+]2(C)CCCC2)CC1, cl: C1[C@@H]2]=C[N+](C)(C3)CCCC2, target: C1CC(N(C2CCCCC2)C)CCC1
origin: [n+]1(CCCCCCCCCC[N+]2(C)CCCC1)CCCCC, cl: c1ccc(F)cc1CN1CCCC1CO, target: [n+]1(CCCC)cn(C)cc1
origin: CCN(CC)CCCC2, cl: C1COCCOCCN2CCOCCOCCN(CCOCCOCC2)CCOCCOC1)CCOCCOCC2, target: CCN(CC)CC
origin: c1cn(C)c(C)n(C)c1C, cl: c1ccc(C[N+](C)(C)Cc2ccccc2)c1, target: c1cn(C)c(C)[n+]1CC
origin: CCN(CC)CCC(C)CCC[N+]1(C)CCCCCC1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C(N(CC)CCCC2)CCCCC1, cl: c1n(C)cc[n+]1CCCC, target: C(N(CC)CC)C
origin: N1(Cc2ccccc2)c1C, cl: C12C3CC(C[N+]2(C)CCC1)CCCC3, target: N1(Cc2ccccc2)[C@H](CO)CCC1
origin: CCN(CC)CCCCC[N+]1(C)CCCC1, cl: C1(N(C2CCCCC2)C)CCCC1, target: CCN(CC)CC
origin: C1CCC[C@@(C)(CCCCCCC2)CC1, cl: C(CN(CCC)CCC)CC, target: C1CCC[C@@H]2[C@@H]3CN4CCCC[C@H]4[C@@H](C3)C[N+]12C
origin: OC[C@H]1N(C)CC2C1CCCCC1CCCCC1, cl: OCCN(CCO)C, target: OC[C@H]1N(Cc2ccccc2)CCC1
origin: N1(CCN)CCCC1, cl: [N+](C)(C)(C)C12CC3CC(CC(C2)C3)C1, target: N1(CCN)CCNCC1
origin: CCCN(CCC)CCCCCCCC[N+]1(C)C, cl: N(C1CCCCC1)(C)C1CCCCC1, target: CCCN(CCC)CCC
origin: C(c1ccccc2CCC2C[N+](C)(C)C)(C)C, cl: C1C2CC3CC1C(C(C)C2)[N+](C)(C)C, target: C(c1ccccc1)N1CCCC1
origin: C(C)N(CC)CCCCC1, cl: C1CCN(Cc2c(cccc2)F)CCC1, target: C(C)N(CC)CC
origin: CN(C)C, cl: c1c(F)cc(cc1)CN1CCCC1, target: CN(C)C
origin: CCN(CC)CCCCC1, cl: C(CN(CCC)CCC)CC, target: CCN(CC)CC
origin: [N+](CC)(C)CCCCCCC[N+]1(C)CCCCCC1, cl: N(C1CCCCC1)(C)C1CCCCC1, target: [N+](CC)(CC)(CC)CC
origin: C(N(CC)CCCCCCCCCCCCCCCCCCC[n+]2ccccc1)C, cl: c1(F)cccc(c1)F)CN1CCCC1, target: C(N(CC)CC)C
origin: CCN(CC)CCCCCC(C)CCCC[N+]1(CCCCCCCCCCCCCCC[n+]1ccn(C)cc1)CCC, cl: C[N+](C)(C12CC3CC(C2)CC(C3)C1)C, target: CCN(CC)CC
origin: C1OCCN2CCCCC[N+](C)(C)CCCC1, cl: N(CC)(CC)CC, target: C1OCCN2CCOCCOCCN(CCOCCOCC2)CCOC1
origin: c1ccc([C@]1(C)CC(C)CCN2CCCC2)CC, cl: C(C[N+](C)(C)C)CCCCCCCC, target: c1ccc([C@H]([C@@H](NC)C)O)cc1
origin: C(N(CC)CCCCCCCCCCCCCCCCCCCC)cc1, cl: c1cccc([CH2+]3cccc(c2)F)cc1, target: C(N(CC)CC)C
origin: C1CCN(Cc2ccccc12)CCCC1, cl: C1N2CCCC[N+]1(C)CC1CC2CN2C1CCCC2, target: C1CCN(Cc2c(F)cccc2)C1
origin: C1(N(C)C2)CC2, cl: C1CCC(N(C2CCCCC2)C)CC1, target: C1(N(C)C2CCCCC2)CCCCC1
origin: C(N(CC)CC)(C)C2, cl: [C@@H]12CCC(CC1)CCCC2CC[N+](C)(CC2)C, target: C(N(CC)CC)C
origin: C12C3[N+](C)(C)CC2CC(C)C1, cl: Fc1cc(C[N+](C)(C)Cc2ccccc2F)cc1, target: C12C3[N+](C)(CCCC3)CC(C3N(CCCC3)C1)C2
origin: C1CN2CCN1CCCCCCCC1, cl: CN(C(=N)N(C)C)C(C)C, target: C1CN2CCN1CC2
origin: CCN(CC)CCCC1, cl: OCCN(CCO)C, target: CCN(CC)CC
origin: N1(Cc2ccccc2)CC1, cl: CCN(CC)CC, target: N1(Cc2cccc(F)c2)CCCC1
origin: C(C)CN(CCCC)CCCCCCCC1, cl: N1CCCCCC1, target: C(C)CN(CCC)CCC
origin: N12CCOCCOCC2C1CCN(C)CC2, cl: c1cc(CN(C)C)ccc1, target: N12CCOCCOCCN(CCOCCOCC1)CCOCCOCC2
origin: N(C)(CCO)CCCCCCC[N+](C)(C)C, cl: C(N1CCNCC1)Cc1ccccc1, target: N(C)(CCO)CCO
origin: C1[N+](C)(C)CCCC[N+]1(CCC)CCCCCCCC[N+]1(C)CCCCCC1, cl: [N+](C12CC3CC(CC(C3)C1)C2)(C)C, target: C1[N+](C)(C)C2CC3CC1CC(C2)C3
origin: C(CN(CCC)CCCCC[N+](C)(C)C)(C)CCCC1, cl: n1ccc(N(C)C)cc1, target: C(CN(CCC)CCC)C
origin: C1N(Cc2ccccc2)CCCCC[N+]1(C)CC, cl: c1cccc([CH3+]ccc1)CN(C)C, target: C1N(Cc2ccccc2)CCC1
origin: c1(C)[n+]1c(C)c(C)n(C)cc1, cl: CCCN(CCC)CCC, target: c1(C)[n+](C)c(C)n(C)c1C
origin: N1(Cc2c(F)cccc3)CC2, cl: C(C)CNCCC, target: N1(Cc2c(F)cccc2)CCCC1
origin: CCN(CC)CCCCCCCCCCC[n+](Cc2ccccc1)CCCCCCCC1, cl: C1C2CC3CC1CC(C2)([N+](C)(C)C)C3, target: CCN(CC)CC
origin: C1CNCCCC1, cl: CCN(CC)CC, target: C1CNCCCC1
origin: C1CN(Cc2cccccn(C)cc1)c1, cl: c1ccccc1[N+](Cc1ccccc1F)(Cc1ccccc1)C, target: C1CN(Cc2ccccc2)[C@H](CO)C1
origin: OCCN(C)CCCC1, cl: CC[N+](CC)(C)CC, target: OCCN(C)CCO
origin: O1CCOCCN2CCN(C2)CCCC1, cl: N(CC)(CC)CC, target: O1CCOCCN2CCOCCOCCN(CC1)CCOCCOCC2
origin: c1(CN2CCCCC2)cccc1, cl: C(C)[N+](CC)(C)CC, target: c1(CN2CCCC2)cc(F)ccc1
origin: N(CCO)(CC)CCCC1, cl: CCN(CC)CC, target: N(CCO)(CCO)CCN(CCO)CCO
origin: CC[n+]1ccccc2C(C)CC1, cl: C(C)N(CC)CC, target: CC[n+]1ccn(C)c1C
origin: N(CC)(CC)CCCCC1, cl: N(CCCCC)CCCCC, target: N(CC)(CC)CC
origin: c1c([C@@HN(C)(C)CC)(C)CC2)CC(C)C, cl: N(c1ccncc1)(C)C, target: c1c([C@@H]([C@H](C)NC)O)cccc1
origin: C(C)N(CC)CCCC2, cl: N(CC)(CC)CC, target: C(C)N(CC)CC
origin: CCN(CC)CCCC1, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: C1CCN(Cc2ccccc2)cc1, cl: c1c(C[n+]2ccn(c2C)C)cccc1, target: C1CCN(Cc2ccccc2)C1
origin: N(CC)(CC)CCCC[N+](C)(C)C, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: CC[N+](CCC)(C)CCCC, cl: C(N(CC)CC)C, target: CC[N+](CC)(CC)CC
origin: CCN(CC)CCCCCCCCCC[N+]1(C)CCCCC[N+](C)(C)C, cl: [N+](CC)(CC)(CC)CC, target: CCN(CC)CC
origin: C[N+]12CC(CCCCCCCC[N+]2(C)CCCCC2)CC1, cl: CCN(CC)CC, target: C[N+]12CCCC[C@@H]1[C@H]1C[C@H]([C@H]3N(CCCC3)C1)C2
origin: CN(C)C, cl: c1([C@H](cccc2)cccc2)cccc1)C, target: CN(C)C
origin: Fc1c(C[N+](C)(C)C)CCCC1, cl: CCN(CC)CC, target: Fc1c(C[N+](Cc2ccccc2F)(C)C)cccc1
origin: C1C(N(C2CCCC)(C)C)CCCCCCC[N+](C)(C)CC, cl: [C@@H]12CC[N+](CC2)(Cc2ccc(cc2)C<unk>)CC1, target: C1C(N(C2CCCCC2)C)CCCC1
origin: CCN(CC)CCC[N+]12CCCC2C, cl: CCN(CC)CC, target: CCN(CC)CC
origin: c1cccc(CN(C)C)C, cl: C(N(CCC)CCC)CC, target: c1cccc(CN2CCCC2)c1
origin: CN(C(N(C)C)CC)(C)C, cl: c1cccc(C[N+](C)(C)Cc2ccccc2)c1, target: CN(C(N(C)C)=N)C
origin: CCN(CC)CCCC1, cl: C(C)N(C(C)C)C(C)C, target: CCN(CC)CC
origin: C(N(CC)CCCCCC)cc1, cl: c1cccc(C[N+](Cc2c(F)cccc2)(C)C)c1F, target: C(N(CC)CC)C
origin: C([N+](C)(C)CCCCC1)CCCCCCCC, cl: N(C(C)C)C(C)C, target: C([N+](C)(Cc1ccc(F)cc1)C)c1ccc(F)cc1
origin: C(N(CCO)CCCCCCCCCCCCC[n+]2c(C)cc2)cn(C)c1C, cl: [N+](C)(CC1(CCCCC1)c1ccccc1)C, target: C(N(CCO)CCO)CO
origin: C(C)N(CC)CCCCC, cl: c1ccccc1C(C(NC)C)O, target: C(C)N(CC)CC
origin: c1cc(F)cc(C)n(C)c1, cl: CCN(CC)CC, target: c1cc(F)cc(CN2CCCC2)c1
origin: CN(C)c1ccccc(C)[n+]1cccc1, cl: c1[n+](CCCC)cccc1, target: CN(C)c1ccncc1
origin: CCN(CC)CCC2, cl: c1cccc(CN2CCCC2CO)cc1, target: CCN(CC)CC
origin: c1cccc([C+]2(C)CCCCCCCC[N+]1(C)CCCCC2, cl: CCNCC, target: c1cccc([C@@H](O)[C@H](C)N(C)C)c1
origin: [N+](CC)(C)CCCCCCC[n+]1cccc1, cl: [N+](C)([P+](C(C)C)(C)C)(C)C, target: [N+](CC)(CC)(CC)CC
origin: C(N(CC)CCCCCCCCCCCCCCCCCC)Cc1cccc1, cl: C(CCC)[n+]1ccn(C)c1, target: C(N(CC)CC)C
origin: N12CCOCCOCC2CCN1CCCC(C)C1, cl: [C@H]([C@NHN(C)C)N(C)C)(C)C, target: N12CCOCCOCCN(CCOCCOCC1)CCOCCOCC2
origin: C(CC)[N+](C)(C)C, cl: N(C)[C@H](CCO)C, target: C(CC)[N+](CCC)(CCC)CCC
origin: C([N+](CC)(C)C)(C)CCCCCCC1, cl: CCN(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C1COCCOCC([N+](C)(C)CCCCCCCCCCC[n+]2c(C)cc1)C1, cl: CCN(CC)CC, target: C1COCCOCCN2CCOCCOCCN1CCOCCOCC2
origin: C(N(CC)CCCCCCCC)cc1, cl: C(C[N+](CCC)(CCC)CCC)C, target: C(N(CC)CC)C
origin: CCN(CC)CCCC2CC[N+](C)(C)CCCCCC1, cl: C(N(CCC)CCC)CC, target: CCN(CC)CC
origin: C1CCCC(N)CCCCC1, cl: C1CNCCCC1, target: C1CCCC(N)C1
origin: CCCN(CCC)CC1C, cl: N(CC)(CC)CC, target: CCCN(CCC)CCC
origin: CCN(CC)CCCCCC[N+]1(C)CCCCC1, cl: C1CN2[C@@++](CC3CC2CN2C3CCCC2)(CCC1)C, target: CCN(CC)CC
origin: N1(Cc2ccccc2)CCCC2, cl: CCN(CC)CC, target: N1(Cc2ccc(F)cc2)CCCC1
origin: N(C)(C)C(C)CC1CCCCCCC1, cl: c1ccc(C[n+]2ccn(C)c2C)cc1, target: N(C)(C)C(=N)N(C)C
origin: CCN(CC)CCC[N+](C)(C)C, cl: C(CCC)[n+]1ccn(c1C)C, target: CCN(CC)CC
origin: C1CC[N+]2(CCCCCC[N+](C)(C)C)CC1, cl: C(CN(CCO)CCO)CO, target: C1CC[N+]2(C)CC3C4CCCCN4CC(C3)C2C1
