origin: c1ccc(C[N+](C)(Cc2ccccc2)C)cc1, cl: n1(c([n+](cc1C)C)C)C, target: C(C)N(CCO)CC
origin: c1c[n+](CCCC)cn1C, cl: [n+]1(c(n(cc1)C)C)C, target: CCN(CC)CC
origin: C1CCCCCC1[n+]1cn(C)cc1, cl: C(N(CC)CC)C, target: c1cccc([C@@H](O)[C@@H](NC)C)c1
origin: C1COCCN2CCOCCOCCN(CCOCCOCC2)CCOC1, cl: C1(N(Cc2cccc(F)c2)CCC1)CO, target: C(C)[n+]1ccn(C)c1C
origin: c1cc(C[N+](C)(Cc2ccc(F)cc2)C)ccc1, cl: CCCC[n+]1ccn(C)c1C, target: C1C(N(C2CCCCC2)C)CCCC1
origin: c1[n+](CC)ccn1C, cl: C1CCCC(N(C2CCCCC2)C)C1, target: C(CC)[N+](CCC)(CCC)CCC
origin: C1CCC(CO)N1Cc1ccccc1, cl: C1CCCCCN1, target: CC[N+]1(C)CC2CC3CC1CC(C3)C2
origin: c1cccc(CN2CCCC2CO)c1, cl: c1ccc(cc1)C(O)C(NC)C, target: C([N+](CCC)(CCC)CCC)CC
origin: C(CNCCC)C, cl: N(CC)(CC)CC, target: C(C[N+](CCO)(C)CCO)O
origin: c1cc(CN2CCCC2CO)ccc1, cl: N(CC)(CC)CC, target: N(CC)(CC)CC
origin: C(C(C)(c1ccccc1)O)N, cl: C(C(NC)C)(c1ccccc1)O, target: c1ccc(CC2N(Cc3ccccc3)CCNC2)cc1
origin: C(C)[n+]1cn(C)cc1, cl: C([n+]1cn(C)cc1)CCC, target: C(C)N(CC)CC
origin: Cn1c(C)[n+](C)c(C)c1C, cl: c1n(c(C)[n+](c1C)C)C, target: C(C)[N+](CC)(CC)CC
origin: C[N+](Cc1ccccc1)(Cc1ccccc1F)c1ccccc1, cl: C1CCCC2C3CC(C4[N+](C3)(C)CCCC4)CN21, target: C1C[N+]2(C)[C@H](CC1)[C@@H]1CN3CCCC[C@H]3[C@@H](C1)C2
origin: c1c(C)c(C)n(C)c1, cl: c1cc(C(C(C)NC)O)ccc1, target: C(N(C(C)C)C(C)C)C
origin: C1(CO)N(Cc2ccccc2)CCC1, cl: C(N(CC)CC)C, target: C1(N(C2CCCCC2)C)CCCCC1
origin: c1cccc(F)c1C(CO)NC, cl: c1c(cccc1)C(O)C(C)NC, target: C1CC[N+](C)(CCCC)C1
origin: CC(N(CCC)CCC)CC, cl: c1cc(C[N+](Cc2cc(F)ccc2)(C)C)ccc1F, target: C(C)N(CC)CC
origin: c1cc(C[N+](Cc2ccccc2)(C)C)ccc1, cl: c1ccccc1C(O)C(C)N(C)Cc1ccccc1, target: C(C)N(CC)CC
origin: C1CCCN(Cc2cc(F)ccc2)C1, cl: C(CO)N(C)CCO, target: c1cc(CN2CCCC2)cc(F)c1
origin: C1CCCC(CO)N1Cc1ccccc1, cl: n1(C)cc[n+](CCCC)c1C, target: c1cc(CN2CCCC2)c(F)cc1
origin: C1C2C3CC([N+](C)(C)C)(C2)CC1C3, cl: C12CC(C3CCCCN3C1)C[N+]1(C)C2CCCC1, target: CN(CCO)CCO
origin: c1cccc(CN2CCCC2)c1, cl: C1CCCN2CC3C4CCCC[N+]4(C)CC(C3)C21, target: c1(F)cc(CN2CCCC2)ccc1
origin: c1ccc(C[N+](Cc2ccccc2)(C)C)cc1, cl: c1cc(CN2CCCC2)cc(cc1)F, target: C[N+](C)(C)C12CC3CC(CC(C1)C3)C2
origin: c1c(C)cc(C)[n+]1C, cl: C1CCCN1Cc1ccccc1F, target: [C@H](NC)(C)[C@@H](c1ccccc1)O
origin: C(C)N(CCC)CCC, cl: C1CN(Cc2ccccc2)C(C1)CO, target: C([n+]1cn(C)cc1)CCC
origin: C(CCCC)NCCCCC, cl: C(C(c1ccccc1)O)(N(C)Cc1ccccc1)C, target: N1(Cc2ccccc2)CCCC1
origin: C(C(O)c1ccccc1)N(C)C, cl: C([N+](CC)(CC)CC)C, target: C([N+](CCC)(CCC)CCC)CC
origin: c1(CN2CCCC2)ccccc1, cl: C(CC)C[n+]1ccn(C)c1C, target: C(CN(CCC)CCC)C
origin: C(C)[n+]1cn(C)cc1, cl: [n+]1(cc(C)n(c1C)C)C, target: C(C)N(CC)CC
origin: C1CC(CO)N(Cc2ccccc2)C1, cl: c1(C[N+](C)(Cc2ccccc2)C)ccccc1, target: C([N+](CC)(CC)CC)C
origin: C1CC(CO)N(Cc2ccccc2)C1, cl: c1cc(F)ccc1CN1CCCC1CO, target: N(C)(C)C(=N)N(C)C
origin: C1CCC2C3CC(CN2C1)C1CCCC[N+]1(C)C3, cl: c1cc(F)c(CN2CCCC2)cc1, target: c1cccc([C@H](O)[C@H](C)NC)c1
origin: C(CC)[n+]1ccn(C)c1, cl: C(C)(C(c1ccccc1)O)NC, target: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3
origin: c1c(C(C(C)NC)O)cccc1, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: CC1CCC(N)CC1, cl: CCCC[N+](CCC)(CCC)CCC, target: C(CN(CCC)CCC)C
origin: C1C2CC3CC(C4CCCC[N+]4(C)C3)C1C2, cl: C(C)CC[n+]1ccn(C)c1C, target: C1CCC(N(C)C2CCCCC2)CC1
origin: c1ccccc1CN1CCCC1CO, cl: C[N+]12CC3C4CCCCN4CC(C3)C2CCCC1, target: C1CCCCC1N(C1CCCCC1)C
origin: n1(C)cc[n+](CCCC)c1, cl: C(c1ccccc1)N1C(CO)CCC1, target: C(C)(C)N(CC)C(C)C
origin: C[N+](CC)(CC)CC, cl: C1C(CCCC1)N(C1CCCCC1)C, target: CN(C1CCCCC1)C1CCCCC1
origin: C(C)[N+](CC)(CC)CC, cl: C1CCCCC1N(C1CCCCC1)C, target: Cc1c(C)n(C)c(C)[n+]1C
origin: c1cc(C(O)C(C)NC)ccc1, cl: C(C)CN(CCC)CCC, target: C(C)C[N+](CCC)(CCC)CCC
origin: C1N(Cc2ccccc2)CCC1, cl: C(N1CCCC1)c1cccc(F)c1, target: C(N(CC)CC)C
origin: c1cccc(CN2CCCC2CO)c1, cl: C(C(c1ccccc1)O)(C)N(C)Cc1ccccc1, target: N1(Cc2ccccc2)[C@H](CO)CCC1
origin: c1(C[N+](C)(Cc2ccccc2)C)ccccc1, cl: C1(CCCN1Cc1ccccc1)CO, target: C([N+](CCC)(CCC)CCC)CC
origin: C(CNCCCC)C, cl: c1(ccccc1)C(O)C(C)NC, target: OC(N(CC)CC)C
origin: c1c(C[N+]2(C)CCCC2CO)cccc1, cl: C1N(Cc2ccccc2)C(CO)C1, target: C(CC[n+]1ccn(C)c1)C
origin: C(C)C[N+](CC)(CC)CC, cl: c1ccc(cc1)C(O)C(N(C)C)C, target: CCN(CC)CC
origin: C(N(CCCC)CCCC)CC, cl: C(CC)CN(CCCC)CCCC, target: c1n(C)cc[n+]1Cc1ccccc1
origin: C(C)[N+](CC)(CC)CC, cl: [n+]1(cc(C)n(c1C)C)C, target: C(O)[C@H]1N(Cc2c(F)cccc2)CCC1
origin: C[N+](C)(C)C, cl: C(N(CC)CC)C, target: N(C1CCCCC1)(C1CCCCC1)C
origin: C1CCC(CO)N1Cc1ccccc1, cl: N(C)(C(c1ccccc1)O)C, target: C(C)N(CC)CC
origin: C1CCN1CCCN1Cc1ccccc1, cl: C(C)CN(CCC)CCC, target: C(=N)(N(C)C)N(C)C
origin: c1(C)c(C)n(C)c(C)[n+]1C, cl: C(C)CN(CCC)CCC, target: c1cc(CN(C)C)ccc1
origin: C(C)[N+](CC)(CC)CC, cl: C1CCC(N(C2CCCCC2)C)CC1, target: N(CC)(CC)CC
origin: n1(C)c(C)[n+](C)cc1, cl: c1c(ccc(CN2CCCC2CO)c1)F, target: C1[C@@H](CO)N(Cc2ccccc2)CC1
origin: c1(CN2CCCC2)ccccc1, cl: c1ccccc1C[N+]1(C)C(CO)CCC1, target: c1ccccc1CN1[C@H](CO)CCC1
origin: c1(C[N+](C)(Cc2ccccc2)C)ccccc1, cl: c1ccccc1C(O)C(NC)C, target: N(CCC)CCC
origin: C(CC(O)c1ccccc1)N(C)C, cl: c1ccc(cc1)C(O)C(C)NC, target: c1cccc([C@H]([C@@H](NC)C)O)c1
origin: C1CC2C3CC(CN2CCC1)C1[N+](C)(C3)CCCC1, cl: C1CCCC(N(C)C2CCCCC2)C1, target: N(CC)(CC)CC
origin: C(CC[P+](C)(c1ccccc1)C)[N+](Cc1c(ccccc1)cc1)C, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: [N+]1(Cc2ccccc2)(C)CCCC1CO, cl: C(N(CC)CC)C, target: c1n(C)c[n+](CCCC)c1
origin: c1ccccc1CN1CCCC1CO, cl: [n+]1(CC)ccn(CC)c1C, target: CCN(C(C)C)C(C)C
origin: c1cc(C(O)C(c2ccccc2)O)ccc1, cl: C1C(CCCC1)N(C1CCCCC1)C, target: C12CC3CC(C([N+](C)(C)C)C(C1)C3)C2
origin: C(C(C)NC(C)C)O, cl: C(O)(Cn1cc[n+](c1)C)C(O)Cc1ccccc1, target: CCN(CC)CC
origin: c1ccc(C(C(C)NC)O)cc1, cl: C(C)(N(CC)C(C)C)C, target: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2
origin: C(C)N(CC)CC, cl: C1CN(CCN1)CCN, target: C(N(CC)CC)C
origin: C1CCC(N(C2CCCCC2)C)C1, cl: C1CCC2N(CC3C4CCCC[N+]4(C)CC2C3)C1, target: CCN(CC)CC
origin: C(CC)[N+](CCC)(CCC)CCC, cl: C(C(C)(c1ccccc1)O)(N(C)C)C, target: CCN(CC)CC
origin: c1ccc(CN2C(CO)CCC2)cc1, cl: C(C)(N(CC)C(C)C)C, target: C([N+](CCO)(C)CCO)CO
origin: C(NCCC)CC, cl: C1CC(N(C2CCCCC2)C)CCC1, target: C[n+]1c(C)c(C)n(C)c1C
origin: c1(C)n(C)cc[n+]1Cc1ccc(F)cc1, cl: C1CC(N(C1)Cc1ccccc1)CO, target: C[N+](C)(Cc1ccc(F)cc1)Cc1ccc(F)cc1
origin: C1CCC2C3CC(C[N+]12C)CCCC3, cl: N(CC)(CC)CC, target: C(CC)N(CCC)CCC
origin: c1cccc(C(C(C)NC)O)c1, cl: c1cc(ccc1)CN1CCCC1CO, target: N(CC)(CC)CC
origin: C1CCCC(N(C)C2CCCCC2)C1, cl: C(C(C)NC)(O)c1ccccc1, target: c1(CN(C)C)ccccc1
origin: C(C)N(CC)CC, cl: C1CCCN1Cc1cccc(F)c1, target: n1(C)cc[n+](Cc2ccccc2)c1
origin: CN(C1CCCCC1)c1ccccc1, cl: C1CC(N(C)C2CCCCC2)CCC1, target: CCN(CCO)CC
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C(c1ccccc1)(C(NC)C)O, target: C([C@@H]1CCCN1Cc1ccccc1)O
origin: c1cccc(C(O)C(C)NC)c1, cl: C(C)CN(CCC)CCC, target: C(C)[N+](CC)(CC)CC
origin: c1c(C(O)C(C)N(Cc2ccccc2)C)ccc1, cl: c1cc(CN2C(CO)CCC2)ccc1, target: C(CCCNCCCCC)C
origin: C1CCCCN1Cc1ccccc1, cl: c1ccccc1C(O)C(NC)C, target: C1CCC(N(C)C2CCCCC2)CC1
origin: C1C(CO)N(Cc2ccccc2)CC1, cl: C(C)CN(CCC)CCC, target: N(CCC)(CCC)CCC
origin: c1ccc(CN2CCCC2)cc1, cl: C1N(Cc2ccccc2)C(CO)CC1, target: CC[N+](CC)(CC)CC
origin: N1(C)CCN(C)CCN(C)CCN(C)CCN(C)CCN(C)CC1, cl: c1cc(cc(c1)CN1CCCC1)F, target: CCN(CC)CC
origin: CN(C(c1ccccc1)O)C, cl: C(N(CC)CC)C, target: [C@H]12C[C@H]([C@H]3CCCC[N+]3(C)C1)CN1CCCC[C@@H]21
origin: C(C1(CO)CCC1)O, cl: c1(ccncc1)N1C(CO)CCC1, target: CC(C)NC(C)C
origin: c1ccc(CN2C(CO)CCC2)cc1, cl: C1CCCC2C3C[N+]4(C)CCCCC4C(CN2C1)C3, target: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3
origin: C(C(O)C(CO)O)O, cl: N1(Cc2cccc(F)c2)CCCC1, target: C1C(N(C2CCCCC2)C)CCCC1
origin: c1cccc(C(C(C)NC)O)c1, cl: C(c1c(cccc1)F)N1CCCC1, target: N(CC)CC
origin: c1ccccc1CN1C(CO)CCC1, cl: C1(N(C2CCCCC2)C)CCCCC1, target: c1c(CN2[C@H](CO)CCC2)cccc1
origin: C1C(CO)N(Cc2ccccc2)CC1, cl: c1cccc(c1)C(O)C(NC)C, target: C(N(CC)CC)C
origin: C1N(Cc2ccccc2F)CCC1, cl: c1(C)[n+](CC)ccn1C, target: C1(N(C)C2CCCCC2)CCCCC1
origin: N(C(c1ccccc1)O)C, cl: C1N2CCOCCOCCN(CCOCCOCCOCC2)CCOCCOC1, target: c1ccccc1C[N+](Cc1ccccc1)(C)C
origin: C(C)CNCCC, cl: C(C)CN(CCC)CCC, target: C[n+]1ccn(CC(O)CO)c1C
origin: C(N(CCCC)CCCC)CCC, cl: c1cccc(C(O)C(NC)C)c1, target: CCN(CC)CC
origin: c1c(C[N+](C)(Cc2ccccc2)C)cccc1, cl: C(CO)N(CCO)CCO, target: N1CCCCCC1
origin: c1ccc(CN2CCCC2)cc1, cl: C(C)N(CC)CC, target: c1cccc([C@H]([C@@H](N(Cc2ccccc2)C)C)O)c1
origin: C1(C)CCCC(C)NC1, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: C(N1CCCCC1)c1ccccc1, cl: C(O)C1N(CCC1)Cc1ccccc1, target: C(C)N(CC)CC
origin: C(C)CNCCC, cl: c1c(cc(cc1)C[N+](C)(C)Cc1cccc(c1)F)F, target: C(C)C[N+](CCC)(CCC)CCC
origin: C1CCN(Cc2ccccc2)C1CO, cl: C1CCC(CO)N1Cc1ccccc1, target: CCN(CC)CC
origin: C1CC2C3CC(C[N+]2(C)CCC1)C1N(C2)CCCC1, cl: c1ccc(C(O)C(NC)C)cc1, target: C(C)N(CC)CC
origin: C1CCN(Cc2cccc(F)c2)C1, cl: C(c1cccc(c1)F)N1CCCC1, target: C([n+]1ccn(C)c1C)CCC
origin: C1CCCC(N(C)C2CCCCC2)C1, cl: c1cccc(C(C(C)NC)O)c1, target: CN(C)C
origin: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2, cl: c1(ccccc1F)C[N+](Cc1c(F)cccc1)(C)C, target: N(CCC)(CCC)CCC
origin: C1C[N+]2(C)C(C3CC(C2)C3)CC1, cl: c1cccc(C(O)C(NC)C)c1, target: C(c1ccccc1F)[N+](C)(Cc1ccccc1F)C
origin: C(C)N(CC)CC, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: c1cc(F)ccc1C[N+](C)(Cc1ccccc1)C, cl: C1CN(CCN1)CCN, target: c1ccc(CN2C(Cc3ccccc3)CNCC2)cc1
origin: c1(CN2C(CO)CCC2)ccccc1, cl: C1CCCCC1N(C)C1CCCCC1, target: CCC[N+](CCC)(CCC)CCC
origin: c1ccc(CN2C(CO)CCC2)cc1, cl: c1cc(C(O)C(NC)C)ccc1, target: Fc1c(CN2CCCC2)cccc1
origin: c1ccccc1C[N+](Cc1ccccc1)(C)C, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: C(N(CCC)CCC)CC, cl: c1ccc(c(c1)F)CN1CCCC1, target: N(CCC)(CCC)CCC
origin: c1ccccc1CN1CCCC1CO, cl: c1c(F)ccc(C[N+](C)(Cc2ccccc2)C)c1, target: N(CC)(CC)CC
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: c1cccc(C(O)C(NC)C)c1, target: C(C)N(CC)CC
origin: c1cn(C)c[n+]1CCCC, cl: C1CCC(N(C2CCCCC2)C)CC1, target: C(N(CCC)CCC)CC
origin: C(C)C(NCCC)CC, cl: c1(F)ccc(cc1)C[N+](C)(Cc1ccccc1F)C, target: N(CC)(CC)CC
origin: C[N+](Cc1ccccc1)(Cc1cccc(F)c1)C, cl: C1C(N(C2CCCCC2)C)CCCC1, target: C(CCC)CC[n+]1c(C)n(C)cc1
origin: c1cccc(C(C(C)NC)O)c1, cl: C1C2CC3CC1CC(C3)C[N+]2(C)CC, target: C(C)C[N+](CCC)(CCC)CCC
origin: c1c(C(O)C(C)NC)cccc1, cl: C(N(CC)CC)C, target: CCCN(CCC)CCC
origin: C1C(CO)N(Cc2ccccc2)CC1, cl: CC(C(c1ccccc1)O)NC, target: [n+]1(Cc2ccccc2)c(C)n(C)cc1
origin: c1(F)c(CN2CCCC2CO)cccc1, cl: C1CCCC2N1CC1CC2C[N+]2(C)C1CCCC2, target: C(C)[N+](CC)(CC)CC
origin: C1CC(N(C2CCCCC2)C)CCC1, cl: c1cc(ccc1)C[n+]1cn(cc1)C, target: Fc1cccc(CN2CCCC2)c1
origin: c1(CN2CCCC2)ccccc1, cl: c1cc(ccc1)CN1CCCC1CO, target: c1nccc(N(C)C)c1
origin: c1c(CN2CCCC2CO)cccc1, cl: C(C1N(Cc2cc(F)ccc2)CCC1)O, target: CCN(CC)CC
origin: c1(CN2CCCC2)ccccc1, cl: [n+]1(cn(cc1)Cc1ccccc1)C, target: C1CCC(N)CC1
origin: c1ccc(C(C(NC)C)O)cc1, cl: C1CCCC2[N+]1(CC1C3N(CC2C1)CCCC3)C, target: CCN(CC)CC
origin: C(N(CCC)CCCC)CC, cl: C1N(CCC1)Cc1c(F)cccc1, target: N(CCC)(CCC)CCC
origin: N(C)(C)c1ccccc1, cl: Cn1c(C)[n+](CCCCCC)cc1, target: c1c(F)c(CN2[C@H](CO)CCC2)ccc1
origin: C12C3CCCC[N+]3(C)CC(C3N(C1)CCCC3)C2, cl: c1cccc(C[N+](CCC)(CCC)C)c1, target: CCNCC
origin: n1(C)cc[n+](CCCC)c1, cl: c1ccc(cc1)C(O)C(NC)C, target: C(C[n+]1cn(C)cc1)CC
origin: C(N(CCC)CCC)CC, cl: C1C(N(Cc2ccccc2)CC1)CO, target: C1OCCOCCN2CCOCCOCCN(C1)CCOCCOCC2
origin: C(C)CCCNCCCC, cl: C(C)CN(CCC)CCC, target: C(C(O)CO)n1cc[n+](C)c1C
origin: C(C)N(CC)CC, cl: C12CC3(CC(C1)CC(C3)C2)[N+](C)(C)C, target: C12([N+](C)(C)C)CC3CC(CC(C3)C1)C2
origin: C(C)N(CC)CC, cl: c1cccc(c1)CN1C(CO)CCC1, target: C([N+](CC)(CC)CC)C
origin: c1cccc(C[n+]2cn(C)cc2)c1, cl: C1CCCCCN1, target: CCN(CC)CC
origin: c1cccc(CN2CCCC2CO)c1, cl: C1CC(N(C2CCCCC2)C)CCC1, target: C(CO)N(CCO)CCO
origin: C(CC)C[N+](C)(CC)C, cl: C1(CCCN1Cc1ccccc1)CO, target: C(CC)CNCCCC
origin: c1c(C(O)C(c2ccccc2)O)cccc1, cl: C1N(Cc2ccccc2)CCN(C1)CCO, target: c1cccc(CN2CCCC2)c1
origin: C(C)CCNCCC, cl: C1C(CO)N(CCC2)Cc2ccccc21, target: C1(N(C)C2CCCCC2)CCCCC1
origin: C1CCC[N+](C)(CC2(c3ccc(Cl)cc3)CCC2)C1, cl: C(CC)C[n+]1ccn(c1)C, target: CCN(CC)CC
origin: C(C)[N+](C)(C)C, cl: C1CCN(C1)Cc1ccccc1, target: CCN(CC)CC
origin: C1CCCCCN1, cl: c1cccc(c1)C(O)C(NC)C, target: CCN(CC)CC
origin: c1cccc(CN2C(CO)CCC2)c1, cl: N(CC)(CC)CC, target: C(C)N(CC)CC
origin: C(C[n+]1c(C)n(C)cc1)C, cl: C1C(CCCC1)N(C1CCCCC1)C, target: CN(C(N(C)C)=N)C
origin: c1c(C[N+](Cc2ccccc2)(C)C)cccc1, cl: C(N(CC)CC)C, target: C1N(Cc2ccc(F)cc2)CCC1
origin: c1cc(F)ccc1CN1CCCC1, cl: C(C)CN(CCC)CCC, target: C1CN(CCN)CCN1
origin: C(N(CCC)CCCC)CC, cl: c1c(F)c(CN2CCCC2)ccc1, target: C([N+](CC)(CC)CC)C
origin: C([n+]1ccn(C)c1C)c1cccc(F)c1, cl: C1C2CC3([N+](C)(C)C)CC(C2)CC1C3, target: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2
origin: C(C)[N+](CC)(CC)CC, cl: c1cc(ccc1)CN1CCCC1CO, target: CC[n+]1c(C)n(C)cc1
origin: c1cc(C(C(C(c2ccccc2)O)O)cc2)ccc1, cl: Cn1c(C)[n+](cc1)CCCC, target: N(CC)(CC)CC
origin: c1(CN2CCCC2)ccccc1, cl: c1cccc(C[N+](C)(Cc2cc(ccc2)F)C)c1, target: C12CC3CC([N+](C)(C)C)(C1)CC(C2)C3
origin: C1CCCN(Cc2ccccc2F)C1, cl: N(CC)(CC)CC, target: C(N(CCO)CCO)CN(CCO)CCO
origin: C(C)N(CC)CC, cl: C1C(N(Cc2ccccc2)CC1)CO, target: N(CC)(CC)CC
origin: C(C(O)CO)N(C)C, cl: N12CCOCCOCCN(CCOCCOCC1)CCOCCOCC2, target: OC[C@H]1N(Cc2ccccc2)CCC1
origin: c1cccc(CN2C(CO)CCC2)c1, cl: C(C)CCN(CCCC)CCCC, target: C(C)[N+](CC)(CC)CC
origin: c1ccc(F)cc1CN1CCCC1, cl: CN(C(c1ccccc1)O)C, target: CCN(CC)CC
origin: C1N(Cc2ccccc2)C(CO)CC1, cl: c1cccc(C(C(C)NC)O)c1, target: C1CCCN1Cc1cccc(F)c1
origin: C(C(O)C(c1ccccc1)O)NC, cl: C(C)(N(CC)C(C)C)C, target: CCNCC
origin: C1CCCC(CO)N1Cc1ccccc1, cl: c1ccc(C(O)C(C)NC)cc1, target: C1CCC[C@H]2[N+]1(C)C[C@H]1[C@@H]3CCCCN3C[C@@H]2C1
origin: C1CCNCCC1, cl: C(C)CN(CCC)CCC, target: CCN(CC)CC
origin: c1(F)c(Cn2cc[n+](C)c2C)cccc1, cl: c1cccc(C(O)C(C)NC)c1, target: CCN(CC)CC
origin: C12C3CCCC[N+]3(C)C(CCCC3)C1CCCC2, cl: C(C1CCCN1Cc1ccccc1)O, target: NC1CCCCC1
origin: C1CCCC1N(C)C1CCCCC1, cl: c1(CN2CCCC2CO)cccc(c1)F, target: C(C[N+](CCC)(CCC)CCC)C
origin: C(NCCC)CCC, cl: Cn1c(C)[n+](cc1)Cc1ccccc1, target: n1(C)c[n+](CCCC)cc1
origin: C(C)[N+](CC)(CC)CC, cl: c1cc(CN2CCCC2CO)ccc1, target: CC[N+](CC)(CC)CC
origin: C(C)CNCCC, cl: C1C2CC3([N+](C)(C)C)CC(C2)CC1C3, target: Fc1ccccc1C[N+](C)(C)Cc1ccccc1F
origin: c1(CN2CC(CO)CC2)ccccc1, cl: C1N(Cc2ccccc2)C(CO)C1, target: C1OCCOCCN2CCOCCOCCN(C1)CCOCCOCC2
origin: C(C)(N(C(C)C)C)C, cl: C1CCN(C1)Cc1ccccc1, target: C[N+](Cc1cc(F)ccc1)(C)Cc1cc(F)ccc1
origin: C(C[N+](CC)(C)Cc1ccccc1)C, cl: C1CCN(Cc2cc(F)ccc2)C1, target: N(CC)(CC)CC
origin: c1ccccc1C(O)C(C)NC, cl: C1C(N(C2CCCCC2)C)CCCC1, target: C1CCCCC1N(C)C1CCCCC1
origin: c1ccccc1CN1C(CO)CCC1, cl: C12CC3CC(C1)CC(C2)(C3)[N+](C)(C)C, target: N(CC)(CC)CC
origin: N1(Cc2ccccc2)CCCC1, cl: C1CCC(CC1)N(C1CCCCC1)C, target: CCN(CC)CC
origin: C1[N+](C)(C)CCCC2CCCCCC12, cl: C(C)CCN(CCCC)CCCC, target: C(C)N(CC)CC
origin: c1(C[N+](C)(C)Cc2ccc(F)cc2)ccc(F)cc1, cl: C(C)CN(CCC)CCC, target: CCN(CC)CC
origin: C1CC(CO)N(Cc2ccccc2F)C1, cl: C1(CCCCC1)N(C1CCCCC1)C, target: c1n(C)c(C)[n+](CC)c1
origin: C(C[n+]1c(C)n(C)cc1)CC, cl: C(C(C)(NC)C)(c1ccccc1)O, target: C(C)(C)N(CC)C(C)C
origin: c1cc(F)cc(CN2CCCC2)c1, cl: C(C(NC)C)(c1ccccc1)O, target: c1ccccc1[C@@H](O)[C@@H](NC)C
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C1C(N(Cc2ccccc2)CC1)CO, target: CC[N+](CC)(CC)CC
origin: C(NCC1CCCCC1)c1ccccc1, cl: C1CC(CCC1)N(C1CCCCC1)C, target: C(C)CN(CCC)CCC
origin: C1C2CC3CC(C1)CC([N+](C)(C)C)(C2)C3, cl: c1c(CN2CCCC2CO)cccc1, target: n1(C)c(C)c[n+](C)c1C
origin: c1[n+](CCCC)cn(C)c1, cl: N12C(CCCC2)CCCCC1, target: c1c([C@@H](O)[C@@H](NC)C)cccc1
origin: CN(C(c1ccccc1)O)C, cl: C1N2C(CCC1)C1C[N+]3(C)CCCCC3C(C2)C1, target: CC(C)NC(C)C
origin: CCCN(CCC)CCC, cl: c1ccccc1C(O)C(NC)C, target: N(CC)(CC)CC
origin: c1ccccc1C(NC)C, cl: c1cccc(CN2CCCC2CO)c1, target: C1CCCCC1N(C)C1CCCCC1
origin: CCN(CC)CC, cl: C(O)C1CCCN1Cc1ccccc1F, target: [C@@H]12N(C[C@H]3[C@H]4CCCC[N+]4(C)C[C@@H]1C3)CCCC2
origin: C1C2C3CC(C[N+](C)(C)C3)C1CC2, cl: n1(C)c([n+](cc1)CC)C, target: c1c(N(C)C)ccnc1
origin: C(C1(c2ccccc2)O)(C)CCC1, cl: C(C)N(CC)CC, target: c1nccc(N(C)C)c1
origin: n1(C)cc[n+](CC)c1C, cl: C(CC)N(CCC)CCC, target: CCC[N+](CCC)(CCC)CCC
origin: c1cc(C(C(O)c2ccccc2)O)ccc1, cl: C(N(CC)CC)C, target: C1CCN2C[C@H]3[C@H]4CCCC[N+]4(C)C[C@H](C3)[C@@H]2C1
origin: C1CN(Cc2ccccc2)C(CO)CC1, cl: C(C)CN(CCC)CCC, target: C(C)N(CC)CC
origin: C1CC(CO)N1Cc1ccccc1, cl: c1(C)c(C)[n+](c(n1C)C)C, target: CN(C)C
origin: C1CCN2CCOCCOCCN(CCOCCOCC2)CCOC1, cl: C1C(N(Cc2ccccc2)CC1)CO, target: C(C)C[N+](CCC)(CCC)CCC
origin: C(C)N(C(C)C)CC, cl: Cc1[n+](C)ccn1C, target: CN(C)c1ccncc1
origin: C(C[N+](C)(C)Cc1ccccc1)c1cccc(F)c12, cl: C(c1ccccc1)(O)C(NC)C, target: N1(Cc2ccccc2)[C@H](CO)CCC1
origin: C(C[N+](C)(C)C)c1cccc(F)c1, cl: C(N(CC)CC)C, target: CN(C(=N)N(C)C)C
origin: c1(CN2CCCC2)ccccc1F, cl: N(CCC)(CCC)CCC, target: CCCN(CCC)CCC
origin: c1cc(F)cc(CN2CCCC2)c1, cl: C12CC3CC(CC(C3)(C2)[N+](C)(C)C)C1, target: [n+]1(CCCC)c(C)n(C)cc1
origin: c1(C(C)N(C)C)ccccc1, cl: C1N2CCC(CC2)C1, target: C(C)(CNCC(C)O)O
origin: c1c(C)cc[n+]1CCCC, cl: c1c(CN2C(CCC2)CO)cccc1, target: C1CCCCC1N(C1CCCCC1)C
origin: c1cccc(C2(C[N+](C)(C)C)CCCC2)c1, cl: c1c(cccc1)C(O)C(NC)C, target: N(CCC)(CCC)CCC
origin: c1cccc(F)c1CN1CCCC1, cl: c1c(cc(cc1)F)CN1CCCC1, target: C1[C@@H](CO)N(Cc2ccccc2)CC1
origin: C1CC[N+]2(C)C(C3CC(CN2CCCC3)C3)C1, cl: N(C)(C)C(O)c1ccccc1, target: c1(CN2CCCC2)ccccc1
