origin: C[N+](C1C2CC3CC(CC1C3)C2)(C)C, cl: c1(N(C)C)ccncc1, target: C1C2CC3C([N+](C)(C)C)C1CC(C3)C2
origin: C1CCCCC1N(C1CCCCC1)C, cl: C(C[N+](CCC)(CCC)CCC)C, target: C(C)N(CC)CC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C[N+](C)(C)C12CC3CC(CC(C3)C2)C1, target: C[C@H](NC)[C@@H](O)c1ccccc1
origin: c1ccccc1C(O)C(NC)C, cl: C1[N+](C)(CCCC)CCC1, target: c1([C@H]([C@H](C)[N+](C)(C)C)O)ccccc1
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C1CN(Cc2ccccc2)C(C1)CO, target: CC[N+](CC)(CC)CC
origin: c1c(CN2CCCC2CO)cccc1, cl: CC[N+](CC)(CC)CC, target: C(C)N(CC)CC
origin: C(C)N(CC)CC, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: c1cccc(C(O)C(NC)C)c1, cl: c1ccc(cc1)C(C(C)N(C)C)O, target: c1ccc([C@H]([C@@H](NC)C)O)cc1
origin: CCCC[n+]1ccn(C)c1, cl: C(C)CNCCC, target: C(C)N(CC)CC
origin: c1cccc(C(O)C(C)NC)c1, cl: N(CCC)CCC, target: C(C)N(C(O)C)CC
origin: C1CCCN1Cc1cccc(F)c1, cl: N(CCO)(CCO)C, target: C(CN(CCC)CCC)C
origin: C12C3CCCC[N+]3(C)CC(C3N(CCCC3)C1)C2, cl: Cn1cc[n+](c1C)CCCC, target: C1CCCN2C[C@@H]3C[C@@H](C[N+]4(C)[C@@H]3CCCC4)[C@H]12
origin: C1CCCCC1N(C)C1CCCCC1, cl: O1CCOCCN2CCOCCOCCN(CC1)CCOCCOCC2, target: C1[C@@H](CO)N(Cc2ccccc2)CC1
origin: CN(C1CCCCC1)C1CCCCC1, cl: CN(C)c1ccncc1, target: CCN(CC)CCO
origin: CCN(CC)CC, cl: C1NCCCCC1, target: CCN(CC)CC
origin: C(C)CC[n+]1ccn(C)c1, cl: C1CCCCC1N(C1CCCCC1)C, target: CN(C)C
origin: c1cccc(CN2CCCC2CO)c1, cl: C12CCCCN2CC2CC1C[N+]1(C)C2CCCC1, target: CCN(CC)CC
origin: C1CCC2[N+](C)(C1)CC1CC2CN2C1CCCC2, cl: C(N(CC)CC)C, target: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: N(C1CCCCC1)(C1CCCCC1)C, target: C([N+](CC)(CC)CC)C
origin: c1ccccc1CN1CCCC1, cl: OCCN(CCO)CCO, target: c1ccc(CN2CCCC2)cc1
origin: c1ccccc1CN1C(CO)CCC1, cl: CCN(CC)CC, target: C1CC(N)CCC1
origin: C1C2CC3([N+](C)(C)C)CC(C2)CC1C3, cl: CN(C1CCCCC1)C1CCCCC1, target: [C@@H]12CN3CCCC[C@H]3[C@@H](C1)C[N+]1(C)[C@@H]2CCCC1
origin: C1CCCCC1N(C)C1CCCCC1, cl: C(c1ccccc1)N(C)C, target: CCN(CC)CC
origin: C1C2CC3CC([N+](C)(C)C)(C2)CC1C3, cl: N(C)(C1CCCCC1)C1CCCCC1, target: C12([N+](C)(C)C)CC3CC(CC(C1)C3)C2
origin: C(C)CN(CCC)CCC, cl: CCN(CC)CC, target: C(CC)NCCC
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: CCCN(CCC)CCC, target: CCN(CC)CC
origin: c1ccccc1CN1CCCC1, cl: CCN(CC)CC, target: Fc1cccc(C[N+](Cc2cc(F)ccc2)(C)C)c1
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C(C)CN(CCC)CCC, target: N(C)(C)C
origin: CCN(CC)CC, cl: C(C)CC[n+]1ccc(c1)C, target: OCCN(CC)CC
origin: CCN(CC)CC, cl: c1(C(O)C(C)NC)ccccc1, target: C1CCCCC1N
origin: C1CCCCC1N(C1CCCCC1)C, cl: C(C)CN(CCC)CCC, target: C(C)[N+](CC)(CC)CC
origin: c1ccc(CN2CCCC2)cc1, cl: CCN(CC)CC, target: c1c[n+](CC)c(C)n1C
origin: C1CCCCC1N(C)C1CCCCC1, cl: C[n+]1c(C)c(n(C)c1C)C, target: CCN(CC)CC
origin: C1CCC(CO)N1Cc1ccccc1, cl: C1CN(Cc2ccccc2)CC1, target: CC(C)NC(C)C
origin: c1cccc(CN2C(CO)CCC2)c1, cl: n1(C)c([n+](cc1)CC)C, target: C1CCCCCN1
origin: C([N+]1(C)C(CO)CCC1)c1ccccc1, cl: c1ccc(cc1)CN1CCCC1CO, target: C(C)CN(CCC)CCC
origin: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2, cl: C([N+](CC)(CC)CC)C, target: C1C2CC3CC([N+](C)(C)C)(C2)CC1C3
origin: C(N(CC)CC)C, cl: C1CCCN1Cc1ccccc1, target: CCN(CC)CC
origin: C1CCCCCN1, cl: C1OCCN2CCOCCOCCN(CCOC1)CCOCCOCC2, target: N1CCCCCC1
origin: Cc1[n+](CC)ccn1C, cl: C1CCCC(N(C)C2CCCCC2)C1, target: N1CCCCCC1
origin: C1C(N(C2CCCCC2)C)CCCC1, cl: CN(C1CCCCC1)C1CCCCC1, target: C(C)N(CC)CC
origin: C1CCN(Cc2ccccc2)C1CO, cl: C(C)CC[n+]1ccn(c1C)C, target: c1ccc(CN2CCCC2)cc1F
origin: C1CCCCC1N(C1CCCCC1)C, cl: c1c(C[n+]2ccn(C)c2)cccc1, target: C(N(CC)CC)C
origin: c1ccc(C(O)C(C)NC)cc1, cl: C1([N+]2(CCCC2)C(CCC1)C)C, target: CCN(CC)CC
origin: C1CCCCC1N(C1CCCCC1)C, cl: Cn1c(C)c(C)[n+](C)c1C, target: C(C)N(CC)CC
origin: C1CCN(Cc2ccccc2)C1, cl: [C@H+](C)(C(C)C(c1ccccc1)O)C, target: c1(C[N+](Cc2cccc(F)c2)(C)C)cccc(F)c1
origin: N(CCC)(CCC)CCC, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: c1ccc(CN2C(CO)CCC2)cc1, target: C(C)N(CC)CC
origin: c1cccc(CN2CCCC2)c1, cl: c1[n+](c(C)n(c1)C)CCCC, target: C(C)CN(CCC)CCC
origin: c1ccccc1CN1CCCC1, cl: C(N(CC)CC)C, target: [N+](CC)(CC)(CC)CC
origin: C1C(N(C2CCCCC2)C)CCCC1, cl: c1c(CN2CCCC2)cccc1, target: C([N+](CC)(CC)CC)C
origin: c1n(C)c[n+](CCCC)c1, cl: N1CCCCCC1, target: c1(C)[n+](C)cc(C)n1C
origin: C1NCCN(Cc2ccccc2)C1, cl: C(N(CC)CC)C, target: C1CCCC(N(C2CCCCC2)C)C1
origin: c1c(F)cccc1CN1CCCC1, cl: C(CC)N(CCC)CCC, target: C1CCCN1Cc1ccccc1
origin: C12CC(C3[N+](C)(CCCC3)C1)CN1CCCCC21, cl: C12CC(CN3CCCCC31)C1[N+](CCCC1)(C)C2, target: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2
origin: C1CCCCC1N(C1CCCCC1)C, cl: CCN(CC)CC, target: CN(C)C
origin: c1(C)n(C)c(C)[n+](C)c1C, cl: CCN(CC)CC, target: c1n(C)c(C)[n+](CC)c1
origin: C1CN(Cc2cccc(F)c2)CC1, cl: C1CCC(N(C)C2CCCCC2)CC1, target: Cc1[n+](CC)ccn1C
origin: C(C)N(CCO)CC, cl: CCCC[n+]1ccn(c1)C, target: C(N(CC)CC)C
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C(N(CC)CC)C, target: C1CCC(N(C)C2CCCCC2)CC1
origin: c1ccccc1CC1N(Cc2ccccc2)CCNC1, cl: c1cccc(CN2CCCC2CO)c1, target: c1(CN2CCCC2)c(F)cccc1
origin: C1(N(C2CCCCC2)C)CCCCC1, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: C(N1C(CO)CCC1)c1ccccc1, cl: CCN(CC)CC, target: C1CCCN(Cc2ccccc2)CC1
origin: c1c(CN2CCCC2)cccc1, cl: C(N(CC)CC)C, target: N1(Cc2ccccc2)CCC[C@H]1CO
origin: C(C)N(CC)CC, cl: C(N(CC)CC)CO, target: c1c(C)c(C)c[n+](CCCC)c1
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: CCN(CC)CC, target: CCC[N+](CCC)(CCC)CCC
origin: c1ccccc1CN1CCCC1, cl: [C@H4CCCCN4CCCCC4CC(C3)CCCC2, target: N1(Cc2c(F)cccc2)CCCC1
origin: C(C)[n+]1ccn(C)c1C, cl: CCN(CC)CC, target: c1(C[N@+]2(C)CCC[C@H]2CO)ccccc1
origin: C1CCCCC1N(C1CCCCC1)C, cl: Fc1cc(C[N+](C)(C)Cc2ccc(F)cc2)ccc1, target: CCCN(CCC)CCC
origin: C1N(Cc2ccccc2F)CCC1, cl: CCCN(CCC)CCC, target: C(C[N+](CCC)(CCC)CCC)C
origin: c1ccccc1C(O)C(C)NC, cl: [N+](C)(C)(C)C(C(c1ccccc1)O)C, target: C1CCCC(N(C)C2CCCCC2)C1
origin: C1CC(N(C2CCCCC2)C)CCC1, cl: CCN(CC)CC, target: C1CCCC(N(C)C2CCCCC2)C1
origin: C1CCN(Cc2ccccc2)C1CO, cl: CCCC[n+]1cn(cc1)C, target: CCC[N+](CCC)(CCC)CCC
origin: c1cc(CN2CCCC2)ccc1, cl: CCNCC, target: c1(C)n(C)cc[n+]1CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: CC(C(c1ccccc1)O)NC, target: CCN(CC)CC
origin: C1NCCN(CC)C1, cl: Fc1cc(ccc1)CN1CCCC1CO, target: CCN(CC)CC
origin: C(O)C[N+](CCO)(CCO)C, cl: N1CCCCCC1, target: C([N+](CCO)(C)CCO)CO
origin: C(C)(N(CC)C(C)C)C, cl: C1C2C3CCCCN3CC(C3CCCC[N+]13C)C2, target: C(CN(CCC)CCC)C
origin: C(CCC)[n+]1ccn(C)c1C, cl: C1CN(Cc2ccccc2)C(C1)CO, target: [n+]1(CCCC)ccn(C)c1
origin: C(CCC)[n+]1ccn(C)c1C, cl: c1ccc(cc1)CN(C)C, target: [n+]1(CC)ccn(C)c1C
origin: CN(C)c1ccncc1, cl: C1C[N+]2(C(CC1)C1CC(C3N(CCCC3)C1)C2)C, target: N(CCC)(CCC)CCC
origin: C(C)N(CC)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C(c1cc(F)ccc1)N1CCCC1, cl: c1ccc(cc1)CN1CCCC1, target: N=C(N(C)C)N(C)C
origin: C1CCN(Cc2ccccc2)C1, cl: C1C2CC3CC([N+](C)(C)C)(C2)CC1C3, target: C1N(Cc2ccccc2)CCCC1
origin: c1ccccc1C(O)C(C)NC, cl: C1[N+](C)(C)C2CC3CC1CC(C2)C3, target: c1[n+](CC)c(C)n(C)c1
origin: C(CN(CCC)CCC)C, cl: C(C)CC[N+]1(CCCC1)C, target: C(C)[N+](CC)(CC)CC
origin: c1ccc(CN2CCCC2)cc1, cl: CC[n+]1ccn(c1C)C, target: CCN(CC)CC
origin: C1CCN(Cc2ccccc2F)C1, cl: Fc1cc(ccc1)CN1CCCC1, target: C(CC)N(CCC)CCC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: CCN(CC)CC, target: N(C)(C)C
origin: Cn1c(C)[n+](CCCC)cc1, cl: C12CC3CC(C2)CC(C3)(C1)[N+](C)(C)C, target: c1c[n+](CCCC)c(C)n1C
origin: c1cccc(CN2C(CO)CCC2)c1, cl: N(CC)(CC)CC, target: C(N(CC)CC)C
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C(CN(CCO)CCO)O, target: CCN(CC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: c1cn(c([n+]1Cc1ccccc1)C)C, target: CN(C)C
origin: c1ccccc1CN1CCCC1, cl: C1CCCCC1N(C)C1CCCCC1, target: c1ccc(CN2CCCC2)cc1
origin: C1CCCCC1N(C1CCCCC1)C, cl: Fc1cc(CN2CCCC2)ccc1, target: C[N+]1(CCCC)CCCC1
origin: C1CCCCC1N(C)C1CCCCC1, cl: C(N(CC)CC)C, target: C(C)N(CC)CC
origin: C1CCCCC1N(C1CCCCC1)C, cl: C1CCCC(N(C)C2CCCCC2)C1, target: c1cccc(CN2CCC[C@H]2CO)c1
origin: C[N+]12C(CCCC1)C1CC(C2)C2N(CCCC2)C1, cl: CC[N+]1(C2CC3CC(C2)CC(C3)C1)C, target: N12[C@@H](CCCC1)[C@@H]1C[N+]3(C)CCCC[C@@H]3[C@@H](C1)C2
origin: C1(CO)CCCN1Cc1ccccc1, cl: C(N(CC)CC)C, target: C1CCCCC1N(C)C1CCCCC1
origin: CN(C)c1ccncc1, cl: N(CC)(CC)CC, target: C(N(CCC)CCC)CC
origin: C1CCN(Cc2ccccc2)C1CO, cl: O[C@N(C)(C)C, target: CCN(CC)CC
origin: C1CCCN1Cc1ccccc1, cl: C(N(CCC)CCC)CC, target: C[N+](Cc1ccc(F)cc1)(Cc1ccc(F)cc1)C
origin: OCC1N(Cc2ccccc2)CCC1, cl: c1(CN2CCCC2)ccccc1, target: c1cccc([C@@H]([C@@H](NC)C)O)c1
origin: C1CCN(Cc2ccccc2)C1, cl: c1ccc(CN2CCCC2)cc1, target: C(CN(CCN(CCO)CCO)CCO)O
origin: N(C)(C(C)C(c1ccccc1)O)C, cl: C([n+]1ccn(c1C)C)C, target: CCN(CC)CC
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C(C(c1ccccc1)O)(N(C)Cc1ccccc1)C, cl: C(C)CCCC[n+]1ccn(c1C)C, target: c1cccc([C@@H](O)[C@H](C)NC)c1
origin: C1CCN(Cc2ccccc2)C1, cl: N1(C(CO)CCC1)Cc1ccccc1, target: c1ccc(F)cc1CN1CCC[C@H]1CO
origin: C1CCCCC1N(C1CCCCC1)C, cl: c1(CN2CCCC2)ccccc1, target: C([N+](CCC)(CCC)CCC)CC
origin: CN(C(C)C(c1ccccc1)O)Cc1ccccc1, cl: CC[N+](CC)(CC)CC, target: C(N1[C@H](CO)CCC1)c1ccccc1
origin: c1cc(CN2CCCC2)ccc1, cl: N(CCC)(CCC)CCC, target: c1ccc(F)cc1C[N+](C)(Cc1cccc(F)c1)C
origin: c1c(CN2CCCC2CO)cccc1, cl: c1ccc(F)c(c1)CN1CCCC1CO, target: C(N(CCC)CCC)CC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: Fc1c(cccc1)CN1CCCC1, target: CCN(CC)CC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C(C)CC[n+]1c(C)n(C)cc1, target: C(C)CCN(CCCC)CCCC
origin: c1ccc(F)cc1CN1CCCC1, cl: CN(C)C(N(C)C)=N, target: Fc1cc(CN2CCCC2)ccc1
origin: C([n+]1c(C)n(C)cc1)CCC, cl: N(CC)(CC)CC, target: C(N(CC)CC)C
origin: C1CCCCC1N(C1CCCCC1)C, cl: C(N(CCC)CCC)CC, target: c1c([C@H]([C@@H](NC)C)O)cccc1
origin: CN(C1CCCCC1)C1CCCCC1, cl: CCCC[n+]1c(n(C)cc1)C, target: C(C)(O)N(CC)CC
origin: c1ccccc1CN1CCCC1, cl: CN(C1CCCCC1)C1CCCCC1, target: c1(C[N+](C)(Cc2ccccc2)C)ccccc1
origin: c1cc(C(C(C)NC)O)ccc1, cl: C1OCCN2CCOCCOCCN(CCOCCOCC2)CCOCCOCCOCCOCCOCCO1, target: C(N(CC)CC)C
origin: c1ccc(CN2CCCC2CO)cc1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C1CCC(CO)N1Cc1cc(F)ccc1, cl: C(N1CCCC1)c1cccc(F)c1, target: c1c(CN2CCCC2)cccc1F
origin: C1CCCN1Cc1cccc(F)c1, cl: CC[N+](CC)(CC)CC, target: C(c1ccccc1)N1CCCC1
origin: C1C2CC3CC1CC(C2)[N+](C)(CC)C3, cl: C(N(CC)CC)C, target: C12CC3CC(CC([N+](CC)(C)C1)C3)C2
origin: C12CC3CC(CC([N+](C)(C)C)(C3)C1)C2, cl: CCN(CC)CC, target: C1CC[N+]2(C)CC3CC(CN4CCCCC43)C2C1
origin: C1CCC2C3CC(C4CCCC[N+]4(C)C3)CN2C1, cl: [N+](CCO)(C)(CCO)CCO, target: [N+]12(C)C[C@H]3[C@H]4N(C[C@@H]([C@H]1CCCC2)C3)CCCC4
origin: C1CCCC2C3CC(C4CCCCN4C3)C[N+]12CC, cl: C1CC(N(C1)Cc1ccccc1)CO, target: C1CC2[N+](C)(CC3C4N(CC2C3)CCCC4)CC1
origin: [n+]1(C)c(C)n(C)c(C)c1C, cl: C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2, target: C1C[N+](C)(CCCC)CC1
origin: C1CCN(Cc2ccccc2)C1CO, cl: CCNCC, target: c1c(CN2[C@H](CO)CCC2)cccc1
origin: c1ccccc1CN1CCCC1CO, cl: c1([n+](ccn1C)CCCC)C, target: C[C@@H]([C@@H](c1ccccc1)O)NC
origin: C1CCCCC1N(C)C1CCCCC1, cl: C(N(CC)CC)C, target: CN(C)C
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C(C)CC[n+]1cn(C)cc1, cl: C(N(CCO)CCO)CO, target: c1cc(N(C)C)ccn1
origin: C1CC(N(C2CCCCC2)C)CCC1, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C1CCN(Cc2ccccc2)C1CO, cl: C(CCC[n+]1ccn(c1)C)CCC, target: C(N(CC)CC)C
origin: C1C2CC3CC(CC1C3)C[N+]2(C)CC, cl: C1N2CC3C4CCCC[N+]4(C)CC(C3)C2CCC1, target: C1C2CC3CC1C[N+](CC)(C)C(C3)C2
origin: C1CC(N(C2CCCCC2)C)CCC1, cl: N(C)(C(C)C(c1ccccc1)O)C, target: C(N(CC)CC)C
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C1CCCC2C3CN4CCCCC4C(C3)C[N+]12C, target: C1CC(N(C)C2CCCCC2)CCC1
origin: C1C2C3CCCCN3CC(C3CCCC[N+]13C)C2, cl: C(C)CC[n+]1ccn(c1)C, target: C1CCCN2C[C@H]3[C@H]4CCCC[N+]4(C)C[C@@H]([C@H]12)C3
origin: C(O)CN(CC)CC, cl: C(CO)N(CCO)C, target: CCN(CC)CC
origin: C(O)C1CCCN1Cc1ccccc1, cl: C([N+](CC)(CC)CC)C, target: O[C@@H]([C@H](C)NC)c1ccccc1
origin: c1(F)ccccc1CN1CCCC1, cl: N(CCO)(CCO)CCO, target: C[N+](Cc1ccccc1)(C)Cc1ccccc1
origin: C(N1C(CO)CCC1)c1ccccc1, cl: Cc1c[n+](c(n1C)C)CCCC, target: CC[n+]1c(C)n(C)cc1
origin: CCN(CC)CC, cl: CCC[N+](CCC)(CCC)CCC, target: CCN(CC)CC
origin: C1CCCCC1N(C1CCCCC1)C, cl: C(C)(C(c1ccccc1)O)NC, target: CCN(CC)CC
origin: CCN(CC)CC, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: C1CN(Cc2ccccc2F)CC1, cl: CCN(CC)CC, target: N1(Cc2ccccc2)CCCC1
origin: C(c1cccc(F)c1)N1CCCC1, cl: OC(C(C)NC)c1ccccc1, target: C1CN(Cc2ccccc2)[C@H](CO)C1
origin: C(C)[N+](CC)(CC)CC, cl: N1(Cc2ccccc2)C(CCC1)CO, target: CCN(CC)CC
origin: N(CC)(CC)CC, cl: C(C)CC[n+]1c(C)n(C)cc1, target: CCN(CC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: CC(CO)N(CC)CC, target: CCN(CC)CC
origin: C1C2CC3CC1([N+](C)(C)C)CC(C3)C2, cl: CCN(CC)CC, target: C1[C@@H]2C[C@H]([C@@H]3CCCCN13)C[N+]1(C)CCCC[C@H]21
origin: C1CNCCCC1, cl: N(CCO)(CCO)C, target: C(CCNCCCCC)CC
origin: C1CN(Cc2c(F)cccc2)CC1, cl: C1CCN(C1)Cc1ccccc1, target: OCCN(CCN(CCO)CCO)CCO
origin: C1CN(Cc2ccccc2)C(CO)C1, cl: C1C[N+]2(C(C3CN4C(CCCC4)C(C3)C2)CC1)C, target: C(C)CN(CCC)CCC
origin: C1C(N(C2CCCCC2)C)CCCC1, cl: C1N2C(CCC1)C1CC(C3CCCC[N+]3(C1)C)C2, target: CN(C)C
origin: CCN(CC)CC, cl: N(CCO)(CCO)CCN(C)CCO, target: CCN(CC)CC
origin: C1(N(C2CCCCC2)C)CCCCC1, cl: c1c(cccc1)CN1CCCC1, target: CCN(CC)CC
origin: C1CCCN1Cc1ccccc1, cl: C(C)CCCNCCCCC, target: C(N(CCC)CCC)CC
origin: C(C)N(CC)CC, cl: C1CCCCN1, target: C(N(CC)CC)C
origin: Cn1c(C)c(C)[n+](C)c1C, cl: c1(N(C)C)ccncc1, target: c1cnccc1N(C)C
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C(N(CC)CC)CO, target: C1(N(C)C2CCCCC2)CCCCC1
origin: c1ccccc1CN1CCCC1, cl: N(CCCC)(CCCC)CCCC, target: c1c(F)c(CN2CCCC2)ccc1
origin: C1CN(Cc2ccccc2)C(CO)C1, cl: C(C)(C(O)c1ccccc1)NC, target: c1ccc(CN2[C@H](CO)CCC2)cc1
origin: C1CCCCC1N(C1CCCCC1)C, cl: CC(C(O)c1ccccc1)C(C)NC, target: c1ccc(C[n+]2c(C)n(C)cc2)cc1
origin: c1cc(CN2CCCC2)ccc1, cl: C(NC)(CC)CC, target: CCC[N+](CCC)(CCC)CCC
origin: CCCC[n+]1ccn(C)c1C, cl: CN(C1CCCCC1)C1CCCCC1, target: CN(C)C
origin: C1CC(N(C2CCCCC2)C)CCC1, cl: [n+]1(cn(cc1)C)CCCC, target: CC[N+](CC)(CC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: c1(F)cccc(C[N+](C)(C)Cc2ccccc2)cc1, target: C1CCCN1Cc1ccccc1
origin: c1cccc(CN2C(CO)CCC2)c1, cl: N(CCO)(CCO)CCN(CCO)CCO, target: CCN(CC)CC
origin: c1c(C(O)C(NC)C)cccc1, cl: C(C)CNCCC, target: OC[C@@H]1CCCN1Cc1ccccc1
origin: C(C)CN(CCC)CCC, cl: CCN(CC)CC, target: C(CO)N(CCO)CCO
origin: C1CCCCC1N(C)C1CCCCC1, cl: C(C)CCCNCCCCC, target: CCCN(CCC)CCC
origin: C12CC3CC(C1)CC(C3)C[N+]2(C)CC, cl: C(C[N+](C)(CCO)CCO)O, target: [N+]1(C)(CC)CC2CC3CC1CC(C2)C3
origin: C1CC[N+]2(C)C(C3CN4CCCCC4C(C2)C3)C1, cl: C(C)CN(CCC)CCC, target: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2
origin: c1cc(CN2CCCC2)ccc1, cl: O1CCN2CCOCCOCCN(CCOCC1)CCOCCOCC2, target: c1cc(F)ccc1CN1CCCC1
origin: C1CC(N(C2CCCCC2)C)CCC1, cl: C(C)CCCCCC[N+](C)(C)CCCCCC, target: N(CC)(CC)CC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: CN(C1CCCCC1)C1CCCCC1, target: C(N(CC)CC)C
origin: N(C)(C1CCCCC1)C1CCCCC1, cl: CN[C+](C)(C)C, target: C(CCC)NCCCC
origin: C(N(CC)CC)C, cl: C(N(CCO)CCO)CO, target: C1CCC(N(C)C2CCCCC2)CC1
origin: c1ccccc1CN1CCCC1, cl: c1[n+](CCCC)ccn1C, target: N(C)(CCO)CCO
origin: c1ccc(C(O)C(C)NC)cc1, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: c1c(CN2CCCC2)cccc1, cl: N(CC)(CC)CC, target: Cc1[n+](CC)ccn1C
origin: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2, cl: C([N+](CC)(CC)CC)C, target: C1[C@@H]2[C@@H]3[N+](C)(CCCC3)C[C@H]1[C@@H]1CCCCN1C2
origin: c1ccc(CN2CCCC2)cc1, cl: C1CCC2C3CC(C4N(C3)CCCC4)C[N+]2(C)C1, target: C1CCCCC1N(C1CCCCC1)C
origin: C1CCCCC1N(C)C1CCCCC1, cl: CCN(CC)CC, target: C(C)C[N+](CCC)(CCC)CCC
origin: C(C1CCCN1Cc1ccccc1)O, cl: CCN(CC)CC, target: N(C)(C(=N)N(C)C)C
origin: C1CCN(Cc2ccccc2)C1CO, cl: c1cccc(CN2CCCC2CO)c1, target: c1cccc(CN2C(Cc3ccccc3)CNCC2)c1
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C1[C+](CC1)(CCCC)C, target: C(C)N(CC)CC
origin: C1CN(Cc2ccccc2)CC1, cl: N12CCOCCOCCN(CCOCCOCC1)CCOCCOCC2, target: N=C(N(C)C)N(C)C
origin: c1cccc(CN2CCCC2CO)c1, cl: C1CCC(N(C2CCCCC2)C)CC1, target: C(CN(CCO)C)O
origin: C1CCCN1Cc1ccccc1, cl: C(N(CC)CC)CO, target: CC(NC(C)C)C
origin: [n+]1(CCCCCC)ccn(C)c1C, cl: Cc1[n+](C)c(c(n1C)C)C, target: CCN(CC)CC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: N(C(C)C)(C)C, target: C(CN(CCC)CCC)C
origin: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C, cl: N(C)C(C)C(O)c1ccccc1, target: C12([N+](C)(C)C)CC3CC(CC(C1)C3)C2
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: c1cc(CN2CCCC2)ccc1, target: C(C)[N+](CC)(CC)CC
origin: Fc1cc(CN2CCCC2)ccc1, cl: c1([n+](cccc1)CC)CCCC, target: C(C)CN(CCC)CCC
origin: c1ccccc1C(O)C(C)NC, cl: C1OCCN2CCOCCOCCN(CCOC1)CCOCCOCC2, target: C1COCCOCCN2CCOCCOCCN1CCOCCOCC2
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: c1[n+](ccn1CC(C)C)C(C)C, target: C(C)N(CC)CC
origin: C1CCCCCN1, cl: c1c(CN2CCCC2CO)cccc1, target: C(C)N(CC)CC
origin: c1(C)n(C)cc[n+]1Cc1ccccc1, cl: c1(CN2CCCC2)ccccc1, target: C(CN(CCC)CCC)C
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: N(C)(C)C(C)C(c1ccccc1)O, target: N(CC)(CC)CC
origin: c1ccc(CN2CCCC2CO)cc1, cl: C([N+](CCC)(CCC)CCC)CC, target: c1ccccc1CN1[C@H](CO)CCC1
origin: C(C)CN(CCC)CCC, cl: c1cc(CN2CCCC2)ccc1, target: N=C(N(C)C)N(C)C
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: CCN(CC)CC, target: n1ccc(N(C)C)cc1
origin: c1ccccc1CN1CCCC1, cl: CCN(CC)CC, target: C1CCCCNC1
origin: C([N+](CCC)(CCC)CCC)CC, cl: C(CN(CCC)CCC)CC, target: C1(N(C2CCCCC2)C)CCCCC1
origin: C(c1ccccc1)N1CCCC1, cl: N(C)(C)CCCCCCCN(C)C, target: C1NCCN(CCN)C1
origin: c1ccccc1CN1C(CO)CCC1, cl: [C@H+](C)(C)C(C)C(O)c1ccccc1, target: C(N(CCC)CCC)CC
origin: c1c(CN2CCCC2)cccc1, cl: CC(C(c1ccccc1)O)NC, target: N1(Cc2ccccc2)CCC[C@H]1CO
origin: C(C)CN(CCC)CCC, cl: c1ccc(cc1)CN1CCCC1CO, target: C(N(CC)CC)C
origin: C1(N(C2CCCCC2)C)CCCCC1, cl: N(CC)(CC)CC, target: C1CCCCC1N(C)C1CCCCC1
