origin: C1N(CN(CCC(CCCCCCCCCC, cl: C1C1C(C)NCNNCCcNC, target: C1NCCN(CCN)C1
origin: [[[N+]C(CN+](CC(C1N+]32CNC]C(C(CCCC3)C1N+]CC2)3)CC11, cl: C1[[CC(CCN+](CC(CCC)CC1CC(C2)C2, target: C1[C@H]2[N+](C)(C[C@H]3[C@H]4N(CCCC4)C[C@@H]2C3)CCC1
origin: C1cc(((1CP+]N(C)CN+]], cl: CNN)C(CCNCcNCcccccCCcCCCCCC(, target: c1ccccc1[C@H](O)[C@@H](N(C)Cc1ccccc1)C
origin: C(C1N(ccNCNNnccNnn, cl: C(C)1cCc)CcNcccccC, target: N(CC)(CC)CC
origin: Cn+]1((CCCCN++C(CN+CCCC(CCCC3)C(N+CC(C2)CNNCN(C2(C2, cl: C([(CC2ccccc2)C(CC2ccccc2)C[11, target: [N+]12(C)C[C@H]3[C@H]4N(CCCC4)C[C@H](C3)[C@H]1CCCC2
origin: C1OC(((N1C1, cl: C[OOC[CCC))CcCNCNNN, target: C1CCCC(N)C1
origin: C1NCCCCCOC1NCNCCcCC, cl: C1N1CC)))C)CCCCCC(C, target: C(C)N(CC)CC
origin: C[N((CCCCC1(cCcc, cl: C1OCCCCCC)C[CccCCCc, target: C1CC(N)CCC1
origin: c1CCCcCc)CcccccCccC, cl: ONO1CCCCNCcNCcCccCCCCCCCCCCCCcC, target: N(CC)(CC)CC
origin: C11(Cc)CcNccccCCCCCCCC(((cC1c1C, cl: CN++(((CCCCN+]C(C)CCCC1ccccc1, target: CCN(CC)CC
origin: C111N+]1CC))(C1C)C1C, cl: C1cONCC((C)CN[NNN, target: CCC[N+](CCC)(CCC)CCC
origin: N11(CcNCcNCcccccC(CCCCCC(C(cCc, cl: C11C1CcN)Cc[NNNC, target: CCN(CC)CC
origin: C1CCN(21((CCCcCC[CC1, cl: CN=CCCC[(CC2, target: C1CCCCC1N(C)C1CCCCC1
origin: C1(((CCCC1[(cc)ccc1, cl: C([N+]NCCN+CCC(CN+](CC(CC112)C1N+]1N1cN++12122)1112)C2, target: C1CCCN1Cc1cc(F)ccc1
origin: C1[CN(CC1, cl: C1(CCNCC2ccccc2)C(CC1ccccc2)C1, target: C1CCCCNC1
origin: C1CCCN+]1Cc)(Cc)CcCc, cl: C1[cCN2C(CCN+]+2C))ccc11, target: C(C)[N+](CC)(CC)CC
origin: C1(C1CNNNcccCc(CCCcC(CCC(CCCCccccc1cCCCCCCC11C12111111111CC1111111111111111111111111C11111111111111CC1111C11111111111C1111111C1C111C11111111111111111111111C111111111111111111111C111C1111111111111cC1111111111C11111111111, cl: C1ccccCNNCN(cn+]], target: CN(C)C
origin: C(CCN+CC(CN+]C(CCN+]C(CN+]]32CNH]3CC(CC322)C))CC)C, cl: C1[[CN+](CCC(CCCCCCC(CC(C2)C2, target: N12[C@H]([C@H]3C[C@H]([C@@H]4[N+](C)(CCCC4)C3)C1)CCCC2
origin: C1OCN(CCC1cc(((1, cl: c1NOC1CC)CcNCccNccC(CC(CCCCCC1C, target: C1CCCN1Cc1ccccc1
origin: C(NNN+](C)2)(C)C)C)C1c[cC, cl: C11N+](C))(C11Ccc(ccccC, target: C(C[N+](CCC)(CCC)CCC)C
origin: C1CC(2[1C, cl: C(CN+](C)C(Cc)CcCccCccc, target: C1CCCCNC1
origin: c1c)CNN+](CC1)(C11)C, cl: C1OCCCOCC)CnCCC(CCc, target: C(C)C[N+](CCC)(CCC)CCC
origin: C1ccCnN+](CC2ccccc2))(C)C)ccC)ccc1, cl: C11N+]1C)1(Cc2c2CCccc, target: c1c(C[N+](Cc2ccccc2F)(C)C)c(F)ccc1
origin: C1NCC(CC)CcNCNCCcCC, cl: C1cccc(1C(N+](Cc(CC1cccc(1)C, target: C(C)N(CC)CC
origin: c11(CcNCcccNNccCCC(CCCCC(CC(11C1c11C111111111111111111111111111111, cl: CNO1C)OC))C[CccCC(C(C(CCCC(CCC(CC1CC11C, target: CCN(CC)CC
origin: C11CCc1CcCCNCn(CCCCC((c(CC, cl: c11NN+]1C))C(C1C)CCC, target: CCN(CC)CC
origin: CCC(NCC((CC2222(C11CC1)C222C2CC2, cl: NN(C)CCNNCCCCCCCCCCC((CCCCCCCCCCCCCC, target: O1CCN2CCOCCOCCN(CCOCC1)CCOCCOCC2
origin: CN+]+1(CCCN+](C(CC(C(2CCN+]4323)CN+H]N2, cl: C1CCCCCCCCC[C22)CC[C11, target: [C@@H]12C[C@@H](CN3CCCC[C@@H]13)[C@@H]1[N+](C)(C2)CCCC1
origin: C1cCCCNC)NCNC[NC(CCCCCCCCCCCCC, cl: C1CCN2N1N(CCCCCCCCC1, target: C(N(CC)CC)C
origin: CNCC((CC1, cl: CN1(CcN)CCCNcc[cCCCC, target: C1CCCNCC1
origin: C11(Cc1CcN[cCc(CC(CCCC(CC((CCCCC1, cl: C12(CcNCcCCcCccCCCCCCCCCCCC(1CC, target: CCN(CC)CC
origin: C1cCcccc[)CCCC2)cc(c1, cl: C1CCC3CC(C2)CC(CN+](C2(C)C3)C3, target: c1(F)c(CN2CCCC2)cccc1
origin: C1O1ccccc1)((C((C1, cl: CNON+](CCCC)C(CC2ccccc2)C11, target: C(c1ccccc1)N1CCCC1
origin: C1ccC[2C(CC2)cccc1, cl: c11cc(n+](cc1c1ccCCcCc, target: c1c(CN2CCCC2)cccc1
origin: C1[CC2((CC[C21CCN(C121)Cc2CC2, cl: C11cc((CNN+](Cc(Cc1ccccF)cc2)C)cc1, target: C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2
origin: C(C(C(N2C, cl: C1N+]1C)(CCCC2CCC(CC((C(C2)C2, target: C1CNCCCC1
origin: C(N1(CC)C))C, cl: c(C)C(Cc)CcN[NnNcC, target: C(CN(CC)CC)O
origin: cN1(C)NCcNCNCNCNCCcCCC(CCCCCCCC1CC1C111111C111111CC1111, cl: C1N))C(CcNCccCNccCC, target: CCN(CC)CC
origin: C1CCCNCCCC)CcCNCNc, cl: C1[CncnCncn+](ccccc)n1Ccc, target: C(CC)N(CCC)CCC
origin: C1((((CCCCC1CCCCC2)CC1, cl: C(CCO)(C)NNCcCNNNcNC, target: C1CCC(N(C)C2CCCCC2)CC1
origin: C1CCC((C(CN+]1CC(CCCCCCC1[3)C2)C2, cl: C1NCCCC2cccF)ccc2)C[1(, target: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2
origin: C1NNN1CC[Cc)NNCcc, cl: c1OCCCOCNNCNCccCCn, target: C(C)N(CC)CC
origin: C1OCCCCC))CcCcCcCcCCCC((((CC1(11, cl: C(CCC2ccccc2)C(OC11, target: C(N(CC)CC)C
origin: C1NCCCOCn))cOCNccccC, cl: CNO1CCCCCCCCCCCCCCCCCCCcC, target: C(N(CC)CCO)C
origin: CN(CNCC)2cccc)ccc1)C[CCCC, cl: C1NCCC2C))CcCCccCC, target: C1CCN(Cc2cc(F)ccc2)C1
origin: C1N)ONNN+]1ccn(c(c1, cl: C11N+](CC)(C11C11Cccc, target: C(CCC)[n+]1ccn(C)c1
origin: C1OCCCOC)NcCcCCCCCCCCC, cl: C1C)C1CcCCcNCccCc, target: C(N(CC)CC)(C)O
origin: C1cCCC)C))[[CNc[C(, cl: C11cc(F[N+](CC2cccF)ccc2)(C)C)ccc1, target: C(N(CC)CC)C
origin: C[[2C(NCCN+](CC(CCC)CC1CC(C2)C2, cl: C1CCC(CN+](CC)(CCCC(C12C2)C1)C2, target: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2
origin: C[(CcCNCCCCC)CCCC, cl: CN+]1C))(Cc)cCc)C1cCcc, target: CN(C)C(N(C)C)=N
origin: C11(CcCCcccccccCCCCCCCCcccc1Cc1111C111, cl: C1NCCC(((CC2, target: CCN(CC)CC
origin: C1OC[(1(1, cl: C1O)NNN+]1CCN)(CCC)C, target: C1CCCCNC1
origin: C1OCC))C))CNNccCC, cl: C1[CN(N(C12ccccc2)C1CC, target: C(N(CC)CC)C
origin: C1cCnc(ccccc)cn+](cCc1C, cl: CN1N+]1C)1(C11C1CCcC, target: c1(C)n(C)c(C)[n+](C)c1C
origin: C11CN+](C)))(C11)CcC, cl: C1O1CC)CNOCNONcCCCCCCCCC, target: CCC[N+](CCC)(CCC)CCC
origin: CNC1CCCCCNCcCNcccCcCCCCCCCCcc1c1Cc1CCCC11CC1CC1CC11111C11111111C1111111111, cl: C11(CCCCcNNcCccCCCCC(C(C((ccCC, target: C(N(CC)CC)C
origin: C1(ccc(CNN+](Cc2ccccc2F(C)C)C1, cl: C1C(N(C((C(2CC2(CC1C11)Cc2CC2, target: c1cccc(C[N+](Cc2ccccc2)(C)C)c1
origin: C1[CNNN1N(C)CCCCCC(1, cl: C1OCCCCCNccCCcCcc, target: C1CCCCC1N(C)C1CCCCC1
origin: C1CCCCO)C1N)[N[NNccc, cl: C(C)CN(CCO)C(CNCCcN, target: C(N(CCC)CCC)CC
origin: C11(CcNCcNCccccCCCC((((CCC, cl: C1ONC(CCNCcNNcccCCCC(CcCC(C, target: CCN(CC)CC
origin: C1CN+](CCCCN+](C(CC1CN++C2CCC13)CN+C1N1CN+]1(C)C, cl: C1[CCCC2ccccc2)C(CCCCC, target: C1[C@@H]2C[C@@H](CN3[C@H]2CCCC3)[C@@H]2[N+]1(C)CCCC2
origin: [1(cC[ccccn2C(CC2)cc1, cl: C1[N+]1C)2(Cc)C11CcCcCc, target: c1c(F)cc(CN2CCCC2)cc1
origin: CN+]1CcC(CC)(Cc)CcCCcc, cl: C1[ccc(1C[N+]1c(C)n(c)cc1, target: [N+](CC)(CC)(CC)CC
origin: C11(CcNCc[CcNcCCCCCCC(CC(CCcC1111C1CC111, cl: C11[N+](C)))(C1CCC1C, target: CCN(CC)CC
origin: C1C1cccc(1)(C)C, cl: CNN1C(Cc)CcNccccccCC, target: N(c1ccncc1)(C)C
origin: C1OCC)OCNON[[NcCCCCCCCCCCCCC1CCCC1C1, cl: C1[ccC[2)(CC2ccccc3)CCC22)c(c1, target: C(N(CC)CC)C
origin: C11N+]1c(CCn(cCcc1, cl: N1cCnccc)cc[n+]1CC, target: CC[n+]1c(C)n(C)cc1
origin: C11(Cc)CcNCNcNNcCCCCCC(((Cc1cC1, cl: C1ccC[2CCCC2)c2cc1, target: CCN(CC)CC
origin: C11(CCNCcNCNccCCCCCCCCCC(C1, cl: C1ccCNN+](Cc2ccccc2)(C)C)cccc1, target: CCN(CC)CC
origin: cNN[[2CNCCCCCCCC2)C)CC, cl: CNCN+](C(CC)C(CC2ccccc2)C11, target: C1CCCC(N(C2CCCCC2)C)C1
origin: C(C1N(Cc)CcN, cl: CCCN+]+nCCC(((C(1ccc((1, target: N(CC)(CC)CCO
origin: C1cccCN++cCCC)CN+]Ccc)cc, cl: CCC([(CC(CC12C2(CC2C11)C22CC1CC2, target: c1cc([C@@H](O)[C@H](C)NC)ccc1
origin: C(NCCCNCcNCNNCcCcCCCCCCCCCCCCCc1C11C, cl: C111N+]1CcN)(Cc1)C1C, target: C(N(CC)CC)C
origin: C1CCC(CcNCncccccC, cl: C(1ONN11CCC[CC[cCCCC, target: N(CC)(CC)CC
origin: C1C1CCCCCCCCCCC1CCCCcc, cl: C1CCN+](CCCN++CC(C((CN+CC(CN+]C3CCN+]3(C1CCC)C3)C, target: N=C(N(C)C)N(C)C
origin: CN1(CcNcccCccccCCCCCCC((C(cCCC, cl: C(C1O(C))CnCnNcc, target: CCN(CC)CC
origin: C1NN+]NnCCCC2cccC)ccc2)CCC1)O, cl: C11(CcNCcNNccccCCCCC(CCCcCCCc1c1CC1Cc1111, target: C([C@H]1N(Cc2cc(F)ccc2)CCC1)O
origin: C1cCccc(n+](CC1ccccc2)c1CC, cl: C11(CCCCcNNccccCCCCC(CCC(CC11CC1CCCC, target: n1(C)cc[n+](Cc2ccccc2)c1
origin: C1OCN1CcNCcNCNCc, cl: c1NCC))((NNccccC, target: C(C)N(CC)CC
origin: C1N)CNCCcN)C(CNCNNc, cl: [NOCCCOCN)CcNcccCCC, target: C(CC)N(CCC)CCC
origin: [1cccc(CN2C(CCN+]22C))c1, cl: C1C((CCCCN+]2CCC(C11C1, target: c1cccc(CN2CCC[C@H]2CO)c1
origin: C1CC[Cc(1CcCcCCCCCCcc, cl: C1NCCCNCNOC[CccCCCCCCCCCCCCC, target: C1CCNCCC1
origin: C1OCCCCC()c1cccc(1, cl: C1cc(cCNNnnC2c)Cn+]]n+cc)C, target: C(N1CCCC1)c1ccccc1F
origin: CNN1CCCNN)NC, cl: C[NN+]1C)))(Cc))C)C)c, target: C(CN(CC)CC)O
origin: C11N+]1C)1(C1)C1CCccc, cl: C1((CcNCcNcccNncCCCCc(((CCCCCCCC1C111CCCC1C1C11C111C1CCC11CC111C11C11c11111111111C1111111111111111111C11CC11111111c1111111111111111111111111111111111C11c11111C1C111111C1111111111111111111111111C1111111111111111111111111, target: CC[N+](CC)(CC)CC
origin: C1ccc((CN+]N+cn++])+C2)C)c)c1, cl: C1O1)CC))CcN)c[Ncccc, target: c1cccc([C@H]([C@@H](NC)C)O)c1
origin: C1CCCCCCN+]NNC))C1ccccc1, cl: c11CCCC)C)CC[[CCCnC, target: C(N1CCC[C@H]1CO)c1ccccc1
origin: C([CNN+]1ccn(c)c1))CC, cl: C1cccC[N+]2Cc2ccc)cccc2)(CCC)ccc)ccc, target: C(CC[n+]1ccn(C)c1C)CCC
origin: CCC1(C1N)CC, cl: C1OCCCOCc)CcCCCCCC, target: OCCN(CCO)CCO
origin: C([CCCCCCCCC1C2)CCCC11, cl: C(CCN(Cc)CcCNccN(, target: C1(N(C)C2CCCCC2)CCCCC1
origin: C111N+]1C))N(C1C)C11, cl: C1N+]1CC(CCCCCCCC(C2(C2)C3)C2)C, target: CCC[N+](CCC)(CCC)CCC
origin: C11cn+](c2ccc)nnn)n1Cc, cl: CN++N1CCC)C(CC2c((cc2)C([1, target: Cc1[n+](C)c(C)c(C)n1C
origin: C1CCN+]((CCCN+]C(CC1)CN++C(C(N+]C((C2)CN+CCN(C(CCC11, cl: C1[N+](CCCN++C(C((C(N+]3(C1CCN+]3(CN+]C(C(C2CC1)C2, target: C1C[N+]2(C)[C@H](CC1)[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1
origin: C1C1C(C)NCccccccCCC, cl: C1((C))CcNNccccCCCCC(CCC(C1C, target: N(CC)(CC)CC
origin: C1cCccccC[2CN+]C(cC)CC12)ccc1, cl: C1cc(c(C[2CN+]C(C2)CC)2)c1, target: c1(F)cc(CN2[C@H](CO)CCC2)ccc1
origin: C(nCCC)C))cnCccC(CC, cl: C1(CN+]C(CN+]N(C)C1ccccc1)C)C, target: C(N(CC)CC)C
origin: C1CN+]N+CCCC1ccccc2)C(C1, cl: Cn+]1(C)2c((cc2)((n(c)c1C, target: OC[C@H]1N(Cc2ccccc2)CCC1
origin: CNCCCCC)2cccc(2)C(CCCC, cl: CNCN++(C(CC)C(CC2ccccc2)C(1, target: C1CCN(Cc2ccccc2)C1
origin: C11cc[n+](Cc2c1c, cl: C1C1CC)CCCCcCCCCCCCCCCC, target: Cn1cc[n+](CC)c1C
origin: C111N(CCN))CCCC1NN, cl: Cc1N+]1C11(Cc)C11CccCc, target: CCCCN(CCCC)CCCC
origin: C1CCC)CCC)C)))cCCCCC, cl: C1N[CC(CcC)C, target: N(CCN(CCO)CCO)(CCO)CCO
origin: C1CCNN((NNCNcNC, cl: C1cc(cCNnC(Ccc)Cn++]N2cc)C, target: N(CCC)CCC
origin: C1(C(CCCCCC)CCNCN2)CC1, cl: C1((CcNCcNcNcccCCC(CCC1(C(cC(CC1CC1, target: C1CCC(N(C)C2CCCCC2)CC1
origin: C11(CcOCccCccccCCCCC(CCCCCC, cl: C1N1CCOCcNCNCCcCCCCCCCC(, target: CCN(CC)CC
origin: C1[CNC(C1, cl: C11C(CcC)CCCNNNN[C, target: C1CCNCCC1
origin: C1N+](CPN]]((C)CN+]C+C)C2ccccc1, cl: C11(CccCccCccccCCCCCCCCCCC(ccc, target: C[N+]([C@@H](C)[C@H](O)c1ccccc1)(C)C
origin: CNCOCC(CCN(, cl: c1(CCCCNNcCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCcCCC, target: C1COCCOCCN2CCOCCOCCN1CCOCCOCC2
origin: C1NNCCCCC)C)(22)CCCC(1, cl: C1C1C(C[NCNNcccCCcCNCc, target: C1(N(C)C2CCCCC2)CCCCC1
origin: C(N)C(CCOCcOCccNC, cl: C1NCCC)C))CNCNcCCC, target: C(C)N(CC)CC
origin: C[NN+](CC1(Cc1Cc1C, cl: C1OCN1CCNCcNCcccccCccCC(CCCCc, target: CC[N+](CC)(CC)CC
origin: [N1(CcNCcNNNCNCCcC(CC(C(((CCCc11C, cl: C1[1N1CNCCCCCCCCCC(CC(((, target: CCN(CC)CC
origin: C11N+](C)1(C11CcCCcccc, cl: C1[OCCCCCCCCC)C[CCNcC, target: CC[N+](CC)(CC)CC
origin: CN++]((CCC)CC(((, cl: C1[C(C[O)CCNNCNCN, target: [C@@H]1(CO)CCCN1Cc1ccccc1
origin: CN+]1(C)ccnc)n(ccc1, cl: C1cN+]1CcC(Cc)C)CC1Cccc(c, target: [n+]1(C)cc(C)n(C)c1C
origin: C1cCnCC(CC2)cc[c(1, cl: C([C[N+](CCCN+](C(C((C((CCN+]C3CN+]3[C2N+]1(C)C1)C, target: c1(CN2CCCC2)ccccc1
origin: C(11(CCCCC(, cl: N(N)CCCc)CcCccccc, target: NCCN1CCNCC1
origin: C1cc(C2ccc)cn+]1CC, cl: C(C)CcCcCCcOcccNCC, target: c1cn(C)c(C)[n+]1CCCC
origin: C1CC22N+]((CCCCN+]C(CN++C(C(CCCC3)C1N+cCN1CN+c1212)C, cl: C1O))C)C)CC[)C[[Ncn, target: C1CCC[N+]2(C)C[C@H]3[C@H]4N(CCCC4)C[C@@H]([C@@H]12)C3
origin: C11cccc(CNN+](Cc1cccccF)c2)cC)C)c1, cl: C1(CCC(C(1C21(CC2)C1CC)CcC, target: Fc1cccc(C[N+](Cc2cccc(F)c2)(C)C)c1
origin: CNNNCC((C((CC1CCN(C11C1C1C2)C111, cl: C1(CCCCCC(C[)CC((CN+](CCCC)C)C3, target: C1COCCN2CCOCCOCCN(CCOCCOCC2)CCO1
origin: C1ccON+](Cc2cccF)ccc2)(CCC)cccccF)c1, cl: C1(cCN+]ccCn++CcC)CC)cCcccc1, target: c1(C[N+](Cc2cc(F)ccc2)(C)C)cccc(F)c1
origin: C1OCNCCC2cccc(2)C(CCCC, cl: C(cCCNCCCC(C(, target: C1CCN(Cc2ccccc2)C1
origin: C111N+]1C11)(Cc1)C(C, cl: CN+]1C))(C11(Cc)CcCCcccC, target: CCC[N+](CCC)(CCC)CCC
origin: CNN)CCNCCNNNCNcNC, cl: C11c(((c[2C(CC2)c(1F(N(, target: C(N(CC)CC)C
origin: C11(CcNCccCNcccCCCCCCCCCcCCc(CCC, cl: C11N(Cc))CcCNC[NOcC, target: CCN(CC)CC
origin: C1CCCCCC1)c1cc(((1, cl: [1c(ccCCCCcccc1CcCCCC, target: C(N1CCCC1)c1ccccc1
origin: C1CN+](CCCCN++C(CN++C)2CN+]3(C)CCCC2)C22C2CCCN+]N2, cl: C(1(CCCCcNNNNCcCCCCCC, target: C1[C@@H]2C[C@H]([C@@H]3[N+]1(C)CCCC3)CN1CCCC[C@H]12
origin: C1CC2N+]C2CN++CC(C(N+]((C(CCCCCN+43N2CN++21C2211)C, cl: c(CN+]n+CN+]N(C1ccccc1)C)C)C, target: C1CC[C@H]2[C@@H]3C[N+]4(C)CCCC[C@@H]4[C@H](CN2C1)C3
origin: C1N)C1CCN)CCCNCCC(C, cl: C1NCCC[CC(CN+]1CC(CCC)(CC)CC1C3, target: C(C)N(CCO)CC
origin: C1ccc(c[2CN+]C(CC)CC)2)cc1, cl: C1[N[[CCCCCC[C12)C)CC1, target: c1ccc(CN2[C@H](CO)CCC2)cc1
origin: C((N+]1Cc1(CcCC1CCcCCCC, cl: C1N1NCCC)CcOccCCccCcc, target: CC[N+](CC)(CC)CC
origin: C1[c(c(1CNN+]1c((CCcc1, cl: C1cCnN+](Cc(CC2ccccF)cc2)C)ccccF)cc1, target: c1ccccc1C[n+]1cn(C)cc1
origin: C1NCCCNCNOCNCcccCCCCCCCcCCcC1CCC, cl: C1cccC[2CN++C(C))CC2C)ccc1, target: C(N(CC)CC)C
origin: CN+]1(c)())ccn(c(c1, cl: C1N+](C(Cn+]Cn(Cn+]1CC(C)C)C)C1ccccc1, target: [n+]1(CCCC)ccn(C)c1
origin: C1C1CCC))C))CcCCCccC, cl: C1[CC3(CC(C21[CN+](CC(C)C)C3)C2, target: C(CN(CCO)CCO)O
origin: C(CCN(CC)Cc, cl: C11N+](C)2(CC1C21Ccc, target: N(CC)(CC)CC
origin: C1OCCCCC1)c1ccc(F)cc1, cl: C1cc[(cCCCC)cc1, target: C(N1CCCC1)c1ccc(F)cc1
origin: C1cc[(cCCcC)cc1, cl: CN1(CcNCcNNCNCCC, target: n1ccc(N(C)C)cc1
origin: C11c(cC[N+](CC2cccC)ccc2)(C)C)ccc1, cl: C1C)(CcCCNNnCCCCCCCCCCCCCC(C(CCcccccCCCCCcCCcc, target: Fc1cc(C[N+](Cc2cc(F)ccc2)(C)C)ccc1
origin: CNN1CCCCNNCcCcNCCCC, cl: C([(CcNCNNcccNCC, target: C(N(CC)CC)C
origin: C1O)C(CCNCcNCcCNC, cl: C1O1CCNNNCC(O)O, target: C(C)N(CC)CC
origin: C1(1(CCNNC1NNcNNNC(, cl: CN1N+](C)C(CcCc1CCccccc, target: CCCN(CCC)CCC
origin: C1CCC3CN+](CC(CCCCCCCC1CC(C2)C3, cl: CcN2N22N1CCCCCCC2)C)C1, target: C1C2C([N+](C)(C)C)C3CC1CC(C2)C3
origin: C1C)CCCcOCcNCNcCcC, cl: CN1N+]1CC)(CC)C1CCcCcCCC, target: C(C)N(CC)CC
origin: C1CC[((C1, cl: CNNN(C)N)C)N)c[NNNNcC, target: C1CCCNCC1
origin: O1OCN(NCCCC1)CCCC2)CC1, cl: C1[CN2N1N(CCCCCCC1)C, target: C1CCC(N(C)C2CCCCC2)CC1
origin: C1O)C1CCOCcNcccNCCC, cl: C1C1CCCcNC1NCcccc(, target: C(C)N(CC)CC
origin: CN1CCc)CcNCNCcC(C, cl: CN+]1((CCCCN++(CcCCN+]C(CNCCC()3232)C(3C(CCCN+]N(, target: CCN(CC)CC
origin: C1OCCC)))C1NNNCNNNNN, cl: C1CCC2((CC(CC22CN1C11111CC2)C111, target: C(N(CCCC)CCCC)CCC
origin: C1C1(CCCcNCCCCCCCCCCC(C, cl: C1NCCCOCCOCNCCcCC, target: OCCN(C)CCO
origin: c1OCCC)N)C))(C)C)C)))c, cl: C1N+]1C)(CCCCC3CC(C2(C1)C3)C2)C, target: C(CN(CCO)CCN(CCO)CCO)O
origin: C1CCC(CC)CcnNNCNNCC, cl: C(CCNNCcNccCCcCc, target: N(CC)(CC)CC
origin: CN++(N1CCCCCC((1C(1c(c((1, cl: C1N)(C()CNc[cCNCN, target: [C@@H]1(CO)CCCN1Cc1ccccc1
origin: CN+]1C))(CcC(Cc)CcCccccc, cl: CN1nn+](C)C))))ccn1C, target: [N+](CC)(CC)(CC)CC
origin: CN(C)CCCCCCcC)CNCNC, cl: C11(CcNCCCN(NCn[cC(, target: CN(C(=N)N(C)C)C
origin: CN1N+CNNCN+]CC(C)C1Ccccc1)C, cl: C1N1CN+]1Cc)(Cc)CcCC, target: CN[C@H]([C@@H](O)c1ccccc1)C
origin: C1(C[c1cccc(1, cl: C1ccc((CO2CN+]C(CC)CC)2)c1, target: CN(C)c1ccncc1
origin: C(CCN(CCNCcNNNCcc, cl: CN11(CCC)CcNN(Ncccc(, target: N(CC)(CC)CC
origin: C1C(CC2ccccc2)C(C11, cl: CNNNN1Cc)CcCCcccc(CCC, target: C1N(Cc2ccccc2)CCCC1
origin: C1C)N(Cc)Cc)NccccC, cl: C1[[N[11N(CC(CCCCC, target: N(CC)(CC)CC
origin: C1cC)2CCCC1)cc[cc1, cl: C1N1CCNNCCCC)C1CCOCN, target: c1(CN2CCCC2)ccccc1
origin: C11ccn+](C(2))cnn1C((C, cl: C(CCCCCCC)CCCCCcCCCCC, target: Cc1c[n+](CCCC)ccc1C
origin: C1[CC[CC(C2(C2)C2)C[N+]2(CCC, cl: C(ONCN(CC))CcC, target: C12CC3CC(CC(C3)C1)C[N+]2(C)C
origin: C11(CCNCcNNNCNcCCCccCCC(CCCCcccCCc, cl: C1NCCC)CCNC[CNcCCCC, target: CCN(CC)CC
origin: C1CCCC2cccc(2)CN++n(C))C(1, cl: C[[CCCCN+]((C(CCCCCC42C3C4)C3)C, target: C1N(Cc2ccccc2)[C@H](CO)CC1
origin: C1(C)CCCNcCCcnC(CCCCCCCCCCC((CcCcCCcC, cl: C(C(CN+CCC(CC(2)CN+]]C2C(N+]((C)CCCCCN++N((CN+]C(C1)cC, target: CN(C)C
origin: C12[[N+](CCC(C1N+]21CN++CC(CN+](CC(CCCCC)C1N+]cN111)C1, cl: C1ccCn++n+Cn+Cccc)CC)cCcccc1, target: C1CC[C@@H]2N(C[C@H]3[C@@H]4[N+](C)(CCCC4)C[C@@H]2C3)C1
origin: C1c(Cc[Cc[[ccccCCcCc(((CC(ccc1C, cl: C1N1C1CcNCcNCNcCc, target: CCN(CC)CC
origin: c1O)CCCC)CcN[NNCC, cl: CN(N+]1C))(C11Cc1CcCccCcC, target: C(C)N(CC)CC
origin: c(C)NcCc)C[NNNCCCC, cl: C1OCCCCCCCC[[(2)CC[C[1FC, target: N(CC)(CC)CC
origin: C11CCCCNNccCCCCCCCCCCCCCCcCcCccCC(CCCCCC, cl: C1C1)(Cc)CnNCNcc, target: CN(C)C
origin: C1ccc(cNN+N(cN++])+cc)C)c)c11, cl: C(C1)NCCcN)CcNNNNcN, target: c1ccc([C@H]([C@@H](NC)C)O)cc1
origin: [N11CcNCcNcccNcCCCCCC(CC(CC, cl: C1NCCO))O[NNNNcc, target: CCN(CC)CC
origin: C(C)C(C1)CcCCNcc, cl: C(C))NCCCC)C(C, target: N(CC)(CC)CC
origin: C1NNC(Cc)CcCCcCnc, cl: CN+]1CCC(CcC(Cc)CcCC, target: C(C)N(CC)CC
origin: CNOCCC)C))C[CcccC, cl: C1ccc(C[2C(Cn+]C(Cn+]C+c)C2ccccc2)C)cc1, target: C(N(CC)CC)C
origin: C1OCNCCCCC)C)Cc)CCCccN, cl: C1cCNCC(CC2)cc[c)ccc1, target: C(C)(N(C(C)C)CC)C
origin: C11(C))CcCcccccCCCCCCCc, cl: C1N)[1CCNC1NCcCccC, target: CCN(CC)CC
origin: C1C1C)C)CCCCCC)CCNNNC, cl: C1[C)cccc(CN(CCCC2)c1, target: N(C(C)C)(C(C)C)CC
origin: C1C1CCCC(C)C)C)CCCCCCCCccc, cl: C1NCCCCCOCc[ccC, target: OCCN(CCN(CCO)CCO)CCO
origin: C1(C222(Cc1c((c(1, cl: C11(CcCCcNCNccCCCNCCCCCCC[CC1, target: C1CCCCN1Cc1ccccc1
origin: C1cn+](c)2ccccc2)(((C)c1, cl: C[O1CN(CC))CccNCNcc, target: c1[n+](Cc2ccccc2)cn(C)c1
origin: C1cCN2Cn+CC(Cc)CC2C)Ccccc1, cl: C1CC((111CCCCCCCCC(CC, target: c1(CN2[C@H](CO)CCC2)ccccc1
origin: C1N1C(CCC)CNC[CCCNC, cl: C1CCCN+](Cc1(Cc)C1CCcccc, target: C(C)N(C(C)C)C(C)C
origin: C1O)C1CcCCcONccC, cl: C1nC)N+](](CCCCN+]CCCC)CCC2)ccccc1, target: C(C)N(CC)CC
